"{""chat"": [{""sex"": ""2"", ""content"": ""怎么称呼""}, {""sex"": ""1"", ""content"": ""我姓相，单名一个公，你叫我老公就好了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你谁啊""}, {""sex"": ""1"", ""content"": ""我也在想这个问题，我不知道你是谁，但你是怎么出现在我好友栏里的？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好开心哦""}, {""sex"": ""1"", ""content"": ""是啊，只要跟你聊天我就觉得很开心""}, {""sex"": ""1"", ""content"": ""开开心心没有烦恼不是挺好的嘛""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你睡了没""}, {""sex"": ""1"", ""content"": ""你问我睡了吗，我肯定是没睡 ""}, {""sex"": ""1"", ""content"": ""我怕你找不到我一直没睡呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不想约""}, {""sex"": ""1"", ""content"": ""不约吗？那我晚点再问一次。""}, {""sex"": ""1"", ""content"": ""我有故事和酒也不约吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你才骗人""}, {""sex"": ""1"", ""content"": ""你觉得我有必要去骗你吗。""}, {""sex"": ""1"", ""content"": ""我骗你这种小可爱，我可不想遭报应。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你在干嘛呢""}, {""sex"": ""1"", ""content"": ""没干嘛，只不过在望着你的照片发呆而已。""}, {""sex"": ""1"", ""content"": ""认识你以后每天魂不守舍，我都不知道在干嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嗯你在干嘛""}, {""sex"": ""1"", ""content"": ""在给问我干嘛的漂亮小姐姐回复消息。""}, {""sex"": ""1"", ""content"": ""你难道没感应到我在想你吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怕你咬人""}, {""sex"": ""1"", ""content"": ""咬在我们那边就是亲亲呦。""}, {""sex"": ""1"", ""content"": ""那你用嘴堵住我的嘴，不就不亲亲了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要请我啊""}, {""sex"": ""1"", ""content"": ""你要请我也不是不可以的啦。""}, {""sex"": ""1"", ""content"": ""如果你乖点，我就请。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你先夸我""}, {""sex"": ""1"", ""content"": ""你这么好看还需要我来夸你吗！""}, {""sex"": ""1"", ""content"": ""夸你是我的日常操作。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你真能撩""}, {""sex"": ""1"", ""content"": ""那还得看撩的是谁啊。""}, {""sex"": ""1"", ""content"": ""那怎么到现在还没撩动你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哎哟哟哟""}, {""sex"": ""1"", ""content"": ""怎么了宝贝？是不是哪里不舒服？""}, {""sex"": ""1"", ""content"": ""我猜你没有好好走路，撞我心口上了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不也没找我""}, {""sex"": ""1"", ""content"": ""那还不是因为我找不到你嘛！""}, {""sex"": ""1"", ""content"": ""我说我找了，你信吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""等你想我""}, {""sex"": ""1"", ""content"": ""我一直都在想你啊。""}, {""sex"": ""1"", ""content"": ""只要你想我的时候我都在想你，所以你要多想想我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好烦好烦""}, {""sex"": ""1"", ""content"": ""那我要给你制造新的烦恼了""}, {""sex"": ""2"", ""content"": ""我都这么烦了你还要给我烦恼啊""}, {""sex"": ""1"", ""content"": ""因为烦恼会解决烦恼""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想打架？""}, {""sex"": ""1"", ""content"": ""男不跟女斗，放心吧。""}, {""sex"": ""1"", ""content"": ""我要是能打得过你才对啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你很无聊？""}, {""sex"": ""1"", ""content"": ""对啊，很想撩你现在。""}, {""sex"": ""1"", ""content"": ""就算静静看着你，我也不无聊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有病啊？""}, {""sex"": ""1"", ""content"": ""你还有药不成？""}, {""sex"": ""1"", ""content"": ""而且还病的不轻呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那是什么样的""}, {""sex"": ""1"", ""content"": ""那是一个能被你喜欢的模样。""}, {""sex"": ""1"", ""content"": ""你想要什么样的就是什么样。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么是我呢""}, {""sex"": ""1"", ""content"": ""我喜欢的人只能是你。""}, {""sex"": ""1"", ""content"": ""为什么不能是你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你知道我是谁？""}, {""sex"": ""1"", ""content"": ""你是谁不重要，你即将成为谁比较重要。""}, {""sex"": ""1"", ""content"": ""你是我的未来老婆，我知道的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想干嘛干嘛""}, {""sex"": ""1"", ""content"": ""想亲你亲你行吗？""}, {""sex"": ""1"", ""content"": ""生活最好的状态是想干嘛干嘛，不过我的生活有你就足够了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不应该吧""}, {""sex"": ""1"", ""content"": ""怎么了，哪里有不对劲吗？""}, {""sex"": ""1"", ""content"": ""虽然出乎你的意料，但这是事实""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不是男的""}, {""sex"": ""1"", ""content"": ""我是不是男的你试试看就知道了。""}, {""sex"": ""1"", ""content"": ""第一次有人怀疑我的性别""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你人才""}, {""sex"": ""1"", ""content"": ""我都隐藏的这么深了，还是被你发现了""}, {""sex"": ""1"", ""content"": ""咋滴，喜欢上我这个人才了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""谁也不要""}, {""sex"": ""1"", ""content"": ""难道你连我也不要了吗？""}, {""sex"": ""1"", ""content"": ""你谁都可以不要，但是不能不要我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你又不是我的谁""}, {""sex"": ""1"", ""content"": ""谁说不是，我是你未来男朋友""}, {""sex"": ""1"", ""content"": ""好心当成驴肝肺""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都是假的""}, {""sex"": ""1"", ""content"": ""你难道没有看到我的一片真心吗？""}, {""sex"": ""1"", ""content"": ""我对你的感情都是真的，你相信我好不好？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说真的吗""}, {""sex"": ""1"", ""content"": ""难道我还能说假的吗。""}, {""sex"": ""1"", ""content"": ""真的比珍珠还要真。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""给你个么么哒""}, {""sex"": ""1"", ""content"": ""使劲的么么哒！""}, {""sex"": ""1"", ""content"": ""我就是喜欢你的么么哒。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早么么哒""}, {""sex"": ""1"", ""content"": ""早！mua! (*╯3╰) ""}, {""sex"": ""1"", ""content"": ""我最喜欢小仙女的早安吻啦！么么哒""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你叫什么啊？""}, {""sex"": ""1"", ""content"": ""我叫“老公”""}, {""sex"": ""1"", ""content"": ""我叫什么很重要吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""聊点什么""}, {""sex"": ""1"", ""content"": ""聊下我喜欢你这个话题吧""}, {""sex"": ""1"", ""content"": ""聊聊我们的婚姻大事如何？""}, {""sex"": ""1"", ""content"": ""其实我很好奇能被我喜欢的你是怎样的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想聊什么？""}, {""sex"": ""1"", ""content"": ""聊聊我们的未来如何？""}, {""sex"": ""1"", ""content"": ""人生，理想，婚姻都可以。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你的表情包怎么都这么可爱""}, {""sex"": ""1"", ""content"": ""这还不是得配上这么可爱的你啊。""}, {""sex"": ""1"", ""content"": ""可爱的人当得用可爱的表情包聊天啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要什么？""}, {""sex"": ""1"", ""content"": ""我要你的余生相伴。""}, {""sex"": ""1"", ""content"": ""我要什么就能给我什么吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""谢什么呀""}, {""sex"": ""1"", ""content"": ""谢谢你怎么可以这么好呢。""}, {""sex"": ""1"", ""content"": ""谢谢让我遇见这么好的你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想吃什么呀""}, {""sex"": ""1"", ""content"": ""当然是吃一些好吃的啦。""}, {""sex"": ""1"", ""content"": ""你想让我吃点什么呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么勒""}, {""sex"": ""1"", ""content"": ""没怎么，就是想你嘞。""}, {""sex"": ""1"", ""content"": ""没怎么就不能跟你聊天吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想说什么呢""}, {""sex"": ""1"", ""content"": ""你心里知道我是什么意思，一定要我说出来吗""}, {""sex"": ""1"", ""content"": ""我什么都不想说，只想说：我喜欢你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我没怎么想""}, {""sex"": ""1"", ""content"": ""那就麻烦你好好想想该怎么喜欢我吧。""}, {""sex"": ""1"", ""content"": ""猪是最不喜欢动脑子的了，难道你是猪？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么没胃口？""}, {""sex"": ""1"", ""content"": ""没有你在身边吃啥都不香了。""}, {""sex"": ""1"", ""content"": ""不知道为啥就是没啥胃口。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你现在在做什么呢""}, {""sex"": ""1"", ""content"": ""给一个漂亮小姑娘发消息呢。""}, {""sex"": ""1"", ""content"": ""在想有什么理由让你请我吃饭呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这是在夸我么""}, {""sex"": ""1"", ""content"": ""那你想要我这么夸你吗？""}, {""sex"": ""1"", ""content"": ""这不是在夸你，我只是在说事实而已。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""因为你笨""}, {""sex"": ""1"", ""content"": ""那你治疗笨的药吗。""}, {""sex"": ""1"", ""content"": ""俗话说得好笨鸟先飞。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我怎么了呀""}, {""sex"": ""1"", ""content"": ""你怎么这么可爱，让我那么喜欢你。""}, {""sex"": ""1"", ""content"": ""你都已经把我迷住了，还问我怎么了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么照顾我呀""}, {""sex"": ""1"", ""content"": ""就是这么照顾你，还能怎么照顾你""}, {""sex"": ""1"", ""content"": ""照顾你难道还需要分怎么的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我很好骗""}, {""sex"": ""1"", ""content"": ""那我就把你骗回家咯。""}, {""sex"": ""1"", ""content"": ""你这么可爱，我怎么会骗你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没猜到""}, {""sex"": ""1"", ""content"": ""看来你得锻炼一下猜一猜的能力啦。""}, {""sex"": ""1"", ""content"": ""那可惜了，我已经准备好礼物的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么开始""}, {""sex"": ""1"", ""content"": ""你觉得要怎么开始呢？""}, {""sex"": ""1"", ""content"": ""从我们见面的时候开始如何？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""啦啦操""}, {""sex"": ""1"", ""content"": ""小仙女跳啦啦操肯定很美""}, {""sex"": ""1"", ""content"": ""啦啦操是什么样的，想看你跳！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么凑合""}, {""sex"": ""1"", ""content"": ""凑在一起看看不就知道啦。""}, {""sex"": ""1"", ""content"": ""你先答应嘛，我再告诉你怎么做。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我可爱呀""}, {""sex"": ""1"", ""content"": ""非常的可爱！""}, {""sex"": ""1"", ""content"": ""像你这么可爱的不多了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""要工作啊""}, {""sex"": ""1"", ""content"": ""没想到仙女也要工作呢。""}, {""sex"": ""1"", ""content"": ""不工作不行吗，我养你啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""近朱者赤近墨者黑""}, {""sex"": ""1"", ""content"": ""你这么白，那我是不是能变白点。""}, {""sex"": ""1"", ""content"": ""那我还是靠近你一点吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""最近过的怎么样？""}, {""sex"": ""1"", ""content"": ""你说一个得了病的人，能怎么样呢""}, {""sex"": ""1"", ""content"": ""最近一个人，早就已经生无可恋了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""秋高气爽""}, {""sex"": ""1"", ""content"": ""现在是炎炎夏日哪来的秋高气爽哦。""}, {""sex"": ""1"", ""content"": ""我很喜欢秋高气爽的天气。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我就是难受""}, {""sex"": ""1"", ""content"": ""不难受不难受，看到你难受我也觉得好难受。""}, {""sex"": ""1"", ""content"": ""你难受的分量是两个人的，不划算，所以别难受了好不好？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有什么问题吗？""}, {""sex"": ""1"", ""content"": ""以你的聪明才智 一定能帮我解决问题""}, {""sex"": ""1"", ""content"": ""我有问题可以找你帮忙吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""昨天睡得有点早""}, {""sex"": ""1"", ""content"": ""早睡早起很好呀。""}, {""sex"": ""1"", ""content"": ""那么早睡，一定是昨天太累了吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你喜欢有什么用""}, {""sex"": ""1"", ""content"": ""是的，只有把你变成我的人才有用。""}, {""sex"": ""1"", ""content"": ""如果没用怎么会那么多人喜欢呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""要我有什么用""}, {""sex"": ""1"", ""content"": ""当然有用啦，你可以当老婆的呀。""}, {""sex"": ""1"", ""content"": ""每个人都有自己用处，就看你找没找到了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""精致的猪猪男孩""}, {""sex"": ""1"", ""content"": ""那你喜欢精致的猪猪男孩嘛。""}, {""sex"": ""1"", ""content"": ""那我一定是全世界最帅气的猪猪男孩。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我什么时候答应的""}, {""sex"": ""1"", ""content"": ""你现在装傻可一点都不行哦。""}, {""sex"": ""1"", ""content"": ""不管是什么时候，反正你都答应了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你爱咋滴咋滴""}, {""sex"": ""1"", ""content"": ""我就想这爱着你。""}, {""sex"": ""1"", ""content"": ""还能咋滴，就是想你啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""打算""}, {""sex"": ""1"", ""content"": ""我打算一辈子都赖着你了""}, {""sex"": ""1"", ""content"": ""你做好未来跟我共度余生的打算了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""老女人了""}, {""sex"": ""1"", ""content"": ""刚好配我这个老男人""}, {""sex"": ""1"", ""content"": ""你这不叫老，你这叫成熟""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃饭了吗吃饭了吗""}, {""sex"": ""1"", ""content"": ""没吃饭，想着你会不会约我一起吃呢""}, {""sex"": ""1"", ""content"": ""吃了呀，下次想带你一起去吃呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃饱了吖""}, {""sex"": ""1"", ""content"": ""吃饱了就开始有力气减肥了呀。""}, {""sex"": ""1"", ""content"": ""吃的这么饱，也不带我一起吃。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""很多东西错了就是错了""}, {""sex"": ""1"", ""content"": ""反正你爱上你没错就对了。""}, {""sex"": ""1"", ""content"": ""你不是错的，我知道""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可惜我太幼稚了""}, {""sex"": ""1"", ""content"": ""幼稚的人只是过分可爱罢了。""}, {""sex"": ""1"", ""content"": ""那是他们没能欣赏你的幼稚。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我更丑""}, {""sex"": ""1"", ""content"": ""哪里丑了，你只是美的不够明显罢了。""}, {""sex"": ""1"", ""content"": ""那我也还是很喜欢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""胖呀""}, {""sex"": ""1"", ""content"": ""不胖，只是比较壮一点罢了。""}, {""sex"": ""1"", ""content"": ""每个胖子都是潜力股！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""分手吧渣男""}, {""sex"": ""1"", ""content"": ""宝贝，分手怎么能说分就分呢，我这么爱你怎么舍得离开你。""}, {""sex"": ""1"", ""content"": ""还好我不是渣男，我们不分手。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我要上网课了""}, {""sex"": ""1"", ""content"": ""好好上网课，努力学习哟。""}, {""sex"": ""1"", ""content"": ""上网课才是正道知道不。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我真担心自己长胖""}, {""sex"": ""1"", ""content"": ""没事，长胖了我也一样喜欢你。""}, {""sex"": ""1"", ""content"": ""我就喜欢你微胖的样子。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是不是发错信息了""}, {""sex"": ""1"", ""content"": ""看了你一眼头像，我觉得我没有发错。""}, {""sex"": ""1"", ""content"": ""这本来就是你的，我干嘛要发错啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡觉了  晚安""}, {""sex"": ""1"", ""content"": ""晚安啦，希望你今夜做个好梦。""}, {""sex"": ""1"", ""content"": ""晚安，明早我会叫你起床的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我下班很晚的""}, {""sex"": ""1"", ""content"": ""没事，我等你。""}, {""sex"": ""1"", ""content"": ""这么晚下班怎么可以少了我陪你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为了我不值得""}, {""sex"": ""1"", ""content"": ""对不起，我为了我喜欢的人就是值得。""}, {""sex"": ""1"", ""content"": ""没有什么不值得，只有我愿不愿意。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喝醉了吗""}, {""sex"": ""1"", ""content"": ""想醉在你怀里。""}, {""sex"": ""1"", ""content"": ""没有你在身边，不敢醉。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你吃药了吗""}, {""sex"": ""1"", ""content"": ""药还没你好吃呢，不吃！""}, {""sex"": ""1"", ""content"": ""你不就是我的特效药吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""要死了要死了""}, {""sex"": ""1"", ""content"": ""那就跟着你一起去死呗""}, {""sex"": ""1"", ""content"": ""看来，在死的这方面还是比不过你啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你醒了吗？""}, {""sex"": ""1"", ""content"": ""醒来啦，在床上等小可爱来撩我呢""}, {""sex"": ""1"", ""content"": ""小仙女用仙气把我震醒了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吓到了？""}, {""sex"": ""1"", ""content"": ""对啊，吓了我一大跳。""}, {""sex"": ""1"", ""content"": ""没有，我可不是那么容易会被吓到的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想开了""}, {""sex"": ""1"", ""content"": ""想开了就好，世界还等着你呢""}, {""sex"": ""1"", ""content"": ""不想开难道还想活在过去吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""起了呢""}, {""sex"": ""1"", ""content"": ""竟然没有赖床呀。""}, {""sex"": ""1"", ""content"": ""起来了有没有吃早餐，一定要好好吃早餐哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""还不死心""}, {""sex"": ""1"", ""content"": ""我永远都不会对你死心的。""}, {""sex"": ""1"", ""content"": ""我的心要是死了还怎么活下去。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""反正傻了""}, {""sex"": ""1"", ""content"": ""对啊，喜欢你喜欢的都变成大傻子了。""}, {""sex"": ""1"", ""content"": ""傻傻的真可爱啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没钱，再见""}, {""sex"": ""1"", ""content"": ""看来没钱真的是不行啦。""}, {""sex"": ""1"", ""content"": ""你要是没钱就奇怪了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没钱花啊""}, {""sex"": ""1"", ""content"": ""没钱才有赚钱的动力嘛。""}, {""sex"": ""1"", ""content"": ""正好让你学会节俭。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""无聊了无聊了""}, {""sex"": ""1"", ""content"": ""所以你才需要我这么有趣的人啊。""}, {""sex"": ""1"", ""content"": ""无聊的时候找我保证你不无聊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我太困了我""}, {""sex"": ""1"", ""content"": ""跟我聊天就困，你这是想睡我啊""}, {""sex"": ""1"", ""content"": ""我允许你躺在我的怀里睡""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""亲一辈子""}, {""sex"": ""1"", ""content"": ""好啊，我就想被你亲亲了。""}, {""sex"": ""1"", ""content"": ""这下好了，使劲亲你就好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我双鱼座""}, {""sex"": ""1"", ""content"": ""双鱼座可是一个充满了浪漫色彩的星座呢。""}, {""sex"": ""1"", ""content"": ""双鱼座的女孩敏感又善良，需要被人好好疼爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想双休""}, {""sex"": ""1"", ""content"": ""那就换一个有双休的工作吧。""}, {""sex"": ""1"", ""content"": ""一想到一周能睡两天懒觉是不是觉得简直是人间仙境？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""咋不一样""}, {""sex"": ""1"", ""content"": ""如果我爱你，你爱我，那就是一样的。""}, {""sex"": ""1"", ""content"": ""你爸跟你妈能一样吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怕下雨""}, {""sex"": ""1"", ""content"": ""是不是没有带伞呢？""}, {""sex"": ""1"", ""content"": ""我也不喜欢下雨，下雨的时候让人心情很烦躁。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我这没下雨""}, {""sex"": ""1"", ""content"": ""没下雨挺好的，才不会到处湿漉漉。""}, {""sex"": ""1"", ""content"": ""虽然没下雨，但你出门的话还是要记得带伞哦，以防突然下雨。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是闹钟""}, {""sex"": ""1"", ""content"": ""每天叫醒我的不是闹钟，而是想念你的声音。""}, {""sex"": ""1"", ""content"": ""睡在我身边，你就不再需要闹钟了。""}], ""lock"": 1}"
