"{""chat"": [{""sex"": ""1"", ""content"": ""你好，我的朋友说你很有气质，想和你认识一下，但他很害羞，所以我过来了。我叫XXX""}, {""sex"": ""2"", ""content"": ""（女生会给出一些回应。）""}, {""sex"": ""1"", ""content"": ""太好了，方便告诉电话么？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是傻笑""}, {""sex"": ""1"", ""content"": ""嗯嗯，是仙女笑才对。""}, {""sex"": ""1"", ""content"": ""你的笑里透着一股傻气，还说不是傻笑吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你生气""}, {""sex"": ""1"", ""content"": ""生气有用的话，我可能早就要生气了。""}, {""sex"": ""1"", ""content"": ""生气容易变丑，我还是不要生气好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""才是真的好""}, {""sex"": ""1"", ""content"": ""我希望你好，你好才是真的好""}, {""sex"": ""1"", ""content"": ""生活有你不就很好嘛""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说我是猪吗""}, {""sex"": ""1"", ""content"": ""猪没你可爱！""}, {""sex"": ""1"", ""content"": ""你要是猪，那我岂不是喜欢上猪了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是不是不可爱""}, {""sex"": ""1"", ""content"": ""在性感面前可爱一点用都没有。""}, {""sex"": ""1"", ""content"": ""你只是迷人漂亮而已。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你打算怎么撩""}, {""sex"": ""1"", ""content"": ""那得看你想要我怎么撩啊。""}, {""sex"": ""1"", ""content"": ""那还需要怎么撩吗，直接撩""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你嘴怎么那么甜""}, {""sex"": ""1"", ""content"": ""你怎么知道我嘴有多甜？""}, {""sex"": ""1"", ""content"": ""宝贝，你是想要全糖、半糖还是少糖呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是这么可爱""}, {""sex"": ""1"", ""content"": ""你这是要可爱到爆了！""}, {""sex"": ""1"", ""content"": ""这么可爱我可是不要放过。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么了小可爱""}, {""sex"": ""1"", ""content"": ""小可爱不开心，可以得到安慰吗？""}, {""sex"": ""1"", ""content"": ""小可爱想要大可爱的抱抱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""叫什么呀""}, {""sex"": ""1"", ""content"": ""我这么帅，你可以叫我亲爱的""}, {""sex"": ""1"", ""content"": ""你的声音那么好听，叫我什么我都喜欢听""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在做什么呀""}, {""sex"": ""1"", ""content"": ""这么好奇，你来我身边不就知道了""}, {""sex"": ""1"", ""content"": ""什么偶没干呢，就是等你呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我该说什么好呢""}, {""sex"": ""1"", ""content"": ""你想说什么就说什么。""}, {""sex"": ""1"", ""content"": ""说句喜欢我，我很爱听。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是做什么工作的""}, {""sex"": ""1"", ""content"": ""做什么工作不重要，做什么人比较重要。""}, {""sex"": ""2"", ""content"": ""那你是什么人？""}, {""sex"": ""1"", ""content"": ""你的男人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我这么厉害的嘛""}, {""sex"": ""1"", ""content"": ""敲厉害的呢，你现在才知道嘛？""}, {""sex"": ""1"", ""content"": ""你可是我心里最最厉害的小仙女了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你厉害厉害""}, {""sex"": ""1"", ""content"": ""再厉害，也没有逃过你的手掌心。""}, {""sex"": ""1"", ""content"": ""厉害的人配厉害的人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃什么呢""}, {""sex"": ""1"", ""content"": ""当然是吃一些好吃的啦。""}, {""sex"": ""1"", ""content"": ""这个问题 还是得问过你才知道了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""最近怎么样啦""}, {""sex"": ""1"", ""content"": ""没有你在我身边，我能怎么样？！""}, {""sex"": ""1"", ""content"": ""还行吧，至少还活着不是吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要我怎么说呢""}, {""sex"": ""1"", ""content"": ""你想怎么说就怎么说啦！""}, {""sex"": ""1"", ""content"": ""要不，你说句喜欢我听听好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""[坏笑][坏笑][坏笑][坏笑][坏笑]""}, {""sex"": ""1"", ""content"": ""笑得这么恐怖，我不安了。""}, {""sex"": ""1"", ""content"": ""为什么我背后发凉了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你这么起那么早""}, {""sex"": ""1"", ""content"": ""早期的我，有你吃。""}, {""sex"": ""1"", ""content"": ""早点起来，就可以有更多的时间来想你了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天醒那么早你""}, {""sex"": ""1"", ""content"": ""早点醒来就能早点想你。""}, {""sex"": ""1"", ""content"": ""早睡早起身体好呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哪里巧""}, {""sex"": ""1"", ""content"": ""咱们的缘分这么深你不觉得巧吗？""}, {""sex"": ""1"", ""content"": ""你单身我也单身，不是挺巧的嘛""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""巧了，我也是""}, {""sex"": ""1"", ""content"": ""看来我们这都是缘分啊。""}, {""sex"": ""1"", ""content"": ""这么巧，要不要再巧的一起吃个饭呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么巧，我也是""}, {""sex"": ""1"", ""content"": ""这就是冥冥中注定的缘分啊。""}, {""sex"": ""1"", ""content"": ""看来我们不在一起不行啊，不能辜负老天爷的安排。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好啊，你在干什么""}, {""sex"": ""1"", ""content"": ""美女的问题总是这么难回答呢""}, {""sex"": ""1"", ""content"": ""小仙女这么想知道我在干嘛，有啥企图吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嘴那么甜？""}, {""sex"": ""1"", ""content"": ""嘴巴够甜才能撩到你啊。""}, {""sex"": ""1"", ""content"": ""难道你不喜欢我这么甜吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你嘴巴那么甜""}, {""sex"": ""1"", ""content"": ""也不看看是谁让我这么甜的。""}, {""sex"": ""1"", ""content"": ""你不准备尝尝看嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""缺点""}, {""sex"": ""1"", ""content"": ""你的缺点就是优点太多啦！""}, {""sex"": ""1"", ""content"": ""你给我点时间，让我编几个缺点出来哈""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在忙啥？""}, {""sex"": ""1"", ""content"": ""反正无论忙啥，都在想你""}, {""sex"": ""1"", ""content"": ""你对我在忙啥这么好奇干嘛""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么时候走""}, {""sex"": ""1"", ""content"": ""那要看你什么时候舍得让我走了""}, {""sex"": ""1"", ""content"": ""只要你一句话，我就不走了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么心""}, {""sex"": ""1"", ""content"": ""一颗满满都是你的心""}, {""sex"": ""1"", ""content"": ""爱心恒心耐心细心责任心，什么心我都有""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你叫什么名字呀？""}, {""sex"": ""1"", ""content"": ""我的名字能让你记住，我叫“男朋友”""}, {""sex"": ""1"", ""content"": ""刚认识就开始查户口了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""算出啥了""}, {""sex"": ""1"", ""content"": ""我这掐指一算，发现你离喜欢我就差一个吻了。""}, {""sex"": ""1"", ""content"": ""算出我们的姻缘线了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡了我""}, {""sex"": ""1"", ""content"": ""好好睡觉，要记得梦到我。""}, {""sex"": ""1"", ""content"": ""睡吧，我会去你的梦里""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""做好了""}, {""sex"": ""1"", ""content"": ""那下次做给我吃好不好？""}, {""sex"": ""1"", ""content"": ""那快去休息一下，累着了吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不睡了""}, {""sex"": ""1"", ""content"": ""不睡觉干嘛，想我吗""}, {""sex"": ""1"", ""content"": ""准备好和我彻夜长谈了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""互删？""}, {""sex"": ""1"", ""content"": ""小孩子才互删，成年人不会这么不成熟的。""}, {""sex"": ""1"", ""content"": ""联系方式可以删，但你在我心里留下的印记无法删除。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""把我删了""}, {""sex"": ""1"", ""content"": ""不要，删谁都可以就是不能删你。""}, {""sex"": ""1"", ""content"": ""你这个要求我没办法满足你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""别饿着了""}, {""sex"": ""1"", ""content"": ""难不成你想请我吃饭吗？""}, {""sex"": ""1"", ""content"": ""饿极了也只想吃你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""罢了罢了""}, {""sex"": ""1"", ""content"": ""怎么能这么轻易就放弃呢？""}, {""sex"": ""1"", ""content"": ""你偷走了我的心就想这么一走了之？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃过了没啊""}, {""sex"": ""1"", ""content"": ""听到你这句话，吃过都要说没吃。""}, {""sex"": ""1"", ""content"": ""怎么想约我一起吃饭吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不可爱吗""}, {""sex"": ""1"", ""content"": ""我还是觉得你更可爱一些。""}, {""sex"": ""1"", ""content"": ""可爱是可爱，但不属于我的就变得不可爱了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有无线网""}, {""sex"": ""1"", ""content"": ""那你的网速应该是溜得飞起才对""}, {""sex"": ""1"", ""content"": ""那我可不可以去你家蹭网？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我很晚下班""}, {""sex"": ""1"", ""content"": ""那我更要陪着你了。""}, {""sex"": ""1"", ""content"": ""晚上你一个女孩子不安全吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""下班很晚""}, {""sex"": ""1"", ""content"": ""路上注意安全，到家给我发消息。""}, {""sex"": ""1"", ""content"": ""我想在未来每个你下班晚的时候给你一个拥抱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""舍不得""}, {""sex"": ""1"", ""content"": ""既然舍不得那就不要放手了。""}, {""sex"": ""1"", ""content"": ""有舍才有得，你会得到更好的，知道吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哪吃醋了""}, {""sex"": ""1"", ""content"": ""你哪哪都吃醋了好不好。""}, {""sex"": ""1"", ""content"": ""你吃醋的样子真的是可爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""药好难吃""}, {""sex"": ""1"", ""content"": ""良药苦口，乖哦，要好好吃药。""}, {""sex"": ""1"", ""content"": ""乖乖吃药我就给你一个惊喜，好不好？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我得走了""}, {""sex"": ""1"", ""content"": ""别走，我舍不得你走。""}, {""sex"": ""1"", ""content"": ""走去哪呀，乖乖待在我心里吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""遇到了""}, {""sex"": ""1"", ""content"": ""我知道，你遇到我了""}, {""sex"": ""1"", ""content"": ""遇到了就好好珍惜，毕竟遇到就是缘分""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""看雪景""}, {""sex"": ""1"", ""content"": ""我申请跟小仙女一起看雪景！""}, {""sex"": ""1"", ""content"": ""你的出现让雪景变得更美了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""正在休息""}, {""sex"": ""1"", ""content"": ""那你要好好休息哦，休息好了才会有精神呀""}, {""sex"": ""1"", ""content"": ""那就先不打扰你休息了，我们晚点再聊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是傻了吗""}, {""sex"": ""1"", ""content"": ""就是因为傻了才会喜欢上你啊。""}, {""sex"": ""1"", ""content"": ""看看我这脑袋，一天到晚都在想你，都傻掉了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""该下班了""}, {""sex"": ""1"", ""content"": ""好的，我会好好下班睡觉的。""}, {""sex"": ""1"", ""content"": ""下班都不准备带上我一起了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""女生病了""}, {""sex"": ""1"", ""content"": ""怎么都不好好照顾自己啊，你生病了我会很担心的。""}, {""sex"": ""1"", ""content"": ""难不难受啊，我陪你去看医生吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""狗生病了""}, {""sex"": ""1"", ""content"": ""那你要带狗狗去看宠物医生呀""}, {""sex"": ""1"", ""content"": ""果然还是需要我来照顾你们母子俩啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一个人走""}, {""sex"": ""1"", ""content"": ""对不起，我不会让你一个人走的。""}, {""sex"": ""1"", ""content"": ""这不是还有我吗，你一个人走干嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""等一个人""}, {""sex"": ""1"", ""content"": ""如果是注定等不来的人，你还会等吗？""}, {""sex"": ""1"", ""content"": ""现在这个人就在你面前""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""第一次和女孩子聊天""}, {""sex"": ""1"", ""content"": ""你任何为人称道的美丽，都不及我第一次遇见你""}, {""sex"": ""1"", ""content"": ""幸福大概就是，我在等的人终于出现了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这个说不定""}, {""sex"": ""1"", ""content"": ""有什么说不定的，努力去做就好。""}, {""sex"": ""1"", ""content"": ""不一定也有可能是一定。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都一样啦""}, {""sex"": ""1"", ""content"": ""哪一样了，你和别人就是不一样的。""}, {""sex"": ""1"", ""content"": ""既然都一样了，赶紧嫁给我吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""十年""}, {""sex"": ""1"", ""content"": ""遇见你，十年都不觉得太晚。""}, {""sex"": ""1"", ""content"": ""十年之前你不认识我，我也不认识你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""新的一天开始了""}, {""sex"": ""1"", ""content"": ""又是很喜欢你的一天。""}, {""sex"": ""1"", ""content"": ""要是每天起床都能在你身边就好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你注意安全""}, {""sex"": ""1"", ""content"": ""被你关心的感觉真好。""}, {""sex"": ""1"", ""content"": ""我想要你一辈子都叮嘱我“注意安全”。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""心疼你了""}, {""sex"": ""1"", ""content"": ""心疼我你就抱抱我。""}, {""sex"": ""1"", ""content"": ""能被你心疼好像也没那么糟糕了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在家睡了一天""}, {""sex"": ""1"", ""content"": ""你小心把自己睡成小懒猪！""}, {""sex"": ""1"", ""content"": ""可爱的小猪猪，你真的可爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""昨天都睡着了""}, {""sex"": ""1"", ""content"": ""睡着了也没告诉我，害我一夜没睡好""}, {""sex"": ""1"", ""content"": ""睡得那么早，看来你的作息很规律啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""呵  男人""}, {""sex"": ""1"", ""content"": ""呵，女人，我终究是属于你的男人。""}, {""sex"": ""1"", ""content"": ""请你对你的男人态度温柔一点好吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""美美的照片""}, {""sex"": ""1"", ""content"": ""主要是因为有个美美的你。""}, {""sex"": ""1"", ""content"": ""你这么美，这个我还是知道的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""下饭""}, {""sex"": ""1"", ""content"": ""我觉得你才是最下饭的调味料""}, {""sex"": ""1"", ""content"": ""跟我一起吃饭就好啦，保证你能一顿吃三碗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一顿不吃饿得慌""}, {""sex"": ""1"", ""content"": ""看来还是得多吃饭啊。""}, {""sex"": ""1"", ""content"": ""吃完才有力气减肥。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""过往""}, {""sex"": ""1"", ""content"": ""既然已成过往，那就让一切都过去吧""}, {""sex"": ""1"", ""content"": ""往事如烟，我们要朝前看才行""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我再睡一会""}, {""sex"": ""1"", ""content"": ""睡什么睡，诶瑞巴蒂起来嗨""}, {""sex"": ""1"", ""content"": ""看来我家的小猪是真的喜欢床。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没办法接受别人""}, {""sex"": ""1"", ""content"": ""那就接受我吧。""}, {""sex"": ""1"", ""content"": ""毕竟你心里已经装了一个我了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""晚睡习惯了""}, {""sex"": ""1"", ""content"": ""那你准备什么改变这个习惯呢。""}, {""sex"": ""1"", ""content"": ""那你可以习惯我了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么喜欢我吗""}, {""sex"": ""1"", ""content"": ""对啊，我就是这么喜欢你。""}, {""sex"": ""1"", ""content"": ""喜欢你，就是这么喜欢你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是想睡觉""}, {""sex"": ""1"", ""content"": ""恩，这个钟正点是养猪场催眠的时候了""}, {""sex"": ""1"", ""content"": ""睡觉千万别想我，不然我会失眠的""}], ""lock"": 1}"
