"{""chat"": [{""sex"": ""1"", ""content"": ""发现我们有个默契?""}, {""sex"": ""2"", ""content"": ""？？?""}, {""sex"": ""1"", ""content"": ""你不言，我也不语""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你这是在夸我吗？""}, {""sex"": ""1"", ""content"": ""我不是在夸你吗？！""}, {""sex"": ""1"", ""content"": ""没有啊，我只是在说实话。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是喜欢""}, {""sex"": ""1"", ""content"": ""那请问不是喜欢那又是什么呢？""}, {""sex"": ""1"", ""content"": ""那又是什么呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我爱你是真的""}, {""sex"": ""1"", ""content"": ""是不是真的，我们试试不就知道了。""}, {""sex"": ""1"", ""content"": ""时间会向我证明你爱我是真的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你肯定一直都是""}, {""sex"": ""1"", ""content"": ""对啊，我一直都很喜欢你啊。""}, {""sex"": ""1"", ""content"": ""这难道还需要质疑的吗？！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在做什么啊""}, {""sex"": ""1"", ""content"": ""什么也没做，就是在想你。""}, {""sex"": ""1"", ""content"": ""这不是在等你这美女翻我牌子嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想聊点什么呢""}, {""sex"": ""1"", ""content"": ""聊聊你的过去好不好，我想知道你以前是什么样的。""}, {""sex"": ""1"", ""content"": ""跟小仙女聊什么都可以呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么乖的""}, {""sex"": ""1"", ""content"": ""废话，乖点才能被你爱啊。""}, {""sex"": ""1"", ""content"": ""乖巧的我，你喜欢吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么说。""}, {""sex"": ""1"", ""content"": ""那得看你想要怎么去说咯。""}, {""sex"": ""1"", ""content"": ""那就看你想要怎么去说啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么了哥哥""}, {""sex"": ""1"", ""content"": ""哥哥想妹妹了，想知道妹妹在干嘛""}, {""sex"": ""1"", ""content"": ""没怎么，只是突然犯病了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你做什么的""}, {""sex"": ""1"", ""content"": ""我是个无业游民啊，整天就想游荡在你身边""}, {""sex"": ""2"", ""content"": ""说人话""}, {""sex"": ""1"", ""content"": ""做什么不重要，重要的是你希望我去做什么""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不会怎么办""}, {""sex"": ""1"", ""content"": ""没事呀，不会我可以教你。""}, {""sex"": ""1"", ""content"": ""只要你愿意学，什么都不会都没关系。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我没忙什么""}, {""sex"": ""1"", ""content"": ""羡慕你这么清闲，像我，天天忙着想你""}, {""sex"": ""1"", ""content"": ""不如一起出来吃个饭？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么啦?""}, {""sex"": ""1"", ""content"": ""小仙女都不来找我，我好伤心呀""}, {""sex"": ""1"", ""content"": ""想小仙女了，可是小仙女都不理我""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你没工作啊""}, {""sex"": ""1"", ""content"": ""我自己当老板需要什么工作？""}, {""sex"": ""1"", ""content"": ""有啊，没工作以后要怎么养你？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不知道怎么说了""}, {""sex"": ""1"", ""content"": ""按照你心里是怎么想的就怎么说。""}, {""sex"": ""1"", ""content"": ""想说啥就说啥，没关系的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你懂什么""}, {""sex"": ""1"", ""content"": ""我不懂什么，但是我想懂你。""}, {""sex"": ""1"", ""content"": ""我懂你的心思啊，你喜欢我却不敢告诉我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""懂不懂？""}, {""sex"": ""1"", ""content"": ""我要是说不懂是不是要被你揍？！""}, {""sex"": ""1"", ""content"": ""我只是懂你懂得比较多一些而已。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""姑娘缺爱""}, {""sex"": ""1"", ""content"": ""姑娘不光缺爱，还缺我。""}, {""sex"": ""1"", ""content"": ""你的爱在我这儿，亲我一下全部给你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡得早醒的早""}, {""sex"": ""1"", ""content"": ""早睡早起很好啊，小仙女的作息太棒了。""}, {""sex"": ""1"", ""content"": ""看来我以后要跟着你早睡早起了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你什么时候睡觉啊""}, {""sex"": ""1"", ""content"": ""等着你给我说个晚安。""}, {""sex"": ""1"", ""content"": ""你什么时候睡，我就什么时候睡。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么时候起床""}, {""sex"": ""1"", ""content"": ""你什么时候叫我起床呢？""}, {""sex"": ""1"", ""content"": ""等你从我梦里跑掉我就起床。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你什么时候来找我""}, {""sex"": ""1"", ""content"": ""想你了自然就来找你了。""}, {""sex"": ""1"", ""content"": ""你什么时候有空我就什么时候来找你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""打算什么时候结婚""}, {""sex"": ""1"", ""content"": ""你打算什么时候嫁给我呢。""}, {""sex"": ""1"", ""content"": ""你都还没答应我，我怎么结婚。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""考的不怎么样""}, {""sex"": ""1"", ""content"": ""成绩还没出来呢，你要对自己有信心。""}, {""sex"": ""1"", ""content"": ""通常感觉考得不怎么样的时候都会考得很好哦，你别担心啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么是人生……""}, {""sex"": ""1"", ""content"": ""有你有我就是一场人生。""}, {""sex"": ""1"", ""content"": ""人生就像是一场即兴表演,来不及彩排,也不需要刻意去安排。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""了解？""}, {""sex"": ""1"", ""content"": ""我想要慢慢了解你，发现你身上的好。""}, {""sex"": ""1"", ""content"": ""两个人要从陌生到熟悉总要互相了解的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你真了解""}, {""sex"": ""1"", ""content"": ""那肯定的啊，必须这么了解。""}, {""sex"": ""1"", ""content"": ""不了解你还能了解谁啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""困了不""}, {""sex"": ""1"", ""content"": ""你一来我就不怎么困了。""}, {""sex"": ""1"", ""content"": ""想等你和我说了晚安我再去睡。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你可算了吧""}, {""sex"": ""1"", ""content"": ""喜欢你怎么可以算了呢。""}, {""sex"": ""1"", ""content"": ""喜欢小仙女这件事不能这么算了！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""累睡觉了""}, {""sex"": ""1"", ""content"": ""嗯嗯，那我们等你睡醒了再聊。""}, {""sex"": ""1"", ""content"": ""那你去睡吧，睡一觉精神好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡觉了不""}, {""sex"": ""1"", ""content"": ""不睡，我要你陪我聊天。""}, {""sex"": ""1"", ""content"": ""你都还没睡，我怎么敢说睡啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""变可爱了""}, {""sex"": ""1"", ""content"": ""貌似一直都很可爱好不好""}, {""sex"": ""1"", ""content"": ""可爱多吃多了就变可爱了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我快睡觉了""}, {""sex"": ""1"", ""content"": ""好，那你先睡，被窝睡暖了我就来。""}, {""sex"": ""1"", ""content"": ""真舍不得跟你说晚安，要是一天的时间再长一些就好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡觉困了""}, {""sex"": ""1"", ""content"": ""那我就不打扰你睡觉啦。""}, {""sex"": ""1"", ""content"": ""那咱们先睡觉吧，到梦里继续聊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天刚分手""}, {""sex"": ""1"", ""content"": ""你的下一任男朋友就在你面前。""}, {""sex"": ""1"", ""content"": ""分手就分手，下一个更长久，让我给你长长久久的恋爱吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""咋了，想我了""}, {""sex"": ""1"", ""content"": ""这都让你知道了，怪不好意思的。""}, {""sex"": ""1"", ""content"": ""难道不想你，我还能想谁？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""快吃了""}, {""sex"": ""1"", ""content"": ""好想跟你一起吃饭呀。""}, {""sex"": ""1"", ""content"": ""那你要吃得饱一点，下午才不会饿的快。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""网恋啊？""}, {""sex"": ""1"", ""content"": ""网恋这么甜，难道网恋不好吗？""}, {""sex"": ""1"", ""content"": ""先网恋后奔现，一起走向幸福的生活。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""网友啊""}, {""sex"": ""1"", ""content"": ""我觉得我们的关系已经超越了网友了。""}, {""sex"": ""1"", ""content"": ""难道只是网友而已吗，我觉得我们已经算朋友了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我来看你了""}, {""sex"": ""1"", ""content"": ""能让小仙女主动来看我也太荣幸了。""}, {""sex"": ""1"", ""content"": ""放心，我很乖的，没有跟别的小姐姐聊天。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""晚个安""}, {""sex"": ""1"", ""content"": ""还有一个晚安吻""}, {""sex"": ""1"", ""content"": ""有你的晚安，我整夜都会睡得很香""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不可爱不可爱""}, {""sex"": ""1"", ""content"": ""可我爱惨你了。""}, {""sex"": ""1"", ""content"": ""对呀，你没我可爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃了感冒药""}, {""sex"": ""1"", ""content"": ""一定要按时吃药知道吗，这样感冒才会好得快。""}, {""sex"": ""1"", ""content"": ""吃完药会不会有点困？要不要去躺一会？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""咋醒了""}, {""sex"": ""1"", ""content"": ""想你想得突然惊醒""}, {""sex"": ""1"", ""content"": ""睡不着了自然就醒了呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""走了哈""}, {""sex"": ""1"", ""content"": ""嗯嗯，那来一个告别吻吧。""}, {""sex"": ""1"", ""content"": ""你不打算带着我一起走吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你做梦""}, {""sex"": ""1"", ""content"": ""那我做梦能梦到你吗。""}, {""sex"": ""1"", ""content"": ""梦想要有，万一实现了呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不喜欢下雪""}, {""sex"": ""1"", ""content"": ""雪那么漂亮，为什么会不喜欢？""}, {""sex"": ""1"", ""content"": ""是不是因为下雪太冷了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不回来了""}, {""sex"": ""1"", ""content"": ""只要你愿意让我回来，我会回来的。""}, {""sex"": ""1"", ""content"": ""我就在你心里，我怎么会不回来呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不要来了""}, {""sex"": ""1"", ""content"": ""干嘛，你害怕了是不是？""}, {""sex"": ""1"", ""content"": ""你不让我去我偏偏要去。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""太完美了""}, {""sex"": ""1"", ""content"": ""看来小仙女很开心嘛""}, {""sex"": ""1"", ""content"": ""在我眼里，你也是完美无缺的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""俗人一个""}, {""sex"": ""1"", ""content"": ""那就俗到底好不好！""}, {""sex"": ""1"", ""content"": ""我就是喜欢这个俗人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一辈子的期限""}, {""sex"": ""1"", ""content"": ""我这辈子都是你的了。""}, {""sex"": ""1"", ""content"": ""如果要加一个期限，我希望是一万年。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一会儿""}, {""sex"": ""1"", ""content"": ""女孩子的一会儿恐怕是两个小时吧。""}, {""sex"": ""1"", ""content"": ""嗯嗯，那我等你哟。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""十一点半""}, {""sex"": ""1"", ""content"": ""没超过十二点就还算早嘛""}, {""sex"": ""1"", ""content"": ""我还以为你是一点半才睡呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早新的一天""}, {""sex"": ""1"", ""content"": ""早睡早起身体好啊！""}, {""sex"": ""1"", ""content"": ""难怪梦里的你今天有点早离开呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我缺乏安全感""}, {""sex"": ""1"", ""content"": ""我把我的安全感给你好不好？""}, {""sex"": ""1"", ""content"": ""我能给你最好的安全感。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我比较缺乏安全感""}, {""sex"": ""1"", ""content"": ""我给你想要的安全感！""}, {""sex"": ""1"", ""content"": ""安全感都是靠自己给自己的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""再努力一下""}, {""sex"": ""1"", ""content"": ""我在努力努力追你好了。""}, {""sex"": ""1"", ""content"": ""我再努力的话能抓住你的心吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""因为我们现在没在一起""}, {""sex"": ""1"", ""content"": ""那现在我们能在一起了吗？""}, {""sex"": ""1"", ""content"": ""我们没有必要在一起，直接结婚就完事了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""又下雨啦""}, {""sex"": ""1"", ""content"": ""那么热的天，下下雨我觉得挺好的。""}, {""sex"": ""1"", ""content"": ""带雨伞了吗？需要我给你送吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""又相信爱情了""}, {""sex"": ""1"", ""content"": ""你让我相信了一见钟情。""}, {""sex"": ""1"", ""content"": ""什么时候让我们有爱情呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""认识不""}, {""sex"": ""1"", ""content"": ""认识啊，怎么会不认识呢。""}, {""sex"": ""1"", ""content"": ""我像是那种不认识的人吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你心疼不""}, {""sex"": ""1"", ""content"": ""心疼啊，必须是心疼你啊。""}, {""sex"": ""1"", ""content"": ""除了心疼，我也没有什么了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""缺点一大堆""}, {""sex"": ""1"", ""content"": ""最大的缺点就是生活里缺点我""}, {""sex"": ""1"", ""content"": ""人都不是完美的，有缺点才显得可爱""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""男人都是花言巧语""}, {""sex"": ""1"", ""content"": ""要不是你们女人喜欢听，我们男人怎么会说呢。""}, {""sex"": ""1"", ""content"": ""有多少男人顶着花言巧语的名头说着真心话啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""花开花落""}, {""sex"": ""1"", ""content"": ""希望我能跟你一起看遍岁岁年年的花开花落。""}, {""sex"": ""1"", ""content"": ""花开必有落，但花的美却一直都会被人记在心里。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我想一个人""}, {""sex"": ""1"", ""content"": ""那这个人可能是我吗？""}, {""sex"": ""1"", ""content"": ""这时候我就应该举一下小手了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""太阳太晒了""}, {""sex"": ""1"", ""content"": ""这只是太阳公公看到这么好看的你，笑的比较灿然而已""}, {""sex"": ""1"", ""content"": ""这时候就需要靠雨伞和防晒了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喜欢一个人需要理由吗？""}, {""sex"": ""1"", ""content"": ""喜欢你，我都没想过用理由。""}, {""sex"": ""1"", ""content"": ""不喜欢我什么都可以成为理由。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我休息一下""}, {""sex"": ""1"", ""content"": ""休息好了就可以继续爱我。""}, {""sex"": ""1"", ""content"": ""休息怎么可以没有我陪呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可以一起玩""}, {""sex"": ""1"", ""content"": ""好啊，能跟小仙女一起玩就太好了。""}, {""sex"": ""1"", ""content"": ""那我要是有不懂的地方你要教教我哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""发现什么了""}, {""sex"": ""1"", ""content"": ""发现我的心居然在你那！""}, {""sex"": ""1"", ""content"": ""发现了一个这么好看的仙女啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""等有时间再说""}, {""sex"": ""1"", ""content"": ""时间嘛，自己挤一挤还是会有的。""}, {""sex"": ""1"", ""content"": ""现在的时间已经不算太晚吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""快起来吃饭""}, {""sex"": ""1"", ""content"": ""收到！马上开始行动！""}, {""sex"": ""1"", ""content"": ""我要一个亲亲才能起床。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""等下就吃""}, {""sex"": ""1"", ""content"": ""我在想得等多久才能吃啊。""}, {""sex"": ""1"", ""content"": ""好吧，我已经准备好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""言不由衷""}, {""sex"": ""1"", ""content"": ""言不由衷在成年人的世界里已经变成了一个常态。""}, {""sex"": ""1"", ""content"": ""在我面前你可以想说什么就说什么，不需要言不由衷。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""鞋子""}, {""sex"": ""1"", ""content"": ""女孩子的鞋子好多种，我都要花眼了，帆布鞋高跟鞋凉鞋靴子……""}, {""sex"": ""1"", ""content"": ""我们可以周末去逛街给你买鞋子""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""猴""}, {""sex"": ""1"", ""content"": ""原来你是活泼可爱的小猴子啊""}, {""sex"": ""1"", ""content"": ""属猴的人跟我很合得来呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你脑子想多了""}, {""sex"": ""1"", ""content"": ""脑子不用来想，还能用来干嘛。""}, {""sex"": ""1"", ""content"": ""没想多啊，只是正常的思考而已。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你什么时候生日啊""}, {""sex"": ""1"", ""content"": ""怎么啦，你是想给我准备生日惊喜吗？""}, {""sex"": ""1"", ""content"": ""你这么问的意思是我可以收到生日礼物嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是不是脑子有病""}, {""sex"": ""1"", ""content"": ""对啊，脑子有病才会喜欢你。""}, {""sex"": ""1"", ""content"": ""难道你希望自己被一个脑子有病的人喜欢吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡得舒服""}, {""sex"": ""1"", ""content"": ""这么舒服的睡觉也是第一次啊。""}, {""sex"": ""1"", ""content"": ""舒服的睡觉真好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么狗""}, {""sex"": ""1"", ""content"": ""单身狗，要不要考虑养一只？""}, {""sex"": ""1"", ""content"": ""适合你的小狗狗呢。""}], ""lock"": 1}"
