"{""chat"": [{""sex"": ""2"", ""content"": ""哈喽。""}, {""sex"": ""1"", ""content"": ""嗨，看你照片挺可爱的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""先生 你是哪位？""}, {""sex"": ""1"", ""content"": ""你家族里有过失忆症的病史吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是？""}, {""sex"": ""1"", ""content"": ""我姓相，单名一个公，你叫我老公就好了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是好人吗？""}, {""sex"": ""1"", ""content"": ""你觉得我像是好人吗？""}, {""sex"": ""1"", ""content"": ""你觉得有坏人说自己是坏人的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""约定""}, {""sex"": ""1"", ""content"": ""我一定会守着我们的约定的""}, {""sex"": ""1"", ""content"": ""约定是要拉钩的，我们拉钩做保证吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你骗子""}, {""sex"": ""1"", ""content"": ""我怎么舍得骗你呢。""}, {""sex"": ""1"", ""content"": ""骗我喜欢的人干嘛啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你别骗我""}, {""sex"": ""1"", ""content"": ""骗你又得不到什么好处。""}, {""sex"": ""1"", ""content"": ""我像是那种会骗人的人吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""咬""}, {""sex"": ""1"", ""content"": ""哎呀，我被你咬疼了，要呼呼。""}, {""sex"": ""1"", ""content"": ""你想咬我哪里呀？最好往我嘴上咬哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不用你请""}, {""sex"": ""1"", ""content"": ""有人请客还不好嘛？""}, {""sex"": ""1"", ""content"": ""既然小仙女这么大方，那就你请我好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你咋不请我""}, {""sex"": ""1"", ""content"": ""请你吃饭，我得考虑下自己的钱包。""}, {""sex"": ""1"", ""content"": ""我这不是在等一个更好的时机再请你吃饭吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你喜欢的""}, {""sex"": ""1"", ""content"": ""我喜欢的不就是你嘛？！""}, {""sex"": ""1"", ""content"": ""我喜欢的太多了，你说的是哪一个？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我要打你了""}, {""sex"": ""1"", ""content"": ""打吧，打坏了你就赔我一辈子。""}, {""sex"": ""1"", ""content"": ""打是亲骂是爱！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是不是想挨打""}, {""sex"": ""1"", ""content"": ""打吧，打坏了我就赖着你一辈子""}, {""sex"": ""1"", ""content"": ""打是亲骂是爱，打！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我发现有人暗恋你""}, {""sex"": ""1"", ""content"": ""我也发现了，是你是你就是你。""}, {""sex"": ""1"", ""content"": ""有人是谁？暗恋我干嘛""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我也不是""}, {""sex"": ""1"", ""content"": ""看来我们非常有缘分啊""}, {""sex"": ""1"", ""content"": ""这么巧啊，咱们也太有缘了吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是有点困了""}, {""sex"": ""1"", ""content"": ""困就要去睡觉！""}, {""sex"": ""1"", ""content"": ""那我还去梦里找你好不好？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""困了么""}, {""sex"": ""1"", ""content"": ""之前困，你来了就不困了。""}, {""sex"": ""1"", ""content"": ""都在想你，我哪有时间困。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说了就是""}, {""sex"": ""1"", ""content"": ""我说你是我女朋友你就是我女朋友吗？""}, {""sex"": ""1"", ""content"": ""那我说了你可不要反悔。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""钱难挣""}, {""sex"": ""1"", ""content"": ""不然怎么叫做“钱”呢。""}, {""sex"": ""1"", ""content"": ""钱要是好挣，岂不是都是有钱人吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""生气生气""}, {""sex"": ""1"", ""content"": ""不生气不生气，生气容易长皱纹，会影响小仙女的美的。""}, {""sex"": ""1"", ""content"": ""小仙女生的气大概是仙气吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""真心？""}, {""sex"": ""1"", ""content"": ""难不成还有假心不成？""}, {""sex"": ""1"", ""content"": ""真的，比钻石还真！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你猪啊""}, {""sex"": ""1"", ""content"": ""好的！佩奇我知道你说的什么了。""}, {""sex"": ""1"", ""content"": ""是啊！我和猪一样可爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""真诚的吗？""}, {""sex"": ""1"", ""content"": ""你看我哪点不像真诚的呢？""}, {""sex"": ""1"", ""content"": ""比钻石还真的！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么要见""}, {""sex"": ""1"", ""content"": ""其实我也想知道，但是也不知道啊。""}, {""sex"": ""1"", ""content"": ""为什么不去见呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有什么好聊聊吗？""}, {""sex"": ""1"", ""content"": ""我们之间除了爱情还有什么好聊的。""}, {""sex"": ""1"", ""content"": ""那就别聊了，直接撩就好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""聊什么好""}, {""sex"": ""1"", ""content"": ""不要聊了好不好，我来撩你。""}, {""sex"": ""1"", ""content"": ""聊聊我们的未来和人生。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么这么说呢？""}, {""sex"": ""1"", ""content"": ""你觉得我为什么会这么说？""}, {""sex"": ""1"", ""content"": ""我做得这么明显，你说为什么""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我怎么那么可爱""}, {""sex"": ""1"", ""content"": ""你才知道你自己可爱吗，我都要被你可爱死了。""}, {""sex"": ""1"", ""content"": ""你可不能在别人面前这么可爱，我会担心你被拐走的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""干什么呀""}, {""sex"": ""1"", ""content"": ""咦？我还以为小仙女想我了呢""}, {""sex"": ""1"", ""content"": ""什么都不想干，就是想看看你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在干什么""}, {""sex"": ""1"", ""content"": ""整天关在家里，除了睡觉游戏就只能想你了""}, {""sex"": ""2"", ""content"": ""好像我求你想我似的""}, {""sex"": ""1"", ""content"": ""如果我可以控制住自己不去想你，我就不会那么痛苦了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""做错了什么""}, {""sex"": ""1"", ""content"": ""做错了就是做错了，我心里有数的。""}, {""sex"": ""1"", ""content"": ""我不该这么迟才遇见这么可爱的你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么了呀""}, {""sex"": ""1"", ""content"": ""我现在需要一个安慰的抱抱。""}, {""sex"": ""1"", ""content"": ""有你在什么事都没有了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""肿么了嘛""}, {""sex"": ""1"", ""content"": ""我的嘴被你亲肿了！""}, {""sex"": ""1"", ""content"": ""想你了嘛""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么哄我开心""}, {""sex"": ""1"", ""content"": ""不知道，但是我会努力哄你开心的。""}, {""sex"": ""1"", ""content"": ""想让你开心真的是有点困难呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么机会""}, {""sex"": ""1"", ""content"": ""脱单的机会。""}, {""sex"": ""2"", ""content"": ""怎么脱？""}, {""sex"": ""1"", ""content"": ""跟我在一起啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想什么？""}, {""sex"": ""1"", ""content"": ""我在想你这颗最美的大白菜，怎么就被我给拱了呢？""}, {""sex"": ""1"", ""content"": ""我还能想什么啊，想想你呗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么你对我这么好""}, {""sex"": ""1"", ""content"": ""我对我喜欢的人好这有什么问题吗？""}, {""sex"": ""1"", ""content"": ""因为是你所以我才喜欢你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天怎么起那么早""}, {""sex"": ""1"", ""content"": ""不知道，可能梦里的你很早就跑了吧。""}, {""sex"": ""1"", ""content"": ""想看看早起的早晨和晚起的早晨有啥区别。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你起那么早呀""}, {""sex"": ""1"", ""content"": ""早起的鸟儿有你吃！""}, {""sex"": ""1"", ""content"": ""你不也是一样的嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""懂？""}, {""sex"": ""1"", ""content"": ""不太懂，需要你亲自教教我。""}, {""sex"": ""1"", ""content"": ""我这么一颗聪明绝世的脑袋，怎么会不懂呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你嘴太甜了""}, {""sex"": ""1"", ""content"": ""嘴甜还不是给你的。""}, {""sex"": ""1"", ""content"": ""嘴甜你不是尝过的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你想吃什么""}, {""sex"": ""1"", ""content"": ""我想吃你，你看行不行。""}, {""sex"": ""1"", ""content"": ""吃你喜欢吃的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有什么问题吗""}, {""sex"": ""1"", ""content"": ""我想问问你什么时候才能让我喜欢上你。""}, {""sex"": ""1"", ""content"": ""难道我喜欢你还不够嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡早点""}, {""sex"": ""1"", ""content"": ""早睡早起身体好呀。""}, {""sex"": ""1"", ""content"": ""那你到梦里等我一会儿。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喜欢有什么用""}, {""sex"": ""1"", ""content"": ""没用，只有把你变成我的人才有用。""}, {""sex"": ""1"", ""content"": ""如果没用怎么会那么多人喜欢呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你什么意思""}, {""sex"": ""1"", ""content"": ""我很欣赏你这种不懂就问的求知欲""}, {""sex"": ""1"", ""content"": ""我对你的理解能力表示遗憾""}, {""sex"": ""1"", ""content"": ""我这么喜欢你，你都看不出我的意思吗？""}, {""sex"": ""1"", ""content"": ""就是很喜欢你的意思""}, {""sex"": ""1"", ""content"": ""想娶你回家的意思啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是什么人？""}, {""sex"": ""1"", ""content"": ""我是那个来到你身边照顾你的人。""}, {""sex"": ""1"", ""content"": ""你猜，猜对了我给你奖励。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哦！这样子啊""}, {""sex"": ""1"", ""content"": ""在爱情眼里我就是这样子的。""}, {""sex"": ""1"", ""content"": ""不然你以为我是什么样子的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""咋啊""}, {""sex"": ""1"", ""content"": ""没咋啊，就想跟喜欢的人说说话。""}, {""sex"": ""1"", ""content"": ""我想你了，你有没有想我？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡昏了""}, {""sex"": ""1"", ""content"": ""你这只猪再睡就傻了。""}, {""sex"": ""1"", ""content"": ""别睡啦，该起来吃东西啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""他来了他来了""}, {""sex"": ""1"", ""content"": ""我来了我来了~""}, {""sex"": ""1"", ""content"": ""他是谁？不准你跟他走。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我来迟了""}, {""sex"": ""1"", ""content"": ""来迟了也比不来好呀。""}, {""sex"": ""1"", ""content"": ""你终于来了，知道我等了你多久吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""太好喝了""}, {""sex"": ""1"", ""content"": ""好喝你就多喝点知道不。""}, {""sex"": ""1"", ""content"": ""看来这个以后在好吃名单了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""衣服大了""}, {""sex"": ""1"", ""content"": ""是你太瘦了，要多吃点啊。""}, {""sex"": ""1"", ""content"": ""是不是像偷穿妈妈衣服的小女孩？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃饭了？""}, {""sex"": ""1"", ""content"": ""我刚才还在脑补跟你吃啥呢""}, {""sex"": ""2"", ""content"": ""想好了吗？""}, {""sex"": ""1"", ""content"": ""没呢，感觉和你一起吃的才是最好吃的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你困了你先睡""}, {""sex"": ""1"", ""content"": ""我不困，谁困了，是谁？""}, {""sex"": ""1"", ""content"": ""你都没睡，我要去哪个梦找你？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不想爱了""}, {""sex"": ""1"", ""content"": ""爱累了就放手吧，让我来爱你。""}, {""sex"": ""1"", ""content"": ""爱是相互的，当方面的爱只会让你觉得难受。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""算啦吧""}, {""sex"": ""1"", ""content"": ""怎么能就这么轻易妥协呢？""}, {""sex"": ""1"", ""content"": ""既然小仙女都这么说了，那就算了吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""要不算了吧""}, {""sex"": ""1"", ""content"": ""怎么能算了呢，我可是要把你娶回家的。""}, {""sex"": ""1"", ""content"": ""再努力努力，我相信你可以的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""饿了啊""}, {""sex"": ""1"", ""content"": ""我已经能听到你的肚子在叫了。""}, {""sex"": ""1"", ""content"": ""饿了么？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""除了想我""}, {""sex"": ""1"", ""content"": ""除了想你也没有其他事可以做了。""}, {""sex"": ""1"", ""content"": ""难道你不希望我想你吗？我有点难过了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""舍不得了""}, {""sex"": ""1"", ""content"": ""我也一样舍不得这么好的你。""}, {""sex"": ""1"", ""content"": ""有舍才有得，舍得舍得。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想多了吧？""}, {""sex"": ""1"", ""content"": ""你这么好看，我能不想多吗。""}, {""sex"": ""1"", ""content"": ""我如果不想多点，那和咸鱼有啥区别。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""老是吐槽我""}, {""sex"": ""1"", ""content"": ""那是因为我觉得你很可爱啊。""}, {""sex"": ""1"", ""content"": ""好好好，那我不吐槽你了，以后就说你的好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""已经不早了""}, {""sex"": ""1"", ""content"": ""确实不早了，你该睡觉啦""}, {""sex"": ""1"", ""content"": ""所以你准备要跟我表白了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不过去了""}, {""sex"": ""1"", ""content"": ""怎么了，为什么突然改主意了？""}, {""sex"": ""1"", ""content"": ""不来也行，那就我去找你吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都回去了""}, {""sex"": ""1"", ""content"": ""回去了就好，这样就不会打扰到你休息了""}, {""sex"": ""1"", ""content"": ""那你呢，要不要回去了，我去接你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想多了嗷""}, {""sex"": ""1"", ""content"": ""我想都想了，还不能多想点啊""}, {""sex"": ""1"", ""content"": ""只能怪你长得太好看才让我想多了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""傻啊你""}, {""sex"": ""1"", ""content"": ""做个喜欢你的傻瓜不好吗！""}, {""sex"": ""1"", ""content"": ""傻傻的是不是很可爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""下班了吧""}, {""sex"": ""1"", ""content"": ""你是想过来接我下班吗？""}, {""sex"": ""1"", ""content"": ""怎么了，是不是想跟我一起吃饭？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你没钱""}, {""sex"": ""1"", ""content"": ""那我得好好想想怎么才可以变得有钱了。""}, {""sex"": ""1"", ""content"": ""放心，我会努力赚钱娶你回家的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可能生病了""}, {""sex"": ""1"", ""content"": ""那你快上医院看看，这时候生病可不是小事啊。""}, {""sex"": ""1"", ""content"": ""你这么说我很担心你啊，怎么都不好好照顾自己。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一个人承担""}, {""sex"": ""1"", ""content"": ""以后有我，就不再是你一个人承担了""}, {""sex"": ""1"", ""content"": ""一个人承担一定很辛苦吧，心疼你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""坏人一个""}, {""sex"": ""1"", ""content"": ""男人不坏，女人不爱。""}, {""sex"": ""1"", ""content"": ""所以才需要你这个好人啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""也就一般""}, {""sex"": ""1"", ""content"": ""真的一般吗，我怎么就看不出来呢。""}, {""sex"": ""1"", ""content"": ""你这么好看的也叫做一般？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一辈子好久的""}, {""sex"": ""1"", ""content"": ""但是一辈子都能跟你在一起我都觉得不够。""}, {""sex"": ""1"", ""content"": ""或许眨眼之间一辈子就过去了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""第一句""}, {""sex"": ""1"", ""content"": ""是我喜欢你的第一句话吗？""}, {""sex"": ""1"", ""content"": ""你和我说过那么多第一句，我都记不住了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""第一次见面""}, {""sex"": ""1"", ""content"": ""你好啊，单身狗""}, {""sex"": ""1"", ""content"": ""你好啊，我未来的小宝贝""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""工作不稳定""}, {""sex"": ""1"", ""content"": ""最稳定的工作是做我老婆。""}, {""sex"": ""1"", ""content"": ""工作不稳定没关系，我可以给你一个稳定的家庭。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不一样呢""}, {""sex"": ""1"", ""content"": ""大家都是地球人中国人，有什么不一样的？""}, {""sex"": ""1"", ""content"": ""不一样有什么关系，要尊重差异性呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我眯一会""}, {""sex"": ""1"", ""content"": ""那我的怀里可以让你眯一会儿。""}, {""sex"": ""1"", ""content"": ""好好眯着，允许你做个美梦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我眯一会儿""}, {""sex"": ""1"", ""content"": ""到我怀里来眯会比较舒服。""}, {""sex"": ""1"", ""content"": ""好，那你去睡，我一会叫你起来。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我想睡一会""}, {""sex"": ""1"", ""content"": ""睡前千万不要想我，不然会失眠的。""}, {""sex"": ""1"", ""content"": ""那好呀，我们一起睡吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我和你一样大""}, {""sex"": ""1"", ""content"": ""这么巧，看来我们也是很有缘啊。""}, {""sex"": ""1"", ""content"": ""虽然是一样大，但你可能还是要叫我一声哥。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""开启新的一天""}, {""sex"": ""1"", ""content"": ""新的一天从想你开始""}, {""sex"": ""1"", ""content"": ""感觉又是很美好的一天呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""亲你一下，你会怎样""}, {""sex"": ""1"", ""content"": ""还能怎么样，当然是反亲你一下啦！""}, {""sex"": ""1"", ""content"": ""你自己试试不就知道了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一会再睡""}, {""sex"": ""1"", ""content"": ""不可以背着我找其他的小哥哥哦。""}, {""sex"": ""1"", ""content"": ""那我也要一直陪着小仙女。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""陪你聊会""}, {""sex"": ""1"", ""content"": ""那我会舍不得放你走的。""}, {""sex"": ""1"", ""content"": ""我想要你陪我很久很久，聊很多很多。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一见钟情""}, {""sex"": ""1"", ""content"": ""比起一见钟情我更相信日久生情。""}, {""sex"": ""2"", ""content"": ""是吗？""}, {""sex"": ""1"", ""content"": ""一见钟情是因为脸，日久生情才是因为人啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我想认识你一下""}, {""sex"": ""1"", ""content"": ""那你想要怎么认识我呢？！""}, {""sex"": ""1"", ""content"": ""我已经准备好被你认识了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我就是胖子""}, {""sex"": ""1"", ""content"": ""胖子是个潜力股，我要了！""}, {""sex"": ""1"", ""content"": ""你要是胖子，你让那些自称瘦子的人咋办。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡一觉""}, {""sex"": ""1"", ""content"": ""那我们先睡一觉然后再聊了。""}, {""sex"": ""1"", ""content"": ""那我金你梦里和你好好说道说道。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我刚睡了一觉""}, {""sex"": ""1"", ""content"": ""难怪你看起来有种睡美人的样子。""}, {""sex"": ""1"", ""content"": ""你这睡觉时间掐着真准啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""穷小子""}, {""sex"": ""1"", ""content"": ""虽然我现在穷，但我是支潜力股啊。""}, {""sex"": ""1"", ""content"": ""难道穷小子就不配拥有爱情了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你死定了""}, {""sex"": ""1"", ""content"": ""我才不要死呢，我还想好好活着。""}, {""sex"": ""1"", ""content"": ""我要是死了，你可咋办呢呢。""}], ""lock"": 1}"
