"{""chat"": [{""sex"": ""2"", ""content"": ""早安""}, {""sex"": ""1"", ""content"": ""早安宝贝 睡得怎么样？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好好玩吧""}, {""sex"": ""1"", ""content"": ""不行，没有你就不好玩了。""}, {""sex"": ""1"", ""content"": ""难道有陪你更好玩的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你喜欢呀""}, {""sex"": ""1"", ""content"": ""对啊，我喜欢你呀。""}, {""sex"": ""1"", ""content"": ""怎么，喜欢你还不行了嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我身高163""}, {""sex"": ""1"", ""content"": ""跟我的身高很搭哦。""}, {""sex"": ""1"", ""content"": ""你怎么刚好长了我喜欢的高度？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我爱你了""}, {""sex"": ""1"", ""content"": ""说了爱就要好好爱我一辈子哦。""}, {""sex"": ""1"", ""content"": ""我就知道你爱上我是迟早的事。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好气哟""}, {""sex"": ""1"", ""content"": ""你生气的样子真的是蛮可爱的啊。""}, {""sex"": ""1"", ""content"": ""女生，笑一笑十年少。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我想找你""}, {""sex"": ""1"", ""content"": ""那就来找我，我在等你。""}, {""sex"": ""1"", ""content"": ""巧了，我也好想找你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""再等等""}, {""sex"": ""1"", ""content"": ""那你快一点哦，看不见你的日子简直度日如年""}, {""sex"": ""1"", ""content"": ""风来风往，去留无意  花落花开，树下等你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""打你吗""}, {""sex"": ""1"", ""content"": ""你敢打我！你居然敢打我！""}, {""sex"": ""1"", ""content"": ""不要打我，打我是不好的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是不是我""}, {""sex"": ""1"", ""content"": ""是你是你是你，一直都是你，永远都是你""}, {""sex"": ""1"", ""content"": ""哎呀，竟然让你发现了，这就不好玩了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是好困""}, {""sex"": ""1"", ""content"": ""到我怀里来眯一会。""}, {""sex"": ""1"", ""content"": ""以后不许熬夜了，睡得饱一点才不会困呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要疯了""}, {""sex"": ""1"", ""content"": ""难不成你能治愈我的疯狂吗。""}, {""sex"": ""1"", ""content"": ""为你疯一次我觉得挺好的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早呢""}, {""sex"": ""1"", ""content"": ""早起的小仙女，是最漂亮的小仙女。""}, {""sex"": ""1"", ""content"": ""早呀，昨晚有没有做好梦呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""挣钱呀""}, {""sex"": ""1"", ""content"": ""挣啥钱挣钱，这是你该操心的事吗？""}, {""sex"": ""1"", ""content"": ""你不用挣钱，你的任务只有爱我和花钱""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""应该嘀""}, {""sex"": ""1"", ""content"": ""那就请我吃个饭表示感谢？""}, {""sex"": ""1"", ""content"": ""为了我，就这么心甘情愿啊？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我的呢""}, {""sex"": ""1"", ""content"": ""在我这儿呢，你要过来领呀""}, {""sex"": ""1"", ""content"": ""我的不就是你的嘛""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嗯 是的""}, {""sex"": ""1"", ""content"": ""你的冷淡已经伤害了一个好男人。""}, {""sex"": ""1"", ""content"": ""好的，我已经知道了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哭吧哭吧不是罪""}, {""sex"": ""1"", ""content"": ""那能在你的怀里哭吗。""}, {""sex"": ""1"", ""content"": ""你哭着对我说童话里都是骗人的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""但是睡不着啊""}, {""sex"": ""1"", ""content"": ""是不是想我想的睡不着了？""}, {""sex"": ""1"", ""content"": ""睡不着多难受啊，可怜小仙女了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我都不确定是不是真心的""}, {""sex"": ""1"", ""content"": ""但是我知道我是真心地。""}, {""sex"": ""1"", ""content"": ""我是不是真心，难道你还不清楚吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都是肉肉""}, {""sex"": ""1"", ""content"": ""这都是用钱堆出来的啊。""}, {""sex"": ""1"", ""content"": ""这是丰满，不是肉肉！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是成都的""}, {""sex"": ""1"", ""content"": ""听说成都的妹子可都长得很好看哦。""}, {""sex"": ""1"", ""content"": ""和我在成都的街头走一走，wo~wo~""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么呀？""}, {""sex"": ""1"", ""content"": ""如果真的需要什么理由 一万个够不够！""}, {""sex"": ""1"", ""content"": ""我要是不告诉你为什么你就会不停地问为什么""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么加我啊""}, {""sex"": ""1"", ""content"": ""我为什么不能加你呢。""}, {""sex"": ""1"", ""content"": ""想找你聊聊感情的事情。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""聊天聊什么""}, {""sex"": ""1"", ""content"": ""聊聊我们那像迷一样的未来。""}, {""sex"": ""1"", ""content"": ""我们还要聊什么吗，直接撩！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""聊什么呀？""}, {""sex"": ""1"", ""content"": ""聊一些我们觉得开心的事情。""}, {""sex"": ""1"", ""content"": ""聊聊我们的未来！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不知道聊什么话题""}, {""sex"": ""1"", ""content"": ""上知天文下知地理，小仙女想聊什么都可以聊哦。""}, {""sex"": ""1"", ""content"": ""那就来聊聊咱们的未来吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你怎么宠我""}, {""sex"": ""1"", ""content"": ""那得看你想我怎么宠你了。""}, {""sex"": ""1"", ""content"": ""当然用尽我的所有来宠你啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哭什么呀""}, {""sex"": ""1"", ""content"": ""哭一哭有助于身体循环""}, {""sex"": ""1"", ""content"": ""怎么，还不让我哭了是吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么考虑""}, {""sex"": ""1"", ""content"": ""既然不知道怎么考虑，那就直接答应吧。""}, {""sex"": ""1"", ""content"": ""问问你的内心，是怎么想的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""说什么话呢""}, {""sex"": ""1"", ""content"": ""说些爱你的话呀。""}, {""sex"": ""1"", ""content"": ""我们之间 不是说什么话都可以嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么都做""}, {""sex"": ""1"", ""content"": ""为什么要让自己这么辛苦呢？""}, {""sex"": ""1"", ""content"": ""那你能不能做我的女朋友？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你做了什么""}, {""sex"": ""1"", ""content"": ""没什么，只是一些关于我喜欢你的事情。""}, {""sex"": ""1"", ""content"": ""你觉得我还能做些什么呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我有这么厉害吗""}, {""sex"": ""1"", ""content"": ""你要是不厉害怎么能镇住我呢。""}, {""sex"": ""1"", ""content"": ""我的女朋友怎么可能不厉害呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这就厉害了""}, {""sex"": ""1"", ""content"": ""要是不厉害怎么被你喜欢上啊。""}, {""sex"": ""1"", ""content"": ""难不成你还有更加厉害的？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""厉害的你""}, {""sex"": ""1"", ""content"": ""你更厉害，把我的心都偷走了。""}, {""sex"": ""1"", ""content"": ""要是不厉害怎么能引起你的注意呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那该怎么办""}, {""sex"": ""1"", ""content"": ""别急，我来帮你想想办法。""}, {""sex"": ""1"", ""content"": ""你别慌，先稳定一下自己的情绪。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么不回复我""}, {""sex"": ""1"", ""content"": ""怎么，就这会功夫就开始想我了？""}, {""sex"": ""1"", ""content"": ""没有不回复你，我这不是刚忙完立马给你发消息了嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我要怎样""}, {""sex"": ""1"", ""content"": ""不用怎样，现在就好。""}, {""sex"": ""1"", ""content"": ""随你的心，想怎么样就怎么样，""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那要怎样？""}, {""sex"": ""1"", ""content"": ""不怎么样，就是留你下来被我喜欢。""}, {""sex"": ""1"", ""content"": ""你看我的样子像是要怎么样的人么。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想玩什么？""}, {""sex"": ""1"", ""content"": ""我说想玩恋爱游戏可以吗？""}, {""sex"": ""1"", ""content"": ""你能带我玩点什么？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么也不想干""}, {""sex"": ""1"", ""content"": ""难道你就想安安静静做一条咸鱼？""}, {""sex"": ""1"", ""content"": ""怎么能什么都不干呢，至少要想想我啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么称呼呢？""}, {""sex"": ""1"", ""content"": ""你想叫啥就叫啥，喜欢就好""}, {""sex"": ""1"", ""content"": ""你想叫我男朋友我也不介意""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""巧不巧""}, {""sex"": ""1"", ""content"": ""当然巧了，我们可是天作之合。""}, {""sex"": ""1"", ""content"": ""世间所有的巧合都是冥冥注定。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃巧克力""}, {""sex"": ""1"", ""content"": ""你这是准备送我巧克力的意思嘛""}, {""sex"": ""1"", ""content"": ""好久没吃巧克力了，都快忘了是什么味道了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在想什么哦""}, {""sex"": ""1"", ""content"": ""我在想怎么样才能把你给娶回家。""}, {""sex"": ""1"", ""content"": ""要想的东西太多了，脑子都不好用了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不好意思啊""}, {""sex"": ""1"", ""content"": ""傻瓜，跟我不用不好意思的。""}, {""sex"": ""1"", ""content"": ""我把眼睛闭起来，我什么也看不见，你就不会不好意思了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没你精""}, {""sex"": ""1"", ""content"": ""像我这么精明的人，一般人也看不出来。""}, {""sex"": ""1"", ""content"": ""谢谢夸奖，我会骄傲的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""自己开心""}, {""sex"": ""1"", ""content"": ""看到你开心我就很开心了。""}, {""sex"": ""1"", ""content"": ""什么事都没有自己开心重要，所以你要每天都开开心心哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不要这么叫我""}, {""sex"": ""1"", ""content"": ""为什么不要这样叫你呀？""}, {""sex"": ""1"", ""content"": ""那小仙女说我该怎么叫你呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡累了""}, {""sex"": ""1"", ""content"": ""睡觉这么舒服的事你竟然觉得累？""}, {""sex"": ""1"", ""content"": ""睡累了就起来吃吃东西放松放松。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""去买衣服了""}, {""sex"": ""1"", ""content"": ""是不是买你仙女服了？""}, {""sex"": ""1"", ""content"": ""你这么好看穿什么衣服都是好看的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""洗了就睡不着了""}, {""sex"": ""1"", ""content"": ""那我陪你聊到天明。""}, {""sex"": ""1"", ""content"": ""是因为洗了睡不着还是因为想我才睡不着呀？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天不睡了""}, {""sex"": ""1"", ""content"": ""你是准备修仙吗？""}, {""sex"": ""1"", ""content"": ""你不睡觉，是想我了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""删吧！""}, {""sex"": ""1"", ""content"": ""我怕删了你找不到我会哭。""}, {""sex"": ""1"", ""content"": ""我可不想失去我最宝贵的东西。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""飘了啊""}, {""sex"": ""1"", ""content"": ""那你要抓住我呦。""}, {""sex"": ""1"", ""content"": ""飘了，求教育。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可算了吧""}, {""sex"": ""1"", ""content"": ""那不行！我对你的喜欢就不能还这么算了。""}, {""sex"": ""1"", ""content"": ""对不起，我做不到。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""饿死算了呗""}, {""sex"": ""1"", ""content"": ""你舍得让我饿死吗？！""}, {""sex"": ""1"", ""content"": ""那我变成饿死鬼，天天缠着你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我太矫情了""}, {""sex"": ""1"", ""content"": ""怎么会，你只是比较感性罢了""}, {""sex"": ""1"", ""content"": ""这说明你是心思细腻的女孩子呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你贵姓""}, {""sex"": ""1"", ""content"": ""一开始就查户口不好吧。""}, {""sex"": ""1"", ""content"": ""名字只是一个遇见你的契机罢了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡觉，困死了""}, {""sex"": ""1"", ""content"": ""睡吧睡吧，我亲爱的小公主""}, {""sex"": ""1"", ""content"": ""嗯嗯，一起睡吧，我也困得睁不开眼了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我怕分手""}, {""sex"": ""1"", ""content"": ""那请允许我和你谈一场不分手的恋爱！""}, {""sex"": ""1"", ""content"": ""只要你想，我们之间就不会分手。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嗯嗯，想我了""}, {""sex"": ""1"", ""content"": ""想你了，非常非常的想。""}, {""sex"": ""1"", ""content"": ""看来我的想念你已经接收到了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""快乐不见了""}, {""sex"": ""1"", ""content"": ""谁把你的快乐偷走了，我去给你找回来""}, {""sex"": ""1"", ""content"": ""快乐还在呢，我跟快乐都会一直陪着你的呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我要起来了""}, {""sex"": ""1"", ""content"": ""快来拉我一把，我被床封印住了。""}, {""sex"": ""1"", ""content"": ""起来为我做爱心早餐吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""来不来接我""}, {""sex"": ""1"", ""content"": ""你都这么说了，肯定要来的！""}, {""sex"": ""1"", ""content"": ""作为未来男朋友肯定得过来接送。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""正在吃饭中""}, {""sex"": ""1"", ""content"": ""那你慢慢吃，可别噎着了。""}, {""sex"": ""1"", ""content"": ""吃什么好吃的了，我都馋了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""多想想""}, {""sex"": ""1"", ""content"": ""想得再多也还是你""}, {""sex"": ""1"", ""content"": ""多想想你就会出现了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不爱笑了""}, {""sex"": ""1"", ""content"": ""为什么不爱笑呢，明明笑起来就很好看。""}, {""sex"": ""1"", ""content"": ""还是要多笑笑好啊，笑一笑十年少。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""终于醒了""}, {""sex"": ""1"", ""content"": ""原来你一直都在等我醒来吗？""}, {""sex"": ""1"", ""content"": ""你在等我？怎么不给我发消息叫醒我呀？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃多了想吐""}, {""sex"": ""1"", ""content"": ""那就别勉强自己了，不能把身体给折腾坏了""}, {""sex"": ""1"", ""content"": ""不吃了不吃了，你要是吐了我会担心的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""看到啥了""}, {""sex"": ""1"", ""content"": ""看到一个这么好看的你了。""}, {""sex"": ""1"", ""content"": ""你猜，猜对了有奖励。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""做梦呢你""}, {""sex"": ""1"", ""content"": ""有你的梦不是挺好的嘛。""}, {""sex"": ""1"", ""content"": ""毕竟现实这么残酷，能做做梦多好啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天是真的冷""}, {""sex"": ""1"", ""content"": ""我抱抱就不会冷了。""}, {""sex"": ""1"", ""content"": ""天冷才需要我呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""休息半天""}, {""sex"": ""1"", ""content"": ""休息休息也对身体比较好。""}, {""sex"": ""1"", ""content"": ""那你好好休息，记得按时吃饭。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""去哪了？""}, {""sex"": ""1"", ""content"": ""我去月老那问你我的姻缘了。""}, {""sex"": ""1"", ""content"": ""去你心里了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我们都老了""}, {""sex"": ""1"", ""content"": ""就算是年纪到了，我也不服老""}, {""sex"": ""1"", ""content"": ""能跟你一起老去我觉得也是件不错的事""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好像傻了""}, {""sex"": ""1"", ""content"": ""不知道为什么，在你面前总是犯傻。""}, {""sex"": ""1"", ""content"": ""对啊，要是没傻也不会看上你了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都热死了""}, {""sex"": ""1"", ""content"": ""现在就这么热了，不知道夏天要怎么熬过去哦。""}, {""sex"": ""1"", ""content"": ""是不是觉得要热到融化了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""等下辈子吧""}, {""sex"": ""1"", ""content"": ""这辈子我只想和你在一起。""}, {""sex"": ""1"", ""content"": ""下辈子的事情，下辈子再说。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说你会爱我一辈子，我却忘记了问你是这辈子还是下辈子""}, {""sex"": ""1"", ""content"": ""三生三世！""}, {""sex"": ""1"", ""content"": ""这辈子！下辈子，下下辈子都是。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""见不见都一样""}, {""sex"": ""1"", ""content"": ""那怎么能一样呢？见面了会更有真实感""}, {""sex"": ""1"", ""content"": ""不一样，现实里的小仙女肯定更可爱""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""还要一会""}, {""sex"": ""1"", ""content"": ""就怕这一会之后你就变成别人的小仙女了。""}, {""sex"": ""1"", ""content"": ""那我就再等你一会，不可以让我等太久哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我忙一会""}, {""sex"": ""1"", ""content"": ""记得忙里偷闲想我一会。""}, {""sex"": ""1"", ""content"": ""别太累着自己了哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""亲吧""}, {""sex"": ""1"", ""content"": ""亲哪儿都不许抗拒哦。""}, {""sex"": ""1"", ""content"": ""MUA~亲一下嘴巴，亲一下眼睛，亲一下脸颊……""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""要不要亲我一口""}, {""sex"": ""1"", ""content"": ""一口怎么够，要好几口。""}, {""sex"": ""1"", ""content"": ""你这是在诱惑我犯罪。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""随口一说""}, {""sex"": ""1"", ""content"": ""你说的每一句话我都认真记在心里。""}, {""sex"": ""1"", ""content"": ""但我说喜欢你并不是随口一说。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我安全""}, {""sex"": ""1"", ""content"": ""哪里安全了，出个门都不知道有多少人在偷看你""}, {""sex"": ""1"", ""content"": ""幸好安全，不然我总提心吊胆""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一直陪着我""}, {""sex"": ""1"", ""content"": ""你都这么说了，我一定会陪着你的。""}, {""sex"": ""1"", ""content"": ""不陪着你，我还能陪着谁啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""外面下雨了""}, {""sex"": ""1"", ""content"": ""你喜欢下雨天吗？""}, {""sex"": ""2"", ""content"": ""不喜欢，湿答答的。""}, {""sex"": ""1"", ""content"": ""可是我喜欢下雨天，因为下雨天会特别想你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""能认识一下吗？""}, {""sex"": ""1"", ""content"": ""好呀，你想认识我什么呢""}, {""sex"": ""1"", ""content"": ""当然可以，可以认识这么可爱的小仙女是我的荣幸""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""咱俩认识吗？""}, {""sex"": ""1"", ""content"": ""现在认识下，不就认识了。""}, {""sex"": ""1"", ""content"": ""加个微信不就认识了。""}], ""lock"": 1}"
