"{""chat"": [{""sex"": ""1"", ""content"": ""小姐姐，我可以和你问一下路吗？""}, {""sex"": ""2"", ""content"": ""去哪？""}, {""sex"": ""1"", ""content"": ""去你心里的路""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要来接我""}, {""sex"": ""1"", ""content"": ""好的，我负责来接你。""}, {""sex"": ""1"", ""content"": ""以后我都会接着你往前走。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你这么直接""}, {""sex"": ""1"", ""content"": ""我怕拐弯抹角你听不懂。""}, {""sex"": ""1"", ""content"": ""直接点，比较安心。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嫁鸡随鸡嫁狗随狗""}, {""sex"": ""1"", ""content"": ""嫁我随我。""}, {""sex"": ""1"", ""content"": ""那你做好嫁给我的准备了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我怎么不知道我要嫁给你呀""}, {""sex"": ""1"", ""content"": ""你自己在梦里答应我的好不好。""}, {""sex"": ""1"", ""content"": ""可能你失忆了，没事 嫁给我慢慢回想起来。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""夸我！！！""}, {""sex"": ""1"", ""content"": ""不用我夸，你的好显而易见""}, {""sex"": ""1"", ""content"": ""让我找个词来夸你吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我没撩你""}, {""sex"": ""1"", ""content"": ""我不介意你撩我的。""}, {""sex"": ""1"", ""content"": ""那你是怎么撩动我的心啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""身高162""}, {""sex"": ""1"", ""content"": ""正好我喜欢的人也这身高。""}, {""sex"": ""1"", ""content"": ""你这身高和我很配。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你心里来的""}, {""sex"": ""1"", ""content"": ""我心里就你一个。""}, {""sex"": ""1"", ""content"": ""心就这么大，容不下另外一个人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你喜欢宠物吗""}, {""sex"": ""1"", ""content"": ""不喜欢，我只喜欢你。""}, {""sex"": ""1"", ""content"": ""你不就是我养的小宠物吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你喜欢我吗？""}, {""sex"": ""1"", ""content"": ""喜欢呗，你还想怎么样？""}, {""sex"": ""1"", ""content"": ""我这人向来都是说实话的，没错很喜欢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没找你""}, {""sex"": ""1"", ""content"": ""干嘛不找我，我一直都在等你啊。""}, {""sex"": ""1"", ""content"": ""难道你背着我去找别的小哥哥了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""烦烦的""}, {""sex"": ""1"", ""content"": ""是什么烦恼在缠着小仙女呀？""}, {""sex"": ""1"", ""content"": ""别烦别烦，跟我聊会儿天就不烦了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想打你的冲动""}, {""sex"": ""1"", ""content"": ""打是亲，你是想亲我的冲动吧。""}, {""sex"": ""1"", ""content"": ""我这么可爱，你居然想打我！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""很熟""}, {""sex"": ""1"", ""content"": ""很熟但又想不起来是什么是不是？""}, {""sex"": ""1"", ""content"": ""努力想想呀，你肯定能想到的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你脑子有病""}, {""sex"": ""1"", ""content"": ""我就是有病，喜欢你喜欢得失去自我。""}, {""sex"": ""1"", ""content"": ""对啊，你快帮我治治。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是疼""}, {""sex"": ""1"", ""content"": ""我帮你呼呼就不疼了哦。""}, {""sex"": ""1"", ""content"": ""如果我有超能力，就能把你的疼痛转移到我身上了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""矜持是什么能吃么""}, {""sex"": ""1"", ""content"": ""要是能吃的话，我可能已经吃撑了。""}, {""sex"": ""1"", ""content"": ""那你还在等什么？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是直男？""}, {""sex"": ""1"", ""content"": ""难不成弯的还喜欢你？""}, {""sex"": ""1"", ""content"": ""还好我是直男，要是弯的就不会喜欢你了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""又不困了""}, {""sex"": ""1"", ""content"": ""你这犯困的技术还真的没话说啊。""}, {""sex"": ""1"", ""content"": ""现在不困以后总是会困的吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没干嘛。""}, {""sex"": ""1"", ""content"": ""没干嘛为啥我脑海里都是你""}, {""sex"": ""1"", ""content"": ""要不想想我们能干嘛呗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是生气了""}, {""sex"": ""1"", ""content"": ""生气的时候要不要也这么可爱。""}, {""sex"": ""1"", ""content"": ""没事，我会负责把你哄好的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是不是蠢""}, {""sex"": ""1"", ""content"": ""你竟然质疑我的聪明才智！""}, {""sex"": ""1"", ""content"": ""我是蠢啊，不然怎么会喜欢上你？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那是不是我很可怕啊""}, {""sex"": ""1"", ""content"": ""不可怕啊，还很可爱呢。""}, {""sex"": ""1"", ""content"": ""你又不是鬼，你有啥好可怕的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""准备睡咯""}, {""sex"": ""1"", ""content"": ""被子盖好咯，小心我钻你被窝。""}, {""sex"": ""1"", ""content"": ""快亲我一下，不然我今晚会睡不着。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说我是猪？""}, {""sex"": ""1"", ""content"": ""但是你比猪可爱多了。""}, {""sex"": ""1"", ""content"": ""猪没你这么好看。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是不是很可爱""}, {""sex"": ""1"", ""content"": ""再可爱也没有你可爱啊。""}, {""sex"": ""1"", ""content"": ""反正不是可怜没人爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早上好么么哒""}, {""sex"": ""1"", ""content"": ""不止要么么哒，还要抱抱""}, {""sex"": ""1"", ""content"": ""还要再来一个么么哒，早上才能好""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么乖的吗""}, {""sex"": ""1"", ""content"": ""我这么乖是不是应该得到一点奖励？""}, {""sex"": ""1"", ""content"": ""小仙女不喜欢我这么乖吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么可能啊""}, {""sex"": ""1"", ""content"": ""海鸟跟鱼都能相爱，怎么就不可能了？""}, {""sex"": ""1"", ""content"": ""我没想到你竟然会这么惊讶。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在想怎么回复""}, {""sex"": ""1"", ""content"": ""别想了，该怎么回复就怎么回复。""}, {""sex"": ""1"", ""content"": ""那你现在想好怎么回复我了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我可没有那么厉害""}, {""sex"": ""1"", ""content"": ""你只是不知道自己这么厉害而已。""}, {""sex"": ""1"", ""content"": ""我看没有谁比你还厉害的了，真的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我困了怎么办""}, {""sex"": ""1"", ""content"": ""靠在我的肩上睡会儿吧。""}, {""sex"": ""1"", ""content"": ""那我还能怎么办，让你睡觉呗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你为什么请我吃饭""}, {""sex"": ""1"", ""content"": ""有人请你吃饭还不好呀，请你吃就吃好了""}, {""sex"": ""1"", ""content"": ""没有为什么，我就是想跟你一起吃个饭""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""国庆怎么了""}, {""sex"": ""1"", ""content"": ""还能怎么，当然是陪你咯。""}, {""sex"": ""1"", ""content"": ""问你要去干嘛，约你咯。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么开心的呀""}, {""sex"": ""1"", ""content"": ""需不需要我分享一下开心呀？""}, {""sex"": ""1"", ""content"": ""我的开心还不是因为你开心了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么叫开心""}, {""sex"": ""1"", ""content"": ""我的开心很简单，看到你开心我就觉得开心了。""}, {""sex"": ""1"", ""content"": ""开心是觉得一切都很美好，会发自内心地笑。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么会知道""}, {""sex"": ""1"", ""content"": ""我喜欢你，我当然是知道啦。""}, {""sex"": ""1"", ""content"": ""我要是不知道，怎么配做你喜欢的人呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""下午好，在忙什么呢""}, {""sex"": ""1"", ""content"": ""你知道我在忙什么就不会想问了""}, {""sex"": ""1"", ""content"": ""我在忙的事情你一定会感兴趣""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""晚上忙""}, {""sex"": ""1"", ""content"": ""白天忙晚上忙，那你什么时候才有空呀""}, {""sex"": ""1"", ""content"": ""连晚上都要忙吗，那不是会很累""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为啥这么说呢""}, {""sex"": ""1"", ""content"": ""我做得这么明显，你说为什么""}, {""sex"": ""1"", ""content"": ""没有为什么，想说就说了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""约我干什么""}, {""sex"": ""1"", ""content"": ""当然是做一些我们喜欢做的事情啦。""}, {""sex"": ""1"", ""content"": ""不约你，我能干嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么可以这样对我""}, {""sex"": ""1"", ""content"": ""我这么喜欢你难道不可以吗？""}, {""sex"": ""1"", ""content"": ""我这么对你难道不行吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是挺巧""}, {""sex"": ""1"", ""content"": ""无巧不成书啊，这是天定的缘分。""}, {""sex"": ""1"", ""content"": ""所有的巧合都是上天的安排。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我要怎么说""}, {""sex"": ""1"", ""content"": ""要是不知道怎么说，你可以用你的行动来表达。""}, {""sex"": ""1"", ""content"": ""说说说说，说你爱我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想吃什么？""}, {""sex"": ""1"", ""content"": ""我想吃你，你给不给我吃！""}, {""sex"": ""1"", ""content"": ""想吃的东西太多了，你要不要陪我一起去。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有点不爽""}, {""sex"": ""1"", ""content"": ""怎么了，发生什么让小仙女不爽的事情了？""}, {""sex"": ""1"", ""content"": ""不爽的时候就要吃东西，我带你吃好吃的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么问这个问题""}, {""sex"": ""1"", ""content"": ""因为我想知道这个问题的答案。""}, {""sex"": ""1"", ""content"": ""不止想问这个问题，还有好多问题想问。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我睡觉都很早""}, {""sex"": ""1"", ""content"": ""那我得早点和你说早安才行。""}, {""sex"": ""1"", ""content"": ""早睡早起，难怪你长得这么好看呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你睡的早""}, {""sex"": ""1"", ""content"": ""早睡早起身体好！""}, {""sex"": ""1"", ""content"": ""这不是想早点梦到你吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你精神真好""}, {""sex"": ""1"", ""content"": ""当然啦，精神不好怎么行呢。""}, {""sex"": ""1"", ""content"": ""精神好才能好好陪你聊天。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""啥时候？""}, {""sex"": ""1"", ""content"": ""你什么时候有空就什么时候。""}, {""sex"": ""1"", ""content"": ""什么时候都可以。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""帮我洗头""}, {""sex"": ""1"", ""content"": ""好好好，帮女朋友洗头是应该的""}, {""sex"": ""1"", ""content"": ""那我帮你洗头是不是应该得到奖励呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你都会什么""}, {""sex"": ""1"", ""content"": ""你希望我会什么呢？""}, {""sex"": ""1"", ""content"": ""我会的东西还很多，等着你发现。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我什么都会""}, {""sex"": ""1"", ""content"": ""那喜欢我会不会？""}, {""sex"": ""1"", ""content"": ""做个好老婆会不会？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不开心的""}, {""sex"": ""1"", ""content"": ""那你希望什么才是开心的呢。""}, {""sex"": ""1"", ""content"": ""那我可以给你一份开心吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""开开心心的""}, {""sex"": ""1"", ""content"": ""你要是有我的话，保证很开心。""}, {""sex"": ""1"", ""content"": ""有你的每一天都是开心的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么叫恋爱""}, {""sex"": ""1"", ""content"": ""你找我试一试不就知道什么叫做恋爱了。""}, {""sex"": ""1"", ""content"": ""恋爱这种东西太深奥了，说了你也不懂。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""彼此了解""}, {""sex"": ""1"", ""content"": ""了解你真的不容易啊。""}, {""sex"": ""1"", ""content"": ""那我们得深入了解一下才行。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""醒了就不想睡了""}, {""sex"": ""1"", ""content"": ""那这时候就需要我哄你睡觉了。""}, {""sex"": ""1"", ""content"": ""没事，这不是还有我陪着你吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""删除我""}, {""sex"": ""1"", ""content"": ""删了你让你去逍遥法外吗？""}, {""sex"": ""1"", ""content"": ""我怎么舍得把最爱的人删除。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你又飘了""}, {""sex"": ""1"", ""content"": ""你怎么可以用又这个字呢。""}, {""sex"": ""1"", ""content"": ""飘了，求你来调教。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为啥分手了""}, {""sex"": ""1"", ""content"": ""感情淡了最后就分手了。""}, {""sex"": ""1"", ""content"": ""本以为是最后的人，没想到最后才发现自己太天真。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""起床先""}, {""sex"": ""1"", ""content"": ""你快来拉我起床。""}, {""sex"": ""1"", ""content"": ""床太舒服了，让我舍不得离开它的怀抱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""快下课了。""}, {""sex"": ""1"", ""content"": ""终于快下课了，可让我好等啊。""}, {""sex"": ""1"", ""content"": ""是不是心已经不在课堂上了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""又长胖了。""}, {""sex"": ""1"", ""content"": ""我妈说，胖点的女生好养""}, {""sex"": ""1"", ""content"": ""可能是我的心放在你身上所以胖了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就很晚才睡""}, {""sex"": ""1"", ""content"": ""熬夜是一种毒品，你上瘾了。""}, {""sex"": ""1"", ""content"": ""让你别太想我，这下晚睡了吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""也是醉了""}, {""sex"": ""1"", ""content"": ""那就醉倒在我的怀抱里吧""}, {""sex"": ""1"", ""content"": ""别生气，有的时候就是会有些不可理喻的事情发生""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你喝醉了吗""}, {""sex"": ""1"", ""content"": ""酒壮怂人胆，好不容易对你表白的。""}, {""sex"": ""1"", ""content"": ""你觉得我像是个喝醉的人吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡觉了昂""}, {""sex"": ""1"", ""content"": ""睡吧，我已经准备好在梦里遇到你了。""}, {""sex"": ""1"", ""content"": ""这睡觉的姿势怎么那么多啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想多了[捂脸]""}, {""sex"": ""1"", ""content"": ""都怪我的帅气让你想多了。""}, {""sex"": ""1"", ""content"": ""想多了没事，只要别想歪了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在吃药""}, {""sex"": ""1"", ""content"": ""是不是治喜欢我的药？""}, {""sex"": ""1"", ""content"": ""按时吃药，才能把病治好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不喜欢吃药""}, {""sex"": ""1"", ""content"": ""你不喜欢吃药，难道喜欢……吃我？""}, {""sex"": ""1"", ""content"": ""听话，药吃了病才会好的快。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我要赢""}, {""sex"": ""1"", ""content"": ""只要你想赢，我就一定不会让你输。""}, {""sex"": ""1"", ""content"": ""好好好，我会帮你赢的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""醒了？""}, {""sex"": ""1"", ""content"": ""醒来第一件事就是想你一分钟。""}, {""sex"": ""1"", ""content"": ""只要一想到你，我就能笑着醒来""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我醒了""}, {""sex"": ""1"", ""content"": ""是不是一睡醒就马上给我发消息啦？""}, {""sex"": ""2"", ""content"": ""是啊""}, {""sex"": ""1"", ""content"": ""真开心，能成为你醒来第一个惦记的人""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早上天气冷""}, {""sex"": ""1"", ""content"": ""你要好好穿着衣服知道不！""}, {""sex"": ""1"", ""content"": ""天冷不带上我真的合适吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这个天真冷""}, {""sex"": ""1"", ""content"": ""有我暖你，你不要怕冷。""}, {""sex"": ""1"", ""content"": ""来我怀里，里面不冷。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天冷啊""}, {""sex"": ""1"", ""content"": ""那我要不要给你一个抱抱？""}, {""sex"": ""1"", ""content"": ""来我怀里就不会冷了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不去找你了""}, {""sex"": ""1"", ""content"": ""怎么了，怎么突然就反悔了呢。""}, {""sex"": ""1"", ""content"": ""你不来找我，那我就过去找你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""起床了啊""}, {""sex"": ""1"", ""content"": ""看来你的午饭已经和你早饭结合了。""}, {""sex"": ""1"", ""content"": ""太阳打西边出来了？你起这么早""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""生病表情""}, {""sex"": ""1"", ""content"": ""小仙女生病了吗，无精打采的。""}, {""sex"": ""1"", ""content"": ""宝贝，生病了赶紧去看医生，不然我会担心的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""给你一个亲亲""}, {""sex"": ""1"", ""content"": ""我能高兴半天了。""}, {""sex"": ""1"", ""content"": ""一个怕是不够啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你们都一样""}, {""sex"": ""1"", ""content"": ""不一样，我跟别人可不一样。""}, {""sex"": ""1"", ""content"": ""你这样看待我让我觉得很受伤。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""聊一会""}, {""sex"": ""1"", ""content"": ""跟我聊天一小时五块哦。""}, {""sex"": ""1"", ""content"": ""别说聊一会了，一天都行。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一会聊吧""}, {""sex"": ""1"", ""content"": ""一会这个词突然变得很漫长。""}, {""sex"": ""1"", ""content"": ""那我等你哦，别忘了给我发消息。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么你的哦和别人不一样。""}, {""sex"": ""1"", ""content"": ""因为我和别人不一样啊。""}, {""sex"": ""1"", ""content"": ""像我这么好看的人怎么会和别人一样呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""新的一天开场白""}, {""sex"": ""1"", ""content"": ""如果今天能和你见面的话就是完美的一天了""}, {""sex"": ""1"", ""content"": ""你今天不想第一个看到我吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""亲亲你！！""}, {""sex"": ""1"", ""content"": ""抱抱我！""}, {""sex"": ""1"", ""content"": ""那麻烦多亲几下！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""亲谁""}, {""sex"": ""1"", ""content"": ""当然是亲我了，除了我不可以亲别人哦""}, {""sex"": ""1"", ""content"": ""亲你亲你，还要把你亲得满脸口水""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你就陪我一会嘛""}, {""sex"": ""1"", ""content"": ""我想两陪你余生，你愿意吗。""}, {""sex"": ""1"", ""content"": ""我这不是怕我控制不住的喜欢上你吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""见面啊""}, {""sex"": ""1"", ""content"": ""好啊，这样我就能见见小仙女的真面目了。""}, {""sex"": ""1"", ""content"": ""我一直都很期待我们的见面，一想到要见到你了我的心就狂跳不止。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想和你认识一下""}, {""sex"": ""1"", ""content"": ""你想怎么个认识呢？""}, {""sex"": ""1"", ""content"": ""那你应该说点别的吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不认识哎""}, {""sex"": ""1"", ""content"": ""那我们就好好认识认识呗。""}, {""sex"": ""1"", ""content"": ""没关系，我们还有一生可以认识。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我们想法不一样""}, {""sex"": ""1"", ""content"": ""能一起创造未来的人都是有各自想法的人。""}, {""sex"": ""1"", ""content"": ""但是我们向往的是一样的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""花开""}, {""sex"": ""1"", ""content"": ""花有重开日，人无再少年""}, {""sex"": ""1"", ""content"": ""花开花落人如旧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你自己一个人吗""}, {""sex"": ""1"", ""content"": ""难道我还是两个人吗。""}, {""sex"": ""1"", ""content"": ""我喜欢，当然是我一个人喜欢你啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一定的""}, {""sex"": ""1"", ""content"": ""那咱们就说好咯，不可以反悔""}, {""sex"": ""1"", ""content"": ""嗯嗯，有你这句话我就放心了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""三生三世十里桃花""}, {""sex"": ""1"", ""content"": ""你就是我三生三世里躲不过的桃花。""}, {""sex"": ""1"", ""content"": ""与其看别人三生三世的爱恋不如我们谈一段永不分手的恋爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是很正常""}, {""sex"": ""1"", ""content"": ""那怎样算正常，你得告诉我呀""}, {""sex"": ""1"", ""content"": ""难道我一直都不正常吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""晒会太阳""}, {""sex"": ""1"", ""content"": ""多晒太阳补补钙会长高的哦。""}, {""sex"": ""1"", ""content"": ""那你可要当心被晒黑了。""}], ""lock"": 1}"
