"{""chat"": [{""sex"": ""2"", ""content"": ""哥哥好""}, {""sex"": ""1"", ""content"": ""开心，突然间多了个妹妹""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""能加个微信吗""}, {""sex"": ""2"", ""content"": ""你常常在大街上搭讪吗""}, {""sex"": ""1"", ""content"": ""不多不多，一天一二百个而已""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你能吗""}, {""sex"": ""1"", ""content"": ""你在怀疑我的实力吗？""}, {""sex"": ""1"", ""content"": ""为了小仙女，不能也得能。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是猪蹄吗""}, {""sex"": ""1"", ""content"": ""你是想吃猪蹄吗？""}, {""sex"": ""1"", ""content"": ""大猪蹄子不好吗？！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在干什么呢？""}, {""sex"": ""1"", ""content"": ""在给世界上最漂亮的女人发信息呢。""}, {""sex"": ""1"", ""content"": ""没什么，看着你的照片发呆呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""太像你了""}, {""sex"": ""1"", ""content"": ""看来我已经深深刻在你的脑海里了。""}, {""sex"": ""1"", ""content"": ""以后咱们的宝宝也会很像我的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""亮瞎你的眼""}, {""sex"": ""1"", ""content"": ""果然，小仙女自带光环。""}, {""sex"": ""1"", ""content"": ""不光要亮瞎我的眼，要亮瞎我的整个世界才行。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""骗鬼吧你""}, {""sex"": ""1"", ""content"": ""我怎么舍得骗你呢。""}, {""sex"": ""1"", ""content"": ""我骗谁都不敢骗你啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""骗人！""}, {""sex"": ""1"", ""content"": ""谁敢骗你这个小可爱啊。""}, {""sex"": ""1"", ""content"": ""我才舍不得骗你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在干嘛？？""}, {""sex"": ""1"", ""content"": ""在和我妈的儿媳妇聊天呢。""}, {""sex"": ""1"", ""content"": ""还能干嘛啊，看着你的照片发呆呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在干嘛啊""}, {""sex"": ""1"", ""content"": ""我除了爱你还能干嘛""}, {""sex"": ""1"", ""content"": ""你想知道我在干嘛就来找我好了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""大坏蛋咬你""}, {""sex"": ""1"", ""content"": ""大坏蛋被咬了，要把你绑起来带回家！""}, {""sex"": ""1"", ""content"": ""小坏蛋咬大坏蛋。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""咬手手""}, {""sex"": ""1"", ""content"": ""你这么可爱是犯规的知道不！""}, {""sex"": ""1"", ""content"": ""手手有什么好咬的，咬我！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你请我吧""}, {""sex"": ""1"", ""content"": ""那我就请你嫁给我吧。""}, {""sex"": ""1"", ""content"": ""我可以请你吃一辈子的饭。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你请客不""}, {""sex"": ""1"", ""content"": ""我请客你买单吗？""}, {""sex"": ""1"", ""content"": ""只有我们两个的烛光晚餐，你要来吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""快点夸夸我""}, {""sex"": ""1"", ""content"": ""一般人我可不夸，我只夸我在意的人。""}, {""sex"": ""1"", ""content"": ""我的夸奖可是收费的，先收一个吻的定金。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你夸我了""}, {""sex"": ""1"", ""content"": ""难道你这么好，不值得我去夸吗。""}, {""sex"": ""1"", ""content"": ""没有夸你，我只是在说事实。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哎呀呀呀""}, {""sex"": ""1"", ""content"": ""哎呀个啥，别想用卖萌来逃过这一劫""}, {""sex"": ""1"", ""content"": ""这是你的口头禅吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你多高阿""}, {""sex"": ""1"", ""content"": ""像我这样的帅哥，身高至少一米八打底啊。""}, {""sex"": ""1"", ""content"": ""抱着你的时候能让你的脑袋靠在我胸膛的身高。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""心里好烦""}, {""sex"": ""1"", ""content"": ""心烦的时候就来我心里走走吧。""}, {""sex"": ""1"", ""content"": ""让我住进你的心里，把结症找出来呗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你爱我吧""}, {""sex"": ""1"", ""content"": ""好的，我会爱你的。""}, {""sex"": ""1"", ""content"": ""我不爱你，我还能爱谁。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你喜欢她吗""}, {""sex"": ""1"", ""content"": ""我喜欢的人有且仅有一个你。""}, {""sex"": ""1"", ""content"": ""我要是喜欢她我还跟你聊天干嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你爱找谁找谁去""}, {""sex"": ""1"", ""content"": ""可我就爱找你啊。""}, {""sex"": ""1"", ""content"": ""找谁都不好，找你最好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你让我想想""}, {""sex"": ""1"", ""content"": ""过了这个村就没这个店了。""}, {""sex"": ""1"", ""content"": ""别想了，再想就没了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我要想你""}, {""sex"": ""1"", ""content"": ""那你就多想我，要一直一直想我。""}, {""sex"": ""1"", ""content"": ""你这样想我，真怕你暗算我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我打你哟""}, {""sex"": ""1"", ""content"": ""打吧，老公给老婆打！""}, {""sex"": ""1"", ""content"": ""我会告你家暴的，哼。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我烦得很""}, {""sex"": ""1"", ""content"": ""我来帮你消除烦恼了。""}, {""sex"": ""1"", ""content"": ""把烦心事说出来心里可能就会好受一些。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不想打""}, {""sex"": ""1"", ""content"": ""不想打就不打了，不要勉强自己。""}, {""sex"": ""1"", ""content"": ""那等你想打的时候就告诉我，我陪你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""真的想打你""}, {""sex"": ""1"", ""content"": ""别想了，来付出行动吧！""}, {""sex"": ""1"", ""content"": ""打是亲，你亲我就好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不想打击你""}, {""sex"": ""1"", ""content"": ""别打击我，我的心灵很脆弱的。""}, {""sex"": ""1"", ""content"": ""你打击我的次数还少吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""够了啦""}, {""sex"": ""1"", ""content"": ""还不够啊， 至少还没有把你弄高兴""}, {""sex"": ""1"", ""content"": ""爱你怎么样都是不够的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""下一站是幸福""}, {""sex"": ""1"", ""content"": ""有你的就是幸福。""}, {""sex"": ""1"", ""content"": ""幸福不远了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是我啊""}, {""sex"": ""1"", ""content"": ""其实我早就知道是你啦。""}, {""sex"": ""1"", ""content"": ""对啊，你就是我喜欢的人啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你就是毒""}, {""sex"": ""1"", ""content"": ""那你就是解药。""}, {""sex"": ""1"", ""content"": ""而且还是相思属性的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是不困""}, {""sex"": ""1"", ""content"": ""那我就陪你一起不困！""}, {""sex"": ""1"", ""content"": ""通宵少女，你这是要消耗生命啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是吗""}, {""sex"": ""1"", ""content"": ""像宝哥哥照顾林妹妹那样？""}, {""sex"": ""1"", ""content"": ""难道是吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是吗！""}, {""sex"": ""1"", ""content"": ""能不能把那个“吗”给我去了！""}, {""sex"": ""1"", ""content"": ""你变了，我们之间最起码的信任都没有了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是吗""}, {""sex"": ""1"", ""content"": ""你是，你就是我最喜欢的女孩""}, {""sex"": ""1"", ""content"": ""请你不要怀疑自己好吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是渣男？""}, {""sex"": ""1"", ""content"": ""你见过渣男这么直的嘛！""}, {""sex"": ""1"", ""content"": ""我要是渣男，你怕是没办法安然无恙了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是渣男嘛""}, {""sex"": ""1"", ""content"": ""难不成你喜欢渣男？""}, {""sex"": ""1"", ""content"": ""你觉得会有渣男说自己是渣男的吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是不是困了？""}, {""sex"": ""1"", ""content"": ""本来是困了的，不过和你聊天之后就精神了。""}, {""sex"": ""1"", ""content"": ""你都还没犯困，我怎么会困呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你觉得行就行""}, {""sex"": ""1"", ""content"": ""我觉得我做你男朋友特别行。""}, {""sex"": ""1"", ""content"": ""男人怎么可以说不行呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""疯疯癫癫""}, {""sex"": ""1"", ""content"": ""我已经疯狂地喜欢上你了。""}, {""sex"": ""1"", ""content"": ""生活索然无味，总要有人带你疯狂一下你才会知道有多美好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是嘛。""}, {""sex"": ""1"", ""content"": ""当然不是，随口这么一说而已""}, {""sex"": ""1"", ""content"": ""我说的你还不信吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""干嘛哇""}, {""sex"": ""1"", ""content"": ""没干嘛就是想看看你而已。""}, {""sex"": ""1"", ""content"": ""我还能干嘛，只能想你咯。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是傻瓜嘛""}, {""sex"": ""1"", ""content"": ""你见过这么帅的傻瓜？""}, {""sex"": ""1"", ""content"": ""也不看看我是谁的傻瓜。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你呢干嘛呢""}, {""sex"": ""1"", ""content"": ""还能干嘛啊，当然是想你啦。""}, {""sex"": ""1"", ""content"": ""在等你这美女找我呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""应该做的""}, {""sex"": ""1"", ""content"": ""没有什么应该做的啦，这都是因为你很善良呀。""}, {""sex"": ""1"", ""content"": ""我还是要感谢小仙女，有你的帮忙。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""应该可以吧""}, {""sex"": ""1"", ""content"": ""你可以把应该去了吗。""}, {""sex"": ""1"", ""content"": ""你这么不确定害我也心慌了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是仙女吗""}, {""sex"": ""1"", ""content"": ""请问你喝露水吗？""}, {""sex"": ""1"", ""content"": ""只有仙女才像你这么好看的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你又生气了""}, {""sex"": ""1"", ""content"": ""我难道还不能生气了吗！""}, {""sex"": ""1"", ""content"": ""生气了呀，你还不过来哄一下吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""忘了你是谁""}, {""sex"": ""1"", ""content"": ""没事，你总是会记起我是谁的。""}, {""sex"": ""1"", ""content"": ""那正好，我们可以重新认识一下。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不会是惊吓吧""}, {""sex"": ""1"", ""content"": ""我确实是受惊了，不过是惊喜。""}, {""sex"": ""1"", ""content"": ""能被你惊吓到我也觉得挺荣幸的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你才色""}, {""sex"": ""1"", ""content"": ""男儿本色嘛。""}, {""sex"": ""1"", ""content"": ""我只对你一个人才这样。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是谁？""}, {""sex"": ""1"", ""content"": ""笨蛋，你是我的女人。""}, {""sex"": ""1"", ""content"": ""我在哪？我从哪里来？要到哪里去？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是不是有点喜欢我""}, {""sex"": ""1"", ""content"": ""你确定我不是很喜欢你？！""}, {""sex"": ""1"", ""content"": ""这都让你知道了，这多不好意思啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要听真话还是假话""}, {""sex"": ""1"", ""content"": ""如果是会让我伤心的真话，那我选择听假话。""}, {""sex"": ""1"", ""content"": ""我想听真话，实话告诉我好吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""全部都是你""}, {""sex"": ""1"", ""content"": ""脑海里都是你。""}, {""sex"": ""1"", ""content"": ""这可真的是我的荣幸啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么这么笨""}, {""sex"": ""1"", ""content"": ""这么笨还不是为了能好好照顾你啊。""}, {""sex"": ""1"", ""content"": ""哪里笨啦，明明还可以照顾好你的啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么对我好啊""}, {""sex"": ""1"", ""content"": ""用尽全力的对你好""}, {""sex"": ""1"", ""content"": ""你想怎么对你，我就怎么对你好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""聊什么嘛""}, {""sex"": ""1"", ""content"": ""聊天还是撩你呢？""}, {""sex"": ""1"", ""content"": ""聊什么呢，要不聊聊我们的人生大事吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么这么乖""}, {""sex"": ""1"", ""content"": ""我也不知道，就想在有你的身边乖点。""}, {""sex"": ""1"", ""content"": ""要是不乖，可能要被你揍啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那怎么了""}, {""sex"": ""1"", ""content"": ""我在想你什么时候能注意到我火热的目光。""}, {""sex"": ""1"", ""content"": ""你怎么还没看出我喜欢你呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你这么可爱的吗""}, {""sex"": ""1"", ""content"": ""这还不是被你感染的。""}, {""sex"": ""1"", ""content"": ""可爱的我才能配的上可爱的你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我怎么可爱啦""}, {""sex"": ""1"", ""content"": ""你浑身上下每一个细胞都很可爱。""}, {""sex"": ""1"", ""content"": ""你现在这样子就很可爱呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想吃什么吃什么""}, {""sex"": ""1"", ""content"": ""你就不怕自己的体重蹭蹭往上涨嘛？""}, {""sex"": ""1"", ""content"": ""现在像你这样想吃什么就吃什么的女孩可不多了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃什么好""}, {""sex"": ""1"", ""content"": ""这个问题还是得问问你啦。""}, {""sex"": ""1"", ""content"": ""你想吃什么就吃什么咯。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么想你""}, {""sex"": ""1"", ""content"": ""你想怎么想就怎么想的啦。""}, {""sex"": ""1"", ""content"": ""你怎么想我难道还需要我来和你说嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你想让我说什么""}, {""sex"": ""1"", ""content"": ""说出你的心里话！""}, {""sex"": ""1"", ""content"": ""想说什么就说什么，我听着。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么还没睡？""}, {""sex"": ""1"", ""content"": ""睡前不小心想你了，就没睡。""}, {""sex"": ""1"", ""content"": ""你还没说晚安，我就没睡。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么你了""}, {""sex"": ""1"", ""content"": ""偷走了我的心就要对我负责到底啊""}, {""sex"": ""1"", ""content"": ""你害我茶不思饭不想，你说怎么办吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我这么厉害呀""}, {""sex"": ""1"", ""content"": ""你要是不厉害怎么镇得住我啊。""}, {""sex"": ""1"", ""content"": ""再厉害还不是被我喜欢上了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没什么的""}, {""sex"": ""1"", ""content"": ""可是我看你这样就不像是没什么。""}, {""sex"": ""1"", ""content"": ""真的吗，有事千万不要自己藏在心里。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么回事呀""}, {""sex"": ""1"", ""content"": ""就是我喜欢你这一回事呀。""}, {""sex"": ""1"", ""content"": ""别慌，有我在，没什么问题。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有什么好猜的""}, {""sex"": ""1"", ""content"": ""猜猜看嘛，猜对了我给你奖励""}, {""sex"": ""1"", ""content"": ""直接告诉你就太没意思了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""猜到了吗""}, {""sex"": ""1"", ""content"": ""这个问题实在是难倒我了。""}, {""sex"": ""1"", ""content"": ""小仙女给我一点点提示，我再猜猜。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""猜我在想什么""}, {""sex"": ""1"", ""content"": ""仙女的思想，不是我这种凡人可以猜的。""}, {""sex"": ""1"", ""content"": ""万一被我猜错了，会不会被你暴揍啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我怎么回答你？""}, {""sex"": ""1"", ""content"": ""随心去说，不要有所顾忌。""}, {""sex"": ""1"", ""content"": "" 没事，我可以等你的回答""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么不开心了""}, {""sex"": ""1"", ""content"": ""没有啊，我怎么会不开心呢""}, {""sex"": ""1"", ""content"": ""你笑一下，我就可以开心了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""开心什么""}, {""sex"": ""1"", ""content"": ""跟仙女聊天能不开心嘛。""}, {""sex"": ""1"", ""content"": ""一想起你我就觉得很开心。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么会错""}, {""sex"": ""1"", ""content"": ""人非圣贤孰能无过！""}, {""sex"": ""1"", ""content"": ""我又不是一个完美的人，怎么会没有错呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我的天，你怎么这么会撩""}, {""sex"": ""1"", ""content"": ""我这么会撩，也要撩对人啊。""}, {""sex"": ""1"", ""content"": ""那我怎么没有见到你被我撩动心呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在忙什么呢？""}, {""sex"": ""1"", ""content"": ""小仙女一找我，我瞬间就不忙了呢""}, {""sex"": ""1"", ""content"": ""好忙呀，需要小仙女给我加加油才有动力呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""啦啦啦啦啦啦啦""}, {""sex"": ""1"", ""content"": ""呐，你终于耐不住寂寞了。""}, {""sex"": ""1"", ""content"": ""舍命陪君子啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""请问怎么称呼呢？""}, {""sex"": ""1"", ""content"": ""小仙女怎么叫，我都觉得很好听呢""}, {""sex"": ""1"", ""content"": ""称呼什么都可以，只要是你叫的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你嘴巴怎么那么甜""}, {""sex"": ""1"", ""content"": ""谁让你这么可爱呀。""}, {""sex"": ""1"", ""content"": ""除了你，还没有人知道我嘴巴很甜哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""开什么玩笑啊""}, {""sex"": ""1"", ""content"": ""你觉得我像是和你开玩笑的人吗？""}, {""sex"": ""1"", ""content"": ""我长得像是开玩笑的人吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么晚还不睡嘛""}, {""sex"": ""1"", ""content"": ""这不是正在准备和你聊会儿天再睡嘛。""}, {""sex"": ""1"", ""content"": ""担心你一个人无聊就没有那么晚睡了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么晚不睡觉吗""}, {""sex"": ""1"", ""content"": ""睡觉啊，但是我不想这么早睡""}, {""sex"": ""1"", ""content"": ""这不是还没和你聊天聊够吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那么晚还不睡""}, {""sex"": ""1"", ""content"": ""你这也不是还没睡吗？""}, {""sex"": ""1"", ""content"": ""怕你一个人孤单，我也就没睡着。""}], ""lock"": 1}"
