"{""chat"": [{""sex"": ""1"", ""content"": ""我想和你认识下""}, {""sex"": ""2"", ""content"": ""可以啊！""}, {""sex"": ""1"", ""content"": ""你答应得这么爽快，我接下来的台词都白准备了呢。 你是我遇见的最友善的女孩子，我决定请你喝点东西，想喝点什么？""}, {""sex"": ""2"", ""content"": ""跟你一样""}, {""sex"": ""1"", ""content"": ""谢谢，你令我心情一下子非常好，我要请你吃饭""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""探探说你喜欢我""}, {""sex"": ""2"", ""content"": ""我咋不知道?""}, {""sex"": ""1"", ""content"": ""右滑的那一刻， 互相喜欢品味出众""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在干什么呀？""}, {""sex"": ""1"", ""content"": ""在我在等你这个小仙女问我在干什么。""}, {""sex"": ""1"", ""content"": ""我在想一个美女问我在干嘛是因为什么。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""开头说什么""}, {""sex"": ""1"", ""content"": ""你想说什么就说呗，反正我听着""}, {""sex"": ""1"", ""content"": ""要不加个亲爱的怎么样？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我都没怎么睡""}, {""sex"": ""1"", ""content"": ""怎么没睡好觉吗，失眠了？""}, {""sex"": ""1"", ""content"": ""那你一会打瞌睡可怎么办？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那要做什么""}, {""sex"": ""1"", ""content"": ""什么都不用做，做我女朋友就好了。""}, {""sex"": ""1"", ""content"": ""我倒是想让你做些什么，就怕你不愿意。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""做什么事""}, {""sex"": ""1"", ""content"": ""当然是做一些关于你的事情啊。""}, {""sex"": ""1"", ""content"": ""你希望我做点什么呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么厉害""}, {""sex"": ""1"", ""content"": ""就像我这么厉害呀。""}, {""sex"": ""1"", ""content"": ""难道我还不够厉害吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没什么愿望""}, {""sex"": ""1"", ""content"": ""你的心里就没有一点想要实现的事情嘛？""}, {""sex"": ""1"", ""content"": ""就算没有什么愿望，你肯定也是希望身体健康岁岁平安的呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么办怎么办""}, {""sex"": ""1"", ""content"": ""别急别急，有我在，我帮你想想办法。""}, {""sex"": ""1"", ""content"": ""别慌，你先冷静一下，肯定会有解决的办法的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃什么醋""}, {""sex"": ""1"", ""content"": ""那得问你，让我吃什么醋了！""}, {""sex"": ""1"", ""content"": ""来自爱情酸酸的醋味！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""最近在忙什么呢？""}, {""sex"": ""1"", ""content"": ""忙着努力赚钱娶你回家！""}, {""sex"": ""1"", ""content"": ""我除了忙着和你聊天，还能忙啥。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想什么呢！""}, {""sex"": ""1"", ""content"": ""还能想什么，当然是想你了""}, {""sex"": ""1"", ""content"": ""满脑子都被你占据了，你觉得呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""请问怎么称呼？""}, {""sex"": ""1"", ""content"": ""上辈子的情人，哈哈~""}, {""sex"": ""1"", ""content"": ""你喜欢简单点的还是复杂点的？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么想的呢""}, {""sex"": ""1"", ""content"": ""我就是想跟你在一起一辈子。""}, {""sex"": ""1"", ""content"": ""我的想法对你来说重要吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一点也不巧""}, {""sex"": ""1"", ""content"": ""难道这是你刻意制造的巧合？""}, {""sex"": ""1"", ""content"": ""这都不算巧的话，就太伤老天爷的心了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""干嘛呀？嘴巴这么甜。""}, {""sex"": ""1"", ""content"": ""碰到你就是嘴巴这么甜。""}, {""sex"": ""1"", ""content"": ""你难道不喜欢嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我心情不爽了""}, {""sex"": ""1"", ""content"": ""那我就陪你，让你好好心情爽一下。""}, {""sex"": ""1"", ""content"": ""吃起来，吃到爽！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""爽歪歪好喝""}, {""sex"": ""1"", ""content"": ""那我这就买一箱到你家。""}, {""sex"": ""1"", ""content"": ""我这有你喜欢的爽歪歪哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我为什么要想你？""}, {""sex"": ""1"", ""content"": ""你为什么不要想我呢！""}, {""sex"": ""1"", ""content"": ""我都这么想你了，你是不是也该给点回馈了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""年龄是问题""}, {""sex"": ""1"", ""content"": ""在真爱面前，什么都不是问题。""}, {""sex"": ""1"", ""content"": ""我不觉得年龄是问题，只要两个人的心在一起就够了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么意思呢？""}, {""sex"": ""1"", ""content"": ""喜欢上你的意思。""}, {""sex"": ""1"", ""content"": ""是你能理解的意思。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""忙什么""}, {""sex"": ""1"", ""content"": ""忙着怎么才能让你喜欢我呢！""}, {""sex"": ""1"", ""content"": ""忙着努力的让自己变优秀！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天干嘛呢""}, {""sex"": ""1"", ""content"": ""你准备带我干点什么呢？""}, {""sex"": ""1"", ""content"": ""你想干嘛，我就陪你干嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你什么时候休息""}, {""sex"": ""1"", ""content"": ""那得看看你什么时候约我咯。""}, {""sex"": ""1"", ""content"": ""只要你想，我什么时间都有。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你什么时候来咯""}, {""sex"": ""1"", ""content"": ""你希望我什么时候来啊。""}, {""sex"": ""1"", ""content"": ""当你睡着的时候，我悄悄地来。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是好女人""}, {""sex"": ""1"", ""content"": ""我是个好男人，正好配你。""}, {""sex"": ""1"", ""content"": ""我正好需要一个好女人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我这个人咋的了""}, {""sex"": ""1"", ""content"": ""不咋滴，就是很受我喜欢而已。""}, {""sex"": ""1"", ""content"": ""没咋的，就是我有点想你了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不早了。""}, {""sex"": ""1"", ""content"": ""你也知道不早了，也该喜欢我了。""}, {""sex"": ""1"", ""content"": ""那我就不打扰小仙女了，你快去休息吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""算了吧。""}, {""sex"": ""1"", ""content"": ""嗯，就让它随风飘散吧""}, {""sex"": ""1"", ""content"": ""为什么要算了？你应该坚持你自己""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""又输了""}, {""sex"": ""1"", ""content"": ""可你在我这总是赢，赢走了我的心。""}, {""sex"": ""1"", ""content"": ""跟我玩你就不会输啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""老手了""}, {""sex"": ""1"", ""content"": ""看来你很熟练哦""}, {""sex"": ""1"", ""content"": ""既然是老手了，是不是可以帮我一把？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""现在可以删了吧""}, {""sex"": ""1"", ""content"": ""不能不能，删了我还怎么找你呀。""}, {""sex"": ""1"", ""content"": ""可以了，如果会影响到你那就删了吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""容易飘""}, {""sex"": ""1"", ""content"": ""那一定是你太轻了，要多吃点知道吗？""}, {""sex"": ""1"", ""content"": ""飘啊飘，你就飘进我心里了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""咋可爱了""}, {""sex"": ""1"", ""content"": ""天生可爱不好吗？""}, {""sex"": ""1"", ""content"": ""可爱之人必有漂亮之处。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我睡了。""}, {""sex"": ""1"", ""content"": ""那不要太想我哟，不然你要失眠睡不着的。""}, {""sex"": ""1"", ""content"": ""看来这一次，我一定要梦里见到你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""困了要睡觉了""}, {""sex"": ""1"", ""content"": ""去吧，我会去你梦里找你的。""}, {""sex"": ""1"", ""content"": ""睡吧，祝你有个好梦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""刚刚起床了""}, {""sex"": ""1"", ""content"": ""起床的时候不给我一个早安吻吗""}, {""sex"": ""1"", ""content"": ""难怪我的心也一起醒了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""太快了叭""}, {""sex"": ""1"", ""content"": ""社会发展这么快，我们也要跟上脚步才行呀。""}, {""sex"": ""1"", ""content"": ""只要心里是坚定的，是快是慢都不重要了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不是来了嘛""}, {""sex"": ""1"", ""content"": ""来得早不如来得巧""}, {""sex"": ""1"", ""content"": ""来了，就不要走了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""老公我回来了""}, {""sex"": ""1"", ""content"": ""回来了就不许再走了""}, {""sex"": ""1"", ""content"": ""既然叫我老公，那就跟我一起回家吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃晚饭了""}, {""sex"": ""1"", ""content"": ""那你要多吃点，吃饱了才能长肉肉。""}, {""sex"": ""1"", ""content"": ""我也吃晚饭了，这样就是我们一起吃晚饭啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喝醉了。""}, {""sex"": ""1"", ""content"": ""没有在你身边，你喝醉了我都不能好好照顾你。""}, {""sex"": ""1"", ""content"": ""以后不要喝这么多了好不好，我不在你身边会担心的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喝醉没""}, {""sex"": ""1"", ""content"": ""喝醉了，等会儿又要开始说喜欢你了。""}, {""sex"": ""1"", ""content"": ""你不在我身边，我也不敢喝醉啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""灌醉就有机会了""}, {""sex"": ""1"", ""content"": ""那你给我一次灌醉你的机会呗。""}, {""sex"": ""1"", ""content"": ""我怕灌醉之后，我会十分痛苦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""算你赢了""}, {""sex"": ""1"", ""content"": ""嘿嘿嘿，赢了是不是有奖励？""}, {""sex"": ""1"", ""content"": ""能让你甘拜下风我是不是很厉害。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""死了吗""}, {""sex"": ""1"", ""content"": ""还没和你白头偕老怎么敢死呢""}, {""sex"": ""1"", ""content"": ""说好一起死的，怎么可能食言呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天变冷了""}, {""sex"": ""1"", ""content"": ""这里有一个温暖的怀抱等着你。""}, {""sex"": ""1"", ""content"": ""天冷就要及时加衣服知道吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""很早睡了""}, {""sex"": ""1"", ""content"": ""优秀，早睡可是个好习惯。""}, {""sex"": ""1"", ""content"": ""现在的年轻人会早睡的可没有几个了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那休息吧""}, {""sex"": ""1"", ""content"": ""想跟你挨在一起休息。""}, {""sex"": ""1"", ""content"": ""嗯嗯，小仙女也好好休息。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""把我叫老了""}, {""sex"": ""1"", ""content"": ""难道我们这个小仙女会老吗？""}, {""sex"": ""1"", ""content"": ""那你老了吗？我觉得还是十八岁的样子。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""起了没有""}, {""sex"": ""1"", ""content"": ""你以为起床是一件那么容易的事情吗""}, {""sex"": ""1"", ""content"": ""起了有又没有美女可以看""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你傻了啊""}, {""sex"": ""1"", ""content"": ""傻傻惹人爱是不是。""}, {""sex"": ""1"", ""content"": ""只是遇见你就思想简单了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你傻吗？""}, {""sex"": ""1"", ""content"": ""以前不傻的，但是喜欢你之后就变傻了。""}, {""sex"": ""1"", ""content"": ""傻傻惹人爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""傻不傻啊""}, {""sex"": ""1"", ""content"": ""为了你，变得傻一点也无妨。""}, {""sex"": ""1"", ""content"": ""傻傻的只喜欢你一个人而已。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我这是太热了""}, {""sex"": ""1"", ""content"": ""你可以脱了衣服，我不介意的。""}, {""sex"": ""1"", ""content"": ""可能是因为我的对你爱太过炙热了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我快热死了""}, {""sex"": ""1"", ""content"": ""需要我为你降火么""}, {""sex"": ""1"", ""content"": ""都怪我对你的爱太过于热情似火。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""以后不聊了""}, {""sex"": ""1"", ""content"": ""恩，以后我们来谈情说爱好了。""}, {""sex"": ""1"", ""content"": ""我们之间除了爱情还有什么好聊的吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我一脚过去""}, {""sex"": ""1"", ""content"": ""我一把抓住你的脚，看你怎么乱来。""}, {""sex"": ""1"", ""content"": ""你能不能保持点淑女风范呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""男人见一个爱一个""}, {""sex"": ""1"", ""content"": ""女人爱一个恨一个。""}, {""sex"": ""1"", ""content"": ""请不要和一般的男人作比较""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一个人挺好的呀""}, {""sex"": ""1"", ""content"": ""一个人是挺好的，但是两个人会更好。""}, {""sex"": ""1"", ""content"": ""一个人吃饭一个人逛街一个人搬家，这哪里好了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不一般""}, {""sex"": ""1"", ""content"": ""遇见你之后我才知道真的不一般。""}, {""sex"": ""1"", ""content"": ""你这么好看的人，怎么可能一般呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""第一次主动""}, {""sex"": ""1"", ""content"": ""那我得好好珍惜一下才行。""}, {""sex"": ""1"", ""content"": ""主动了才会有故事不是吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""十一点""}, {""sex"": ""1"", ""content"": ""看来熬夜小精灵要上线了。""}, {""sex"": ""1"", ""content"": ""这应该是一个非常尴尬的时间吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么和我在一起""}, {""sex"": ""1"", ""content"": ""喜欢你呗，就想着和你在一起。""}, {""sex"": ""1"", ""content"": ""没有为什么，就是想和你在一起。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""还没见面呢""}, {""sex"": ""1"", ""content"": ""希望我们早点见面，我已经按捺不住雀跃的心了。""}, {""sex"": ""1"", ""content"": ""虽然我们生活中还没见过面，但我已经在梦里见过你无数次了。""}], ""lock"": 1}"
