"{""chat"": [{""sex"": ""2"", ""content"": ""我们不熟""}, {""sex"": ""1"", ""content"": ""没事，就像你和我从青涩的熟悉开始""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不认识你""}, {""sex"": ""1"", ""content"": ""朋友和情人不都是从陌生到熟悉的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你经常来这里玩吗？""}, {""sex"": ""1"", ""content"": ""经常，你经常来这里玩吗？""}, {""sex"": ""2"", ""content"": ""不经常""}, {""sex"": ""1"", ""content"": ""难怪你不认识我，不管经常来的人还是不经常来的人，能认识你都是一件令人愉快的事情。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好你好吼~""}, {""sex"": ""1"", ""content"": ""你好啊~请问你是来人认识我的小可爱吗？""}, {""sex"": ""1"", ""content"": ""你好~~好久没有遇到这么可爱的小姐姐咯。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我很烦现在""}, {""sex"": ""1"", ""content"": ""怎么了？要不要说出来我替你分担分担？""}, {""sex"": ""1"", ""content"": ""烦恼多了会有白头发哦，所以小可爱不要烦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我想去打耳洞""}, {""sex"": ""1"", ""content"": ""怎么突然想打耳洞了呢，打耳洞很疼的。""}, {""sex"": ""1"", ""content"": ""那我陪你吧，我也一起打。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有病吧！""}, {""sex"": ""1"", ""content"": ""难不成你有药治我的病？""}, {""sex"": ""1"", ""content"": ""那你就是我的特效药！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""傻福""}, {""sex"": ""1"", ""content"": ""看来人傻一点也不是不好""}, {""sex"": ""1"", ""content"": ""感谢这傻福让你遇到了我""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是做什么""}, {""sex"": ""1"", ""content"": ""不用管我做什么，你只要想着我是""}, {""sex"": ""1"", ""content"": ""我是来做你男朋友的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是谁，""}, {""sex"": ""1"", ""content"": ""吾乃无量老祖吾乃西天战皇""}, {""sex"": ""1"", ""content"": ""我是谁？我是谁来着？诶，奇怪？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我就是困了""}, {""sex"": ""1"", ""content"": ""困了就睡觉啊！你还等啥呢。""}, {""sex"": ""1"", ""content"": ""我已经准备在梦里遇到你了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""钱啊""}, {""sex"": ""1"", ""content"": ""这辈子跟钱作伴了。""}, {""sex"": ""1"", ""content"": ""感觉还是钱是最好的了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""应该是没有""}, {""sex"": ""1"", ""content"": ""你这个应该让我觉得很迷惑啊。""}, {""sex"": ""1"", ""content"": ""有就是有没有就是没有，应该没有是什么嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这不是应该的吗""}, {""sex"": ""1"", ""content"": ""没有什么应不应该，什么事都只有做的人愿不愿意而已""}, {""sex"": ""1"", ""content"": ""那我觉得你做我女朋友也是应该的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你才是应该小心点我早就看上你了""}, {""sex"": ""1"", ""content"": ""那我是不是应该给自己买个保险。""}, {""sex"": ""1"", ""content"": ""看上我了，居然没有行动？！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嗯嗯，是的。""}, {""sex"": ""1"", ""content"": ""既然都这么说了，那我只能这么做了""}, {""sex"": ""1"", ""content"": ""自己说的，你可不能反悔的呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是大猪猪""}, {""sex"": ""1"", ""content"": ""那你就是小猪猪。""}, {""sex"": ""1"", ""content"": ""完蛋了，你已经被大猪猪喜欢上了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""但是我不喜欢你呀""}, {""sex"": ""1"", ""content"": ""现在不喜欢不代表以后不会喜欢呀。""}, {""sex"": ""1"", ""content"": ""难道你对我的感情已经是爱了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这是真的吗""}, {""sex"": ""1"", ""content"": ""我喜欢你这个是真的。""}, {""sex"": ""1"", ""content"": ""你觉得我会骗你吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都是人""}, {""sex"": ""1"", ""content"": ""但你是女人我是男人，本质上是不同的""}, {""sex"": ""1"", ""content"": ""不，你是仙女啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么要看""}, {""sex"": ""1"", ""content"": ""就是想看所以就想看了。""}, {""sex"": ""1"", ""content"": ""为什么不要去看呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""聊什么好呢""}, {""sex"": ""1"", ""content"": ""我跟你没什么好聊的，只想跟你谈恋爱。""}, {""sex"": ""1"", ""content"": ""聊聊我们的将来吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不知道聊什么的时候聊什么呢""}, {""sex"": ""1"", ""content"": ""聊聊我们的人生大事好不好呀。""}, {""sex"": ""1"", ""content"": ""聊天有什么好聊的，撩你如何？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""聊什么咯""}, {""sex"": ""1"", ""content"": ""聊一下你的中学时代吧，应该有很多好玩的事。""}, {""sex"": ""1"", ""content"": ""你有没有想过以后要过什么样的生活？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么说你""}, {""sex"": ""1"", ""content"": ""说我帅就可以了""}, {""sex"": ""1"", ""content"": ""你想怎么说就怎么说，我想知道你的真实想法""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在么？""}, {""sex"": ""1"", ""content"": ""当然在呀，小仙女有什么吩咐呢？""}, {""sex"": ""1"", ""content"": ""我可以说不在吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你做的什么梦""}, {""sex"": ""1"", ""content"": ""梦到我们出门逛街喝奶茶了。""}, {""sex"": ""1"", ""content"": ""除了梦到你，我还能做什么梦啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那么厉害？""}, {""sex"": ""1"", ""content"": ""那必须是这么厉害呀！""}, {""sex"": ""1"", ""content"": ""还有更厉害的，要不要试试看""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你这么厉害啊""}, {""sex"": ""1"", ""content"": ""作为你男人，不厉害点怎么行。""}, {""sex"": ""1"", ""content"": ""再厉害最后还不是被你压得死死的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""笑得这么开心""}, {""sex"": ""1"", ""content"": ""有了你之后，就是这么开心。""}, {""sex"": ""1"", ""content"": ""想听听我因为什么开心嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么会这么说""}, {""sex"": ""1"", ""content"": ""能说会道只是我的一个优点而已。""}, {""sex"": ""1"", ""content"": ""我这不是怕遇到你之后没办法撩动你吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天忙什么""}, {""sex"": ""1"", ""content"": ""忙着上班，忙着和你聊天呢。""}, {""sex"": ""1"", ""content"": ""忙着为将来的美好做准备。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么这样啊""}, {""sex"": ""1"", ""content"": ""那你希望我是什么样子啊。""}, {""sex"": ""1"", ""content"": ""那你会喜欢我这样的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""啦啦啦啦啦啦""}, {""sex"": ""1"", ""content"": ""我是卖报的小行家~""}, {""sex"": ""1"", ""content"": ""呀呀呀呀呀呀，我喜欢的女孩怎么这么可爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么要见面呢""}, {""sex"": ""1"", ""content"": ""为什么不见面呢？！""}, {""sex"": ""1"", ""content"": ""好不容易看到这么好看的仙女不见面可惜了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""笑什么。""}, {""sex"": ""1"", ""content"": ""我这只是看到你之后的自然反应而已。""}, {""sex"": ""1"", ""content"": ""笑你怎么可以这么好看呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""干什么嘛""}, {""sex"": ""1"", ""content"": ""你觉得我想干什么呢？""}, {""sex"": ""1"", ""content"": ""动动你的小脑袋瓜猜一猜""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不远不近""}, {""sex"": ""1"", ""content"": ""可是我想跟你靠得近一点""}, {""sex"": ""1"", ""content"": ""再靠近一点点，我就跟你走~""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是有点巧""}, {""sex"": ""1"", ""content"": ""看来真的是命中注定的缘分呀。""}, {""sex"": ""1"", ""content"": ""这么巧合也真的是难得呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嘴好甜呀""}, {""sex"": ""1"", ""content"": ""再甜有你的笑甜吗？""}, {""sex"": ""1"", ""content"": ""那都是因为你才变得这么甜的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哭什么嘛""}, {""sex"": ""1"", ""content"": ""难道我伤心还不能哭了嘛？""}, {""sex"": ""1"", ""content"": ""这个时候你应该安慰我而不是质问我呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是不爽""}, {""sex"": ""1"", ""content"": ""因为你在乎才会觉得不爽。""}, {""sex"": ""1"", ""content"": ""让你揍一顿出出气好不好？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在想些什么""}, {""sex"": ""1"", ""content"": ""想一些过于我们的未来了。""}, {""sex"": ""1"", ""content"": ""看到你这么好看的仙女，除了想你还能想啥。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那什么意思""}, {""sex"": ""1"", ""content"": ""我的意思不能直接说，要靠猜""}, {""sex"": ""1"", ""content"": ""你不知道我的意思还怎么跟我混？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""言行一致""}, {""sex"": ""1"", ""content"": ""真男人就是要做到言行一致""}, {""sex"": ""1"", ""content"": ""我向来都是说到做到""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不知道什么时候""}, {""sex"": ""1"", ""content"": ""什么时候都没关系，我有很多时间可以陪你""}, {""sex"": ""1"", ""content"": ""其实什么时候都可以，只要你想就可以""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""知道我长什么样子么""}, {""sex"": ""1"", ""content"": ""反正长着一张我喜欢的样子是不是？""}, {""sex"": ""1"", ""content"": ""梦里都见过了，你觉得我会不知道吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""该叫你什么？""}, {""sex"": ""1"", ""content"": ""叫我老公吧。""}, {""sex"": ""1"", ""content"": ""什么亲爱的，小笨蛋啊，这些名字多好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我叫你什么啊""}, {""sex"": ""1"", ""content"": ""你可以直接叫我老公的。""}, {""sex"": ""1"", ""content"": ""你想怎么叫就怎么叫，我想要你给我起一个特别的昵称。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哈哈咋了""}, {""sex"": ""1"", ""content"": ""没咋，就是觉得心里很不舒服""}, {""sex"": ""1"", ""content"": ""我突然想你了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""已经爱了咋办""}, {""sex"": ""1"", ""content"": ""爱都爱了，我能咋办嘛。""}, {""sex"": ""1"", ""content"": ""那就继续爱咯。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""受不了受不了""}, {""sex"": ""1"", ""content"": ""对不起，怪我长得太帅气了。""}, {""sex"": ""1"", ""content"": ""放心吧，我承受能力很强的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都睡着了""}, {""sex"": ""1"", ""content"": ""睡觉看来还是得想着你睡啊。""}, {""sex"": ""1"", ""content"": ""睡觉的时候我梦到你了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""宝贝来了""}, {""sex"": ""1"", ""content"": ""我的小宝贝你终于来了。""}, {""sex"": ""1"", ""content"": ""那你来的真的是时候啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那想好了吗""}, {""sex"": ""1"", ""content"": ""我早就想好了我们的未来了。""}, {""sex"": ""1"", ""content"": ""想好了，就是你了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡不着了""}, {""sex"": ""1"", ""content"": ""怎么啦，失眠了吗？""}, {""sex"": ""2"", ""content"": ""是啊""}, {""sex"": ""1"", ""content"": ""那我陪你一起睡不着，这样你就不孤单了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""飘了？""}, {""sex"": ""1"", ""content"": ""心飘到你那里去了。""}, {""sex"": ""1"", ""content"": ""你都还没答应做我女朋友，我哪敢飘啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可惜我不是美女""}, {""sex"": ""1"", ""content"": ""你只是长得好看的人罢了。""}, {""sex"": ""1"", ""content"": ""你好，仙女。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你变傻了""}, {""sex"": ""1"", ""content"": ""是被你传染的好不好呀。""}, {""sex"": ""1"", ""content"": ""遇见你就开始变傻了好不好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃饭了没有啊？""}, {""sex"": ""1"", ""content"": ""女神问我的时候，吃了我也说没吃！""}, {""sex"": ""1"", ""content"": ""怎么，想一起吃顿饭吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想想我就好了""}, {""sex"": ""1"", ""content"": ""想你不够呀，要见到你才行""}, {""sex"": ""1"", ""content"": ""那我可能会想你想到停不下来吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""长胖的节奏""}, {""sex"": ""1"", ""content"": ""有点肉肉的女孩子多可爱呀。""}, {""sex"": ""1"", ""content"": ""长胖了好，你就可以卡在我心里出不来了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不太记得了""}, {""sex"": ""1"", ""content"": ""没事，我相信你一定会记得。""}, {""sex"": ""1"", ""content"": ""那这一次你一定要好好记住。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""馋我""}, {""sex"": ""1"", ""content"": ""想吃吗？嘿嘿，亲我一下就归你了。""}, {""sex"": ""1"", ""content"": ""吃货，就知道你会喜欢，下次给你买。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想多了吧！""}, {""sex"": ""1"", ""content"": ""你这么好看，想多了也是很正常。""}, {""sex"": ""1"", ""content"": ""我要是再不想多一点那和咸鱼有啥区别。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哈哈，想多了""}, {""sex"": ""1"", ""content"": ""没有想多啊，我只想你比较多。""}, {""sex"": ""1"", ""content"": ""每次一看到你的笑，我就容易想多的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就不爱""}, {""sex"": ""1"", ""content"": ""不爱就不爱吧，我也不会强迫你，只要你知道我爱你就好了。""}, {""sex"": ""1"", ""content"": ""你看你，就喜欢说反话，谁不知道你心里爱的要死啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不要吃药""}, {""sex"": ""1"", ""content"": ""我准备好了奶茶，吃完药喝奶茶。""}, {""sex"": ""1"", ""content"": ""良药苦口利于病。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不想吃药""}, {""sex"": ""1"", ""content"": ""可惜啊，我都准备了那么多好吃的。""}, {""sex"": ""2"", ""content"": ""嗯？""}, {""sex"": ""1"", ""content"": ""不吃药的人是不能吃的哟。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""520快到了""}, {""sex"": ""1"", ""content"": ""是啊，你做好跟我表白的准备了吗？""}, {""sex"": ""1"", ""content"": ""要不要趁着520到来之前抓紧脱单，到时候就可以秀恩爱了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你又做梦了""}, {""sex"": ""1"", ""content"": ""好不容易做个梦不容易啊。""}, {""sex"": ""1"", ""content"": ""这个梦都是相关啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不早呀""}, {""sex"": ""1"", ""content"": ""不早才正好，早了遇不到了""}, {""sex"": ""1"", ""content"": ""如果是你，再晚都是早安一样的心情""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""下班了嘛""}, {""sex"": ""1"", ""content"": ""下班了呦，有什么安排吗？""}, {""sex"": ""1"", ""content"": ""还没有呢，下班的第一时间就告诉你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没钱呀""}, {""sex"": ""1"", ""content"": ""恭喜你，和我成为没钱的一家人。""}, {""sex"": ""1"", ""content"": ""何以解忧，唯有暴富""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一般般啦""}, {""sex"": ""1"", ""content"": ""小仙女也太谦虚啦""}, {""sex"": ""1"", ""content"": ""你这要是还叫一般般的话，那就没有厉害的了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是一般人""}, {""sex"": ""1"", ""content"": ""看来你是二班的啊。""}, {""sex"": ""1"", ""content"": ""你是这世界上独一无二的，当然不一般。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""第一次公主抱给了你""}, {""sex"": ""2"", ""content"": ""下一次也给我好了。""}, {""sex"": ""2"", ""content"": ""看来我是第一个吃螃蟹的人啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""烦躁的一天""}, {""sex"": ""1"", ""content"": ""怎么能用烦躁开启新的一天呢？要用好心情开启才行呀""}, {""sex"": ""1"", ""content"": ""你该跟我聊聊缓解一下坏心情了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""新年好""}, {""sex"": ""1"", ""content"": ""新年的意义 大概就是一切都好像可以重新开始 都会好的 一定会好的。""}, {""sex"": ""1"", ""content"": ""所求皆如愿 所行化坦途 多喜乐 长安宁 新年好 旧年也好""}, {""sex"": ""1"", ""content"": ""新年新征途,愿你与更好的自己相遇""}, {""sex"": ""1"", ""content"": ""新年快乐 希望以后生活爱情都会对我好点""}, {""sex"": ""1"", ""content"": ""新年快乐我爱的人要过得好""}, {""sex"": ""1"", ""content"": ""新年快乐，希望你好好吃饭，好好睡觉。""}, {""sex"": ""1"", ""content"": ""有乌云有雨雪庆幸的是彼此还在身边 新年好啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我也想洗""}, {""sex"": ""1"", ""content"": ""来来来，咱们一起洗。""}, {""sex"": ""1"", ""content"": ""好啊，我帮你洗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不在一起了""}, {""sex"": ""1"", ""content"": ""怎么了，你们发生什么矛盾了吗？""}, {""sex"": ""1"", ""content"": ""没关系，这是为了让你跟更好的人在一起""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""见你一面""}, {""sex"": ""1"", ""content"": ""以后会天天见面的。""}, {""sex"": ""1"", ""content"": ""那你可能要爱上我了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一周一天""}, {""sex"": ""1"", ""content"": ""只有一天而已啊，也太少了吧""}, {""sex"": ""1"", ""content"": ""不行，一周怎么说也得三天才行啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我昨天睡觉了""}, {""sex"": ""1"", ""content"": ""睡了也不告诉我，害我一直等你。""}, {""sex"": ""1"", ""content"": ""怎么睡那么早，都没有跟我说晚安。""}], ""lock"": 1}"
