"{""chat"": [{""sex"": ""2"", ""content"": ""你酒量好吗""}, {""sex"": ""1"", ""content"": ""怎么？想灌醉我呀。""}, {""sex"": ""1"", ""content"": ""酒量不好能出来撑场面吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我也是。""}, {""sex"": ""1"", ""content"": ""我就知道我跟你是心有灵犀。""}, {""sex"": ""1"", ""content"": ""你喜欢的人刚好也喜欢你，那真是世界上最美好的事了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好丑的""}, {""sex"": ""1"", ""content"": ""丑媳妇总要见公婆，何况是见老公呢。""}, {""sex"": ""1"", ""content"": ""你要是这么说我喜欢的人我就不开心了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我烦你""}, {""sex"": ""1"", ""content"": ""我不烦你就好啦。""}, {""sex"": ""1"", ""content"": ""烦着烦着就不烦了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想挨打吗""}, {""sex"": ""1"", ""content"": ""打吧打吧，你打我那是疼我爱我的表现。""}, {""sex"": ""1"", ""content"": ""挨你的打我心甘情愿。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我想给你打电话咋办""}, {""sex"": ""1"", ""content"": ""别想了，直接行动起来。""}, {""sex"": ""1"", ""content"": ""电话随便打，想打就打。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我觉得你有病""}, {""sex"": ""1"", ""content"": ""难不成你现在有药吗！""}, {""sex"": ""1"", ""content"": ""我有没有病你会不知道？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是么""}, {""sex"": ""1"", ""content"": ""难道是吗？""}, {""sex"": ""1"", ""content"": ""这都让你发现我喜欢你了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哦？是吗？""}, {""sex"": ""1"", ""content"": ""是啊，小仙女是不是没想到？""}, {""sex"": ""1"", ""content"": ""当然啦，我说的话那还有假吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是本人吗？""}, {""sex"": ""1"", ""content"": ""是呢，小仙女找我唠嗑吗""}, {""sex"": ""1"", ""content"": ""对呀，不然还有谁像我一样帅""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我开始困了""}, {""sex"": ""1"", ""content"": ""那就睡吧，这样犯困也不好。""}, {""sex"": ""1"", ""content"": ""我已经准备去你梦里了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我觉得就好了""}, {""sex"": ""1"", ""content"": ""我觉得小仙女说得对。""}, {""sex"": ""1"", ""content"": ""是是是，小仙女最大。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说好就好吧""}, {""sex"": ""1"", ""content"": ""这话说得这么委屈，不好就告诉我嘛。""}, {""sex"": ""1"", ""content"": ""那我说你是我女朋友好不好？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是在说我傻吗""}, {""sex"": ""1"", ""content"": ""傻瓜，你哪里傻了。""}, {""sex"": ""1"", ""content"": ""你要是傻，那我岂不是更傻。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你才是傻子呢""}, {""sex"": ""1"", ""content"": ""傻人有傻福，才让我遇见了你啊""}, {""sex"": ""1"", ""content"": ""我不傻的话怎么和你正常聊天呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可是我没有钱""}, {""sex"": ""1"", ""content"": ""没事，我有不就完事了吗。""}, {""sex"": ""1"", ""content"": ""没钱可以赚钱啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""给钱吗""}, {""sex"": ""1"", ""content"": ""只给女朋友钱，你是吗？""}, {""sex"": ""1"", ""content"": ""拿了我的钱，就是我的人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""应该还好吧""}, {""sex"": ""1"", ""content"": ""应该？还好？你这个回答我可不太满意""}, {""sex"": ""1"", ""content"": ""看来小仙女也是比较随性的人呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是我的吗""}, {""sex"": ""1"", ""content"": ""是你的呀，你在怀疑什么呢？""}, {""sex"": ""1"", ""content"": ""不是你的，是我的小仙女的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你谁""}, {""sex"": ""1"", ""content"": ""作为一位淑女，这么问话是不是有点没礼貌？""}, {""sex"": ""2"", ""content"": ""你到底是谁？""}, {""sex"": ""1"", ""content"": ""我不是谁，我只是一个真诚想跟你交朋友的人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""谁是你女朋友呀""}, {""sex"": ""1"", ""content"": ""谁说话谁就是！""}, {""sex"": ""1"", ""content"": ""像你这样的人，才是我的女朋友。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都是坏男人""}, {""sex"": ""1"", ""content"": ""请不要把我放在一般男人里面好吗？""}, {""sex"": ""1"", ""content"": ""我是男人中唯一的好男人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是猪？""}, {""sex"": ""1"", ""content"": ""而且还是只可爱的小猪猪。""}, {""sex"": ""1"", ""content"": ""养猪这种事，挺好的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你最近是不是比较忙啊？""}, {""sex"": ""1"", ""content"": ""是啊，最近工作比较紧，抱歉不能经常陪你聊天。""}, {""sex"": ""1"", ""content"": ""是不是想我？我尽量抽空陪你好不好？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是不开心啊""}, {""sex"": ""1"", ""content"": ""像你长得这么好看的人还不开心，那长得不好看的人岂不是更难过了。""}, {""sex"": ""1"", ""content"": ""把你的不开心分我一半，你就不会那么不开心了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么情况啊""}, {""sex"": ""1"", ""content"": ""你把我的心偷走了你说是什么情况？""}, {""sex"": ""1"", ""content"": ""情况有点复杂，我得慢慢跟你讲。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在忙什么呢""}, {""sex"": ""1"", ""content"": ""你好，我在忙着想你""}, {""sex"": ""1"", ""content"": ""这么有礼貌，一看就是个知书达理的好孩子""}, {""sex"": ""1"", ""content"": ""又老一岁，怎么快乐得起来。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""现在不在""}, {""sex"": ""1"", ""content"": ""那什么时候会在，我去找你呀""}, {""sex"": ""1"", ""content"": ""那你悄悄告诉我，什么时候会在呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你晚上吃什么""}, {""sex"": ""1"", ""content"": ""我晚上能吃你吗？""}, {""sex"": ""1"", ""content"": ""那得看你给我煮什么了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么不回家""}, {""sex"": ""1"", ""content"": ""你没来接我，我不知道该怎么回咱们的家。""}, {""sex"": ""1"", ""content"": ""你又不在家里，这么急着回去干嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这不是一回事""}, {""sex"": ""1"", ""content"": ""我觉得没有什么不同。""}, {""sex"": ""1"", ""content"": ""那你告诉我为什么不是一回事？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你最近忙什么""}, {""sex"": ""1"", ""content"": ""忙着为我们的将来所努力！""}, {""sex"": ""1"", ""content"": ""忙着上班赚钱给你买好吃的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么证明呢？""}, {""sex"": ""1"", ""content"": ""你想怎么证明都是可以的啦""}, {""sex"": ""1"", ""content"": ""这个还需要怎么证明的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我可爱嘛""}, {""sex"": ""1"", ""content"": ""可爱啊，你当然可爱啦。""}, {""sex"": ""1"", ""content"": ""你都叫小可爱了，怎么可能不可爱呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""笑咪咪""}, {""sex"": ""1"", ""content"": ""笑得这么开心，是有什么好事发生嘛？""}, {""sex"": ""1"", ""content"": ""你笑起来很好看，一定要多笑笑哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你这么晚了还不睡觉啊？""}, {""sex"": ""1"", ""content"": ""你都还没入睡，我怎么舍得一个人睡呢。""}, {""sex"": ""1"", ""content"": ""你都还没给我晚安啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""昨晚睡得怎么样""}, {""sex"": ""1"", ""content"": ""有你的晚安怎么能睡得不好呢。""}, {""sex"": ""1"", ""content"": ""梦里有你睡得超级坦实""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想怎么试""}, {""sex"": ""1"", ""content"": ""横着试竖着试，想怎么试就怎么试。""}, {""sex"": ""1"", ""content"": ""顺其自然就知道要怎么做了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你起来的那么早呀""}, {""sex"": ""1"", ""content"": ""早期的鸟儿，有虫吃。""}, {""sex"": ""1"", ""content"": ""早点起来就有更多的时间来想你了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""最近如何""}, {""sex"": ""1"", ""content"": ""你都不找我，最近过得不太好。""}, {""sex"": ""1"", ""content"": ""最近少了你的关怀，你觉得呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么巧吗""}, {""sex"": ""1"", ""content"": ""看来都是老天爷给我们的缘分啊。""}, {""sex"": ""1"", ""content"": ""都这么巧了，不妨吃个饭？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那怎么说呢""}, {""sex"": ""1"", ""content"": ""貌似也没什么好说的了吧。""}, {""sex"": ""1"", ""content"": ""那你希望我说点什么呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么这么会说""}, {""sex"": ""1"", ""content"": ""我只是遇见了我想说的那个人而已。""}, {""sex"": ""1"", ""content"": ""那你愿意听我这么说嘛！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嗨在干什么呀""}, {""sex"": ""1"", ""content"": ""还能干嘛，等你找我呗。""}, {""sex"": ""1"", ""content"": ""在回复一个美女的消息呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要玩什么""}, {""sex"": ""1"", ""content"": ""只要是跟你 一起玩，玩什么我都会觉得很开心。""}, {""sex"": ""1"", ""content"": ""小仙女想玩什么我都可以陪你玩。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有什么好玩的地方""}, {""sex"": ""1"", ""content"": ""我的心里最好玩了，你要不要来玩？""}, {""sex"": ""1"", ""content"": ""好玩的地方很多呀，我都带你去玩。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""沟通有问题""}, {""sex"": ""1"", ""content"": ""有啥问题啊，我觉得非常没问题啊。""}, {""sex"": ""1"", ""content"": ""沟通有问题，我们就改变一些。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""晚上睡的早""}, {""sex"": ""1"", ""content"": ""早睡早起的年轻人可不多了。""}, {""sex"": ""1"", ""content"": ""早早就睡觉，这么乖的嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这什么意思""}, {""sex"": ""1"", ""content"": ""你慢慢体会其中的意思""}, {""sex"": ""1"", ""content"": ""这意思不够明显吗，你都领悟不到哦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不要问我为什么""}, {""sex"": ""1"", ""content"": ""为什么不要问你为什么呢？""}, {""sex"": ""1"", ""content"": ""好吧，那我就乖乖听小仙女的话。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""爱好一致""}, {""sex"": ""1"", ""content"": ""爱好一致会有很多共同话题的""}, {""sex"": ""1"", ""content"": ""能遇到爱好一致的人可不容易，所以要好好珍惜啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么时候见我""}, {""sex"": ""1"", ""content"": ""只要你想见我，随时都可以。""}, {""sex"": ""1"", ""content"": ""你什么时候有空，我们就什么时候见面。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不一样么""}, {""sex"": ""1"", ""content"": ""你觉得你和别人是一样的嘛！""}, {""sex"": ""1"", ""content"": ""我喜欢的人和别人不是一样的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是小女人""}, {""sex"": ""1"", ""content"": ""那你就做我身边唯一的小女人。""}, {""sex"": ""1"", ""content"": ""那我就是大男人，正好和你搭配。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想起你来了""}, {""sex"": ""1"", ""content"": ""终于想起我来了，我太感动了。""}, {""sex"": ""1"", ""content"": ""还好你想起我来了，不然我要伤心死了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""绝不认输""}, {""sex"": ""1"", ""content"": ""打死都不认输，一心 想赢！""}, {""sex"": ""1"", ""content"": ""输是什么，我不想知道。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃了吗""}, {""sex"": ""1"", ""content"": ""我吃了也会说没说的。""}, {""sex"": ""2"", ""content"": ""啊？""}, {""sex"": ""1"", ""content"": ""女神都这么问了，我就算吃了也当没吃。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我睡会了""}, {""sex"": ""1"", ""content"": ""要不要我做你的闹钟叫你起床？""}, {""sex"": ""1"", ""content"": ""睡觉吧，有我在呢你就好好睡。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""因为分手了呗""}, {""sex"": ""1"", ""content"": ""那我岂不是有机可乘嘛！""}, {""sex"": ""1"", ""content"": ""分手就分手，下一个更好，下一个更乖。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那就分手吧""}, {""sex"": ""1"", ""content"": ""你快撤回，分手哪里是能随随便便说的话。""}, {""sex"": ""1"", ""content"": ""我要牵着你的手一辈子，不可能会分手的 。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你变心了""}, {""sex"": ""1"", ""content"": ""再怎么变，心里面都是你。""}, {""sex"": ""1"", ""content"": ""心在你那，你问问它不就知道了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我吃了啊""}, {""sex"": ""1"", ""content"": ""吃什么好吃的，都不给我留点。""}, {""sex"": ""1"", ""content"": ""吃完是不是应该来个完美的散步呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你起床了么""}, {""sex"": ""1"", ""content"": ""还没呢，想再赖一会床。""}, {""sex"": ""1"", ""content"": ""被窝太舒服了，我舍不得起床。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想我了咩""}, {""sex"": ""1"", ""content"": ""我就是在想你呢！""}, {""sex"": ""1"", ""content"": ""我感觉不想你，我都不是我了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想想好了""}, {""sex"": ""1"", ""content"": ""那要多想想，万一就变成现实了呢。""}, {""sex"": ""1"", ""content"": ""我是你得不到的宝贝，所以让你多想想吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""要长胖的""}, {""sex"": ""1"", ""content"": ""没事胖胖的我也很喜欢。""}, {""sex"": ""1"", ""content"": ""胖一点对于我来说还是抱得动""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我已经起来了""}, {""sex"": ""1"", ""content"": ""早起的仙女，你的露水喝了吗。""}, {""sex"": ""1"", ""content"": ""小懒虫这么早起来，看来是改性子了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""困了晚安""}, {""sex"": ""1"", ""content"": ""晚安，祝小仙女睡个好觉。""}, {""sex"": ""1"", ""content"": ""那我们明天接着聊，晚安。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""得罪我了""}, {""sex"": ""1"", ""content"": ""得罪小仙女看来我是无了。""}, {""sex"": ""1"", ""content"": ""对不起，我错了！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃好""}, {""sex"": ""1"", ""content"": ""你这只小馋猫，满脑子都是吃的呀。""}, {""sex"": ""1"", ""content"": ""嗯呢，吃了什么好吃的了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想多了累""}, {""sex"": ""1"", ""content"": ""既然觉得累那就别想那么多了。""}, {""sex"": ""1"", ""content"": ""人生苦短，过好现在就好啦，不要想那么多了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想多了啊""}, {""sex"": ""1"", ""content"": ""要是不想多，我怕以后想不起来了。""}, {""sex"": ""1"", ""content"": ""人总要有点梦想，万一实现了呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想带我去哪""}, {""sex"": ""1"", ""content"": ""现在我能带你去哪里，我就带着你去哪里。""}, {""sex"": ""1"", ""content"": ""你希望我能带你去哪里啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我到哪去了""}, {""sex"": ""1"", ""content"": ""给你个定位，到我心里去。""}, {""sex"": ""1"", ""content"": ""你想去哪就去哪，我会找到你的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没事，吃药了""}, {""sex"": ""1"", ""content"": ""吃药了我也还是不放心啊。""}, {""sex"": ""1"", ""content"": ""吃了药有没有好一点啊？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""才吃了""}, {""sex"": ""1"", ""content"": ""吃了就好，不然我会担心你饿肚子的。""}, {""sex"": ""1"", ""content"": ""偷偷吃饭也不告诉我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""醒了""}, {""sex"": ""1"", ""content"": ""下次不要赖床了，小懒猫""}, {""sex"": ""2"", ""content"": ""我起不来呀，哎""}, {""sex"": ""1"", ""content"": ""要不要我明天提醒你上班呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡醒了吗？""}, {""sex"": ""1"", ""content"": ""你都不在我梦里了，我肯定醒了啊。""}, {""sex"": ""1"", ""content"": ""要是你能在我旁边，我肯定是不会醒的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你醒醒""}, {""sex"": ""1"", ""content"": ""我很清醒的好不好，说喜欢你的话也是认真的。""}, {""sex"": ""1"", ""content"": ""王子需要公主的吻才醒得过来，你得亲我一下。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""醒啦？""}, {""sex"": ""1"", ""content"": ""要是能够一醒来就看见你就好了。""}, {""sex"": ""1"", ""content"": ""你是不是一直在等我醒来呀？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你做梦呢""}, {""sex"": ""1"", ""content"": ""我想做一个有关你的美梦。""}, {""sex"": ""1"", ""content"": ""对啊，做我的春秋大梦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天下雪了""}, {""sex"": ""1"", ""content"": ""你往雪里一站，肯定是最美的风景了。""}, {""sex"": ""1"", ""content"": ""想看看你那边的雪，你能拍张照给我看吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你也太早了""}, {""sex"": ""1"", ""content"": ""早睡早起身体好知道不。""}, {""sex"": ""1"", ""content"": ""没办法，早期的鸟儿有虫吃。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喝酒多了""}, {""sex"": ""1"", ""content"": ""那以后喝酒就要靠自己了。""}, {""sex"": ""1"", ""content"": ""你这喝酒的本事还挺厉害的呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""傻子傻子""}, {""sex"": ""1"", ""content"": ""傻瓜傻瓜！""}, {""sex"": ""1"", ""content"": ""我只是在做个喜欢你的傻子。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你下班了没有""}, {""sex"": ""1"", ""content"": ""你是要过来接我下班吗？""}, {""sex"": ""1"", ""content"": ""快了，下班一块吃饭呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我热死了""}, {""sex"": ""1"", ""content"": ""都怪我对你的爱太过于热情似火。""}, {""sex"": ""1"", ""content"": ""需要我来给你降火吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""热晕了""}, {""sex"": ""1"", ""content"": ""快来我的空调房缓一下。""}, {""sex"": ""1"", ""content"": ""现在就这么热了，真不知道漫长的夏天要怎么度过。""}], ""lock"": 1}"
