"{""chat"": [{""sex"": ""1"", ""content"": ""能不能和我拍个照?""}, {""sex"": ""2"", ""content"": ""为什么？?""}, {""sex"": ""1"", ""content"": ""我要向我同事证明，天使是存在的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是帅哥吗""}, {""sex"": ""1"", ""content"": ""这都让你发现了，多不好意思啊。""}, {""sex"": ""1"", ""content"": ""我难倒不是一个帅哥吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是秀儿吗？""}, {""sex"": ""1"", ""content"": ""我不是，我是蒂花之秀！""}, {""sex"": ""1"", ""content"": ""怎么秀到你了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是谁吗""}, {""sex"": ""1"", ""content"": ""那你猜猜我是谁呀！""}, {""sex"": ""1"", ""content"": ""你希望我是谁啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""别生我气了""}, {""sex"": ""1"", ""content"": ""你亲我一下我就不生你气了。""}, {""sex"": ""1"", ""content"": ""本来我是很生气的，但是一想到你是小仙女，我又不忍心生你的气了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我又不是你谁""}, {""sex"": ""1"", ""content"": ""你可以成为我的谁！""}, {""sex"": ""1"", ""content"": ""你是我喜欢的人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有才华""}, {""sex"": ""1"", ""content"": ""有才华也要有施展的地方才行啊。""}, {""sex"": ""1"", ""content"": ""谢谢小仙女的慧眼发现了我的才华。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都是假话""}, {""sex"": ""1"", ""content"": ""你要是相信我就不会觉得我说的是假话了。""}, {""sex"": ""1"", ""content"": ""你以为的假话其实都是真话。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是真可爱""}, {""sex"": ""1"", ""content"": ""吃那么多可爱多，你再不可爱我都不信了！""}, {""sex"": ""1"", ""content"": ""你小心可爱到爆了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是最可爱的""}, {""sex"": ""1"", ""content"": ""对啊，你是天下第一小可爱。""}, {""sex"": ""1"", ""content"": ""那我要把这么可爱的你藏起来。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么问好""}, {""sex"": ""1"", ""content"": ""我教你：亲爱的，早上好。""}, {""sex"": ""1"", ""content"": ""不知道怎么问好的话，就直接亲我一口吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那聊什么呢""}, {""sex"": ""1"", ""content"": ""我对小仙女的一切都很感兴趣，什么都能聊哦。""}, {""sex"": ""1"", ""content"": ""那我们来聊一聊小仙女的感情经历好不好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没有这么可爱""}, {""sex"": ""1"", ""content"": ""可在我眼里你就是超级无敌可爱呀""}, {""sex"": ""1"", ""content"": ""就算没有这么可爱我也很喜欢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""养什么""}, {""sex"": ""1"", ""content"": ""养你这只小白猪呀。""}, {""sex"": ""1"", ""content"": ""你喜欢什么，我们以后就养什么。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在干么""}, {""sex"": ""1"", ""content"": ""在等你这个小仙女给我发消息。""}, {""sex"": ""1"", ""content"": ""没干嘛，就是在回复一个仙女的消息。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""出去做什么""}, {""sex"": ""1"", ""content"": ""你想做什么，我都陪你做呀。""}, {""sex"": ""1"", ""content"": ""能做的事好多，就看你想做什么了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么厉害啊""}, {""sex"": ""1"", ""content"": ""我也想低调啊，可实力不允许呀。""}, {""sex"": ""1"", ""content"": ""不厉害的话怎么可以喜欢你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃什么嘛""}, {""sex"": ""1"", ""content"": ""那肯定是吃你喜欢吃的呀。""}, {""sex"": ""1"", ""content"": ""你想要吃什么，我就带你吃什么。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你忙什么呢""}, {""sex"": ""1"", ""content"": ""忙着为我们的以后努力。""}, {""sex"": ""1"", ""content"": ""在等一个喜欢我的女孩问我最近在干嘛""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我有什么好笑的""}, {""sex"": ""1"", ""content"": ""对不起，我看到你嘴角就上扬了。""}, {""sex"": ""1"", ""content"": ""笑一笑，十年少。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想怎么哄""}, {""sex"": ""1"", ""content"": "" 你是需要肉体上的，还是心理上的？""}, {""sex"": ""1"", ""content"": ""你是希望我怎么哄你呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""做啥工作呢""}, {""sex"": ""1"", ""content"": ""当然是做一些喜欢你的工作啦。""}, {""sex"": ""1"", ""content"": ""做什么工作都没事，只要自己喜欢就好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你是做什么工作的""}, {""sex"": ""1"", ""content"": ""以后的工作是做你老公的。""}, {""sex"": ""1"", ""content"": ""我的工作太高大上了，不可以泄露的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""叫小可爱""}, {""sex"": ""1"", ""content"": ""你这种小可爱怎么可以这么可爱呢。""}, {""sex"": ""1"", ""content"": ""难道做我的小仙女都不可以了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你还不懂事""}, {""sex"": ""1"", ""content"": ""我怕太懂事知道的多了，就没有快乐了。""}, {""sex"": ""1"", ""content"": ""一夜之间懂事了，但是什么都变了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""小嘴巴好甜""}, {""sex"": ""1"", ""content"": ""那你要不要尝尝这个小嘴巴呢。""}, {""sex"": ""1"", ""content"": ""甜甜的才会有人喜欢呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有问题""}, {""sex"": ""1"", ""content"": ""那你什么时候解决一下我喜欢你的问题？""}, {""sex"": ""1"", ""content"": ""问题多了去，你说的是哪一个？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没什么精神""}, {""sex"": ""1"", ""content"": ""相信我，只要我亲你一口你立马就精神了。""}, {""sex"": ""1"", ""content"": ""是不是没有休息好，今晚要早点睡啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""刚才在忙呢""}, {""sex"": ""1"", ""content"": ""小仙女现在忙完了嘛？""}, {""sex"": ""1"", ""content"": ""在忙什么呀，我一直在等你的消息呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""最近在忙什么呀""}, {""sex"": ""1"", ""content"": ""难道有人要约我吗？""}, {""sex"": ""1"", ""content"": ""整天忙着和马云做生意呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我们什么时候见面""}, {""sex"": ""1"", ""content"": ""你想什么时候见到我呢？""}, {""sex"": ""1"", ""content"": ""只要你想，什么时候都可以。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你能帮什么""}, {""sex"": ""1"", ""content"": ""有些事情得帮过了才知道啊。""}, {""sex"": ""1"", ""content"": ""你希望我来帮你什么呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你帮不了""}, {""sex"": ""1"", ""content"": ""不试试怎么知道？""}, {""sex"": ""1"", ""content"": ""但至少我想帮你分担一下，帮不上忙也能出出主意。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一生开开心心""}, {""sex"": ""1"", ""content"": ""你开心，我就开心了。""}, {""sex"": ""1"", ""content"": ""有你的一生肯定会开开心心的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不知道你长什么样子""}, {""sex"": ""1"", ""content"": ""你希望我是长什么样的呢？""}, {""sex"": ""1"", ""content"": ""你男朋友啥样就是我啥样的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""小哥哥叫什么名字呀""}, {""sex"": ""1"", ""content"": ""小哥哥的名字你听过呀，就叫亲爱的哟""}, {""sex"": ""1"", ""content"": ""对小哥哥这么感兴趣的话，先亲我一口呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想想算了""}, {""sex"": ""1"", ""content"": ""我们之间怎么可以就这么算了呢。""}, {""sex"": ""1"", ""content"": ""不要想了，我们梦里见吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡了哈，不然睡不着了""}, {""sex"": ""1"", ""content"": ""我主要怕等会儿又想你，又要通宵想你了。""}, {""sex"": ""1"", ""content"": ""你不说晚安，我怎么入睡""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好飘""}, {""sex"": ""1"", ""content"": ""那你得拉住了，不然就飘走了。""}, {""sex"": ""1"", ""content"": ""人在江湖哪能不飘。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怕是飘了""}, {""sex"": ""1"", ""content"": ""那你一定要拉住我。""}, {""sex"": ""1"", ""content"": ""我这是要飘到你身边去。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""困困困""}, {""sex"": ""1"", ""content"": ""来，哥哥的肩膀借你靠一下。""}, {""sex"": ""1"", ""content"": ""从你的困字我能看出你有多累。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你没话说了""}, {""sex"": ""1"", ""content"": ""有话，只不过是爱在心口难开而已""}, {""sex"": ""1"", ""content"": ""我有很多话想跟你说的，只是不知从何说起罢了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""起床了没？""}, {""sex"": ""1"", ""content"": ""等你喊我起床呢""}, {""sex"": ""1"", ""content"": ""早起了，等你跟我说早安""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""起床了吧""}, {""sex"": ""1"", ""content"": ""我要再不起床就要变成小猪猪了。""}, {""sex"": ""1"", ""content"": ""起床第一件事就是想想你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我快乐了""}, {""sex"": ""1"", ""content"": ""那你可以分享一下你的快乐吗！""}, {""sex"": ""1"", ""content"": ""真希望你的快乐里面有我参与。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你累了吗""}, {""sex"": ""1"", ""content"": ""不累啊，有你在我身边呢。""}, {""sex"": ""1"", ""content"": ""累啊，你要不要抱抱我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃胖胖""}, {""sex"": ""1"", ""content"": ""不胖，你是刚刚好。""}, {""sex"": ""1"", ""content"": ""你要是胖，其他人就是肥胖了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我睡了晚安""}, {""sex"": ""1"", ""content"": ""晚安，等会儿梦里可不许欺负我。""}, {""sex"": ""1"", ""content"": ""这句晚安应该可以让我睡个好觉了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""点心""}, {""sex"": ""1"", ""content"": ""还有点心吃啊，看得我都馋了""}, {""sex"": ""1"", ""content"": ""是不是又吃甜甜的了，小心长胖哦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""自我陶醉""}, {""sex"": ""1"", ""content"": ""你这么美，自我陶醉也很正常""}, {""sex"": ""1"", ""content"": ""别说你自我陶醉了，我都要醉倒了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡懒觉了？""}, {""sex"": ""1"", ""content"": ""对啊，梦里有你在。""}, {""sex"": ""1"", ""content"": ""懒觉有你好睡吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""下午睡觉了""}, {""sex"": ""1"", ""content"": ""现在终于睡醒了吗？""}, {""sex"": ""1"", ""content"": ""小可爱睡觉都这么可爱的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不可爱了""}, {""sex"": ""1"", ""content"": ""瞎说，你明明可爱到爆炸。""}, {""sex"": ""1"", ""content"": ""你现在这样就很可爱呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不用吃药""}, {""sex"": ""1"", ""content"": ""已经够傻的了，再乱吃药会更傻的。""}, {""sex"": ""1"", ""content"": ""是药三分毒，多喝些热水吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我哭死了""}, {""sex"": ""1"", ""content"": ""你要是哭死了我可咋办啊。""}, {""sex"": ""1"", ""content"": ""你觉得我会舍得让你哭死吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""醒了没起""}, {""sex"": ""1"", ""content"": ""醒了，肯定会找你的啦。""}, {""sex"": ""1"", ""content"": ""我说没醒，你信吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""快醒醒""}, {""sex"": ""1"", ""content"": ""以后你在我耳边叫我起床好吗？""}, {""sex"": ""1"", ""content"": ""醒了会有一个亲亲在等待我吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你做梦吧你""}, {""sex"": ""1"", ""content"": ""有些梦做着做着就成真了。""}, {""sex"": ""1"", ""content"": ""做梦不好吗？梦里想要什么都会有。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""下雪的句子""}, {""sex"": ""1"", ""content"": ""纯洁的雪，洗濯了肮脏的世界，邂逅的只是安静的大地。""}, {""sex"": ""1"", ""content"": ""想不出什么增进彼此的办法，雪停后依旧，寒冷如故。""}, {""sex"": ""1"", ""content"": ""你尝过雪的味道么，凉凉的，一下子就能透到心里。""}, {""sex"": ""1"", ""content"": ""雪下了你不在，回忆都变空白，爱被覆盖以后，幸福还要多久，才找到有人收留。""}, {""sex"": ""1"", ""content"": ""雪舞思念起！""}, {""sex"": ""1"", ""content"": ""飘落的雪，带着思念的伤。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""李雪""}, {""sex"": ""1"", ""content"": ""名字里带雪的女孩一定像雪一样美吧。""}, {""sex"": ""1"", ""content"": ""一听这个名字就知道你是个温柔的女孩子。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""天气冷""}, {""sex"": ""1"", ""content"": ""我怀里暖和，你过来暖暖手吧。""}, {""sex"": ""1"", ""content"": ""有了我，从此让你告别寒冷。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不想来了""}, {""sex"": ""1"", ""content"": ""小仙女要是不想就不要勉强了。""}, {""sex"": ""1"", ""content"": ""给我一个不想来的路由。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嗨不起了""}, {""sex"": ""1"", ""content"": ""来，跟着我的节奏就能嗨起来了""}, {""sex"": ""1"", ""content"": ""那就不嗨了，你好好休息一下，好不好？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""下班了吗，""}, {""sex"": ""1"", ""content"": ""还没呢，下班一起去吃饭吧。""}, {""sex"": ""1"", ""content"": ""下班啦，终于可以吃饭了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""第一次和女孩聊天""}, {""sex"": ""1"", ""content"": ""哇，这不就是我找了很久的小仙女吗""}, {""sex"": ""1"", ""content"": ""最难开口的事就是，初次的问好""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""其实都一样""}, {""sex"": ""1"", ""content"": ""不一样的，其实你心里已经衡量出他们的不同来了。""}, {""sex"": ""1"", ""content"": ""我们不一样，不一样不一样~""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你觉得我会跟你前任一样吗？""}, {""sex"": ""1"", ""content"": ""你就是你，你和别人不一样。""}, {""sex"": ""1"", ""content"": ""你是我的现任为什么会和前任一样呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我这下雨""}, {""sex"": ""1"", ""content"": ""来一场雨天的偶遇。""}, {""sex"": ""1"", ""content"": ""据说下雨天和我更配哦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""十一放假吗""}, {""sex"": ""1"", ""content"": ""当然，是不是要约我出去玩啊？""}, {""sex"": ""1"", ""content"": ""人是放假了，但是爱你的心永远不放假。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""缺一个""}, {""sex"": ""1"", ""content"": ""那就让我来补上空缺吧。""}, {""sex"": ""1"", ""content"": ""好说好说，我就是最佳人选。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一个人挺好""}, {""sex"": ""1"", ""content"": ""因为你没尝试过两个人的生活，你才会觉得一个人挺好的。""}, {""sex"": ""2"", ""content"": ""是吗？""}, {""sex"": ""1"", ""content"": ""你要不要跟我试试看两个人的生活？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""明天又是美好的一天""}, {""sex"": ""1"", ""content"": ""是因为有你的存在，这个世界才显得如此美好。""}, {""sex"": ""1"", ""content"": ""要是能跟你待在一块就更美好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""三国""}, {""sex"": ""1"", ""content"": ""女不读三国男不读红楼。""}, {""sex"": ""1"", ""content"": ""你这是要和我三分天下啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不正常吗？""}, {""sex"": ""1"", ""content"": ""我也不正常了，一想到你就心跳不止。""}, {""sex"": ""1"", ""content"": ""当然不正常了，正常情况下可不会这样的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""出来晒太阳""}, {""sex"": ""1"", ""content"": ""我努力把自己晒得暖洋洋。""}, {""sex"": ""1"", ""content"": ""晒得这么舒服也是第一次啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早[太阳][太阳]""}, {""sex"": ""1"", ""content"": ""早！我的小太阳！""}, {""sex"": ""1"", ""content"": ""早安呀！小仙女跟太阳一样耀眼呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不想一个人了""}, {""sex"": ""1"", ""content"": ""那就跟我在一起吧，我不会再让你一个人了。""}, {""sex"": ""1"", ""content"": ""我也不想一个人，不如就凑一起吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""下午休息""}, {""sex"": ""1"", ""content"": ""休息怎么可以没有我陪呢。""}, {""sex"": ""1"", ""content"": ""终于等到你有空的时候，我的计划可以安排一下了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不习惯啊""}, {""sex"": ""1"", ""content"": ""习惯是需要用一段时间来养成的。""}, {""sex"": ""1"", ""content"": ""你一定会慢慢习惯的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没约过""}, {""sex"": ""1"", ""content"": ""没约过你就不想尝尝新吗？""}, {""sex"": ""1"", ""content"": ""所以你要尝试一下呀，或许会有不一样的收获。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你照顾我？""}, {""sex"": ""1"", ""content"": ""当然，自己的媳妇要自己照顾好。""}, {""sex"": ""1"", ""content"": ""别看我五大三粗的，我照顾起你来一定会很细心的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是宝贝""}, {""sex"": ""1"", ""content"": ""你绝对是我要的宝贝！""}, {""sex"": ""1"", ""content"": ""以后就是我的宝贝了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不好笑""}, {""sex"": ""1"", ""content"": ""你的笑一定很值钱。""}, {""sex"": ""2"", ""content"": ""怎么说？""}, {""sex"": ""1"", ""content"": ""一笑千金，所以很难把你逗笑。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""啥感觉""}, {""sex"": ""1"", ""content"": ""是一种喜欢你很久的感觉。""}, {""sex"": ""1"", ""content"": ""你希望我给你什么感觉呢?""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没感觉啊""}, {""sex"": ""1"", ""content"": ""没牵过我的手怎么能说没感觉""}, {""sex"": ""1"", ""content"": "" 女孩一般说没感觉的 就是最有感觉的！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天狗粮吃多吗""}, {""sex"": ""1"", ""content"": ""那你想不想和我一起撒狗粮呢。""}, {""sex"": ""1"", ""content"": ""没事，你在我身边我就自动屏蔽。""}], ""lock"": 1}"
