"{""chat"": [{""sex"": ""2"", ""content"": ""想搭讪的话，建议你换一个方法""}, {""sex"": ""1"", ""content"": ""我对你的建议很感兴趣，讲来听听，讲得好可以考虑留电话给你哦。""}, {""sex"": ""2"", ""content"": ""那得看你值不值得我建议。""}, {""sex"": ""1"", ""content"": ""我给你 5 块钱，怎么样,还不用找钱哦""}, {""sex"": ""2"", ""content"": ""那不是很值得我建议。""}, {""sex"": ""1"", ""content"": ""看你年纪不大，怎么记性这么不好，如果不值得你建议那你刚才怎么会建议我换一个方法呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""你很有气质，能交个朋友吗""}, {""sex"": ""2"", ""content"": ""我们又不认识?""}, {""sex"": ""1"", ""content"": ""世界上其实没有陌生的两个人，只有还没相识的两个朋友，让我们彼此多一个朋友好吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是。""}, {""sex"": ""1"", ""content"": ""我是一个很想认识你的人。""}, {""sex"": ""1"", ""content"": ""英雄不问出路，要是想知道以后就会知道的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你别打我""}, {""sex"": ""1"", ""content"": ""我怎么舍得打你呢。""}, {""sex"": ""1"", ""content"": ""我不打你，只会亲你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""快走快走""}, {""sex"": ""1"", ""content"": ""有你在，我怎么舍得走啊。""}, {""sex"": ""1"", ""content"": ""不走，我要留在你身边。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在吃饭了，你吃了吗""}, {""sex"": ""1"", ""content"": ""你都没让我吃，你说我吃没吃啊。""}, {""sex"": ""1"", ""content"": ""你也不请我一起吃饭吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""追到手""}, {""sex"": ""1"", ""content"": ""我很好追的，你再加油一下就可以啦。""}, {""sex"": ""1"", ""content"": ""你把我追到手后可不能抛弃我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""等你等到花都谢了""}, {""sex"": ""1"", ""content"": ""风里雨里，我在等你。""}, {""sex"": ""1"", ""content"": ""等了这么久了，我娶你吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说的是废话""}, {""sex"": ""1"", ""content"": ""我这不是怕你太笨了不懂嘛。""}, {""sex"": ""1"", ""content"": ""你知道吗，我只跟你一个人说废话。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你以为我是猪啊""}, {""sex"": ""1"", ""content"": ""难道不是吗？！""}, {""sex"": ""1"", ""content"": ""可爱的小猪猪！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在吗""}, {""sex"": ""1"", ""content"": ""你这一问我能不在吗""}, {""sex"": ""1"", ""content"": ""为了你不在也会马上出现的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不来吗""}, {""sex"": ""1"", ""content"": ""只要有你的地方我肯定到。""}, {""sex"": ""1"", ""content"": ""我不是在你心里了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要挨揍""}, {""sex"": ""1"", ""content"": ""女朋友才有权利揍男朋友，你是我女朋友嘛？""}, {""sex"": ""1"", ""content"": ""如果是挨你的揍的话，我心甘情愿。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怕是想挨揍""}, {""sex"": ""1"", ""content"": ""你想揍我就直说好不好。""}, {""sex"": ""1"", ""content"": ""看来是免不了挨揍了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""揍人""}, {""sex"": ""1"", ""content"": ""你才不是那么粗暴的人呢，对不对？""}, {""sex"": ""1"", ""content"": ""你想揍谁？我替你出手。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你睡了么""}, {""sex"": ""1"", ""content"": ""本来睡了，但是怕你一个人无聊就没睡。""}, {""sex"": ""1"", ""content"": ""我不放心你一个人，所以没睡。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你陪着我""}, {""sex"": ""1"", ""content"": ""陪你熬夜聊天，都没问题。""}, {""sex"": ""1"", ""content"": ""三陪吗，我愿意的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""接住你""}, {""sex"": ""1"", ""content"": ""接住我我就是你的人了。""}, {""sex"": ""1"", ""content"": ""那你可要好好接住哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""接着""}, {""sex"": ""1"", ""content"": ""你这么重，我会不会接不住啊""}, {""sex"": ""1"", ""content"": ""接住了是不是会有什么奖励？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不接受你的礼物""}, {""sex"": ""1"", ""content"": ""不接受不行，这是圣旨""}, {""sex"": ""1"", ""content"": ""那你就接受我的小心心吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你真直接""}, {""sex"": ""1"", ""content"": ""有什么想法就直接说出来才不会引起不必要的误会。""}, {""sex"": ""1"", ""content"": ""我向来性格直爽，直来直去。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你敢过来吗""}, {""sex"": ""1"", ""content"": ""敢啊，为啥不要过来啊！""}, {""sex"": ""1"", ""content"": ""你看我的样子像是不敢过来的人吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""瞎做""}, {""sex"": ""1"", ""content"": ""瞎做都做得这么好，那你认真做岂不是不得了。""}, {""sex"": ""1"", ""content"": ""这还叫瞎做呀，太谦虚了吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在干嘛 ""}, {""sex"": ""1"", ""content"": ""我在想要怎么回复一个美女的问题""}, {""sex"": ""1"", ""content"": "" 嗯？""}, {""sex"": ""1"", ""content"": "" 她在问我在干嘛""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在干嘛！""}, {""sex"": ""1"", ""content"": ""还能干嘛，上着班想着你呗。""}, {""sex"": ""1"", ""content"": ""在等要一个美女翻我的牌子。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""干嘛呢在""}, {""sex"": ""1"", ""content"": ""我在人生的道路上迷路了""}, {""sex"": ""1"", ""content"": ""你对我在干嘛那么好奇干嘛""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在干嘛哪""}, {""sex"": ""1"", ""content"": ""我在回答一个小仙女的问题呀。""}, {""sex"": ""1"", ""content"": ""嘿嘿，你猜我在干嘛呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在干嘛了？""}, {""sex"": ""1"", ""content"": ""还能干嘛啊，上着班想你呗。""}, {""sex"": ""1"", ""content"": ""躺在床上回答一个大美女的问题呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""请我""}, {""sex"": ""1"", ""content"": ""绅士讲究礼尚往来，我请你吃饭， 你请我看电影吧""}, {""sex"": ""1"", ""content"": ""中国绅士风度，凡事女士优先，买单当然也不例外""}, {""sex"": ""1"", ""content"": ""我打算带你去看耳科""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么请假""}, {""sex"": ""1"", ""content"": ""请你嫁给我。""}, {""sex"": ""1"", ""content"": ""你的时间是属于你的，你想请假就直接请就好啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你这夸的""}, {""sex"": ""1"", ""content"": ""是不是夸得很响亮！""}, {""sex"": ""1"", ""content"": ""夸得你都心花怒放了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你来拿呀""}, {""sex"": ""1"", ""content"": ""那得看你给不给我啦。""}, {""sex"": ""1"", ""content"": ""我手都伸出来了，你倒是给我呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你多高来着""}, {""sex"": ""1"", ""content"": ""反正你够不着就对了。""}, {""sex"": ""1"", ""content"": ""可以为你撑起一片天的身高。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""猜猜我有多高""}, {""sex"": ""1"", ""content"": ""应该是标准的女神身高吧""}, {""sex"": ""1"", ""content"": ""不过你多高，在我怀里都是小鸟依人的样子""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我的心里没有你""}, {""sex"": ""1"", ""content"": ""那你心里可以有我!""}, {""sex"": ""1"", ""content"": ""那我心里怎么都是你啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""傻子哟""}, {""sex"": ""1"", ""content"": ""那你是傻子的女朋友哟。""}, {""sex"": ""1"", ""content"": ""我就当你是觉得我傻得可爱好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我也是耶""}, {""sex"": ""1"", ""content"": ""哇，我跟小可爱也太有缘分了吧。""}, {""sex"": ""1"", ""content"": ""果然我跟你是心有灵犀哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""说得也是""}, {""sex"": ""1"", ""content"": ""我说的难道有错的嘛？""}, {""sex"": ""1"", ""content"": ""看来小仙女也是认可我说的话啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你找我啥事""}, {""sex"": ""1"", ""content"": ""我这边刚好有份爱情想找你聊聊。""}, {""sex"": ""1"", ""content"": ""月老让我去找我的未来儿媳妇，我就过来了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怕我想你""}, {""sex"": ""1"", ""content"": ""想我又不是可怕的事，尽情地想吧。""}, {""sex"": ""1"", ""content"": ""就算怕也没用，你还是会一直想我的呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喜欢啥？""}, {""sex"": ""1"", ""content"": ""喜欢你。""}, {""sex"": ""1"", ""content"": ""喜欢什么呢，我还是喜欢看你笑。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好烦你""}, {""sex"": ""1"", ""content"": ""至少不被你理你来的好吧。""}, {""sex"": ""1"", ""content"": ""烦着烦着就不烦了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你够了小朋友""}, {""sex"": ""1"", ""content"": ""我这小朋友哪里小了！！""}, {""sex"": ""1"", ""content"": ""不够，爱你永不够。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""很想我吗""}, {""sex"": ""1"", ""content"": ""想啊，疯狂的在想啊！""}, {""sex"": ""1"", ""content"": ""想的我自己都不知道在想你了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""很想抱抱""}, {""sex"": ""1"", ""content"": ""抱吧，我就在这里。""}, {""sex"": ""1"", ""content"": ""你想怎么抱，公主抱？还是熊抱？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是还行""}, {""sex"": ""1"", ""content"": ""看来我还需要努力努力啊。""}, {""sex"": ""1"", ""content"": ""还行也就是还不算糟糕，对不对。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""恋爱是啥""}, {""sex"": ""1"", ""content"": ""你自己尝试了，就知道我说的是什么了。""}, {""sex"": ""1"", ""content"": ""恋爱就是我们在一起。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是有你么""}, {""sex"": ""1"", ""content"": ""原来对你来说我这么重要，那我可得好好表现。""}, {""sex"": ""1"", ""content"": ""就是因为知道有我在，所以这么嚣张是吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是什么想法""}, {""sex"": ""1"", ""content"": ""想你的想法还能是什么想法。""}, {""sex"": ""1"", ""content"": ""什么想法都不及想你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是吗？""}, {""sex"": ""1"", ""content"": ""对呀，对我不需要有任何怀疑。""}, {""sex"": ""1"", ""content"": ""当然，我可是不会骗仙女的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是寂寞吗""}, {""sex"": ""1"", ""content"": ""你要来为我排解寂寞吗？""}, {""sex"": ""1"", ""content"": ""或许是吧，一个人久了总会感到寂寞。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你又是谁""}, {""sex"": ""1"", ""content"": ""我是谁重要吗，重要的是我会成为谁。""}, {""sex"": ""1"", ""content"": ""那么想知道，自己过来了解。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是谁呢？""}, {""sex"": ""1"", ""content"": ""我是谁，我是你未来男朋友。""}, {""sex"": ""1"", ""content"": ""英雄不问出路，流氓不分种族""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""请问你是谁？""}, {""sex"": ""1"", ""content"": ""我是谁其实并不重要，重要的我要成为谁。""}, {""sex"": ""1"", ""content"": ""名字只是个代号，主要是用来遇见你的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我也困""}, {""sex"": ""1"", ""content"": ""不困啦，再犯困就要磕头了。""}, {""sex"": ""1"", ""content"": ""那我们去梦里聊天吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哦是嘛""}, {""sex"": ""1"", ""content"": ""对呀，你是不是不知道？""}, {""sex"": ""1"", ""content"": ""当然，我可不会骗你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""干嘛呀。""}, {""sex"": ""1"", ""content"": ""没干嘛就不可以找你嘛？""}, {""sex"": ""1"", ""content"": ""还不是想你了，你见我找别人了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有对象嘛""}, {""sex"": ""1"", ""content"": ""怎么？想做我的对象嘛！""}, {""sex"": ""1"", ""content"": ""我的对象不就是你嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是大傻瓜""}, {""sex"": ""1"", ""content"": ""我是很爱很爱你的大傻瓜。""}, {""sex"": ""1"", ""content"": ""你知不知道我的傻是被你传染的？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是不是不要我了""}, {""sex"": ""1"", ""content"": ""捧在手心里都怕化了的人怎么可能不要？""}, {""sex"": ""1"", ""content"": ""我也想不要你了，可是我做不到。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是呢是呢""}, {""sex"": ""1"", ""content"": ""请不要这样说话，我怕我会受不了。""}, {""sex"": ""1"", ""content"": ""你这么可爱的说话可是犯规的呦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""但是没钱""}, {""sex"": ""1"", ""content"": ""没钱真的难倒一大群英雄好汉啊。""}, {""sex"": ""1"", ""content"": ""有钱没钱都是要回家过年的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都是钱惹的祸""}, {""sex"": ""1"", ""content"": ""钱能解决很多事情，但钱也是很多事情的祸源""}, {""sex"": ""1"", ""content"": ""要是有钱就不会有这么多麻烦事了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是的！""}, {""sex"": ""1"", ""content"": ""你这是得有多大的自信呀。""}, {""sex"": ""1"", ""content"": ""这么认真的和我说话，我感觉有点紧张了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是的""}, {""sex"": ""1"", ""content"": ""你是！""}, {""sex"": ""2"", ""content"": ""？？""}, {""sex"": ""1"", ""content"": ""你是我喜欢的人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""说的跟真的是的""}, {""sex"": ""1"", ""content"": ""搞得我说的不是真的一样。""}, {""sex"": ""1"", ""content"": ""我这么诚实的脸，哪里像是会说假的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""应该是的吧""}, {""sex"": ""1"", ""content"": ""你都在这么说了，我还能怎么办呢照做呗。""}, {""sex"": ""1"", ""content"": ""你这回答感觉有点模棱两可啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我才不是你家的呢""}, {""sex"": ""1"", ""content"": ""那我是你家的咯？""}, {""sex"": ""1"", ""content"": ""不是我家的，你准备是谁家的？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你也是我的男朋友""}, {""sex"": ""1"", ""content"": ""我不应该是你的老公嘛。""}, {""sex"": ""1"", ""content"": ""做你的男朋友的确是不容易啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""说你是真的""}, {""sex"": ""1"", ""content"": ""我当然是真的喜欢你啊。""}, {""sex"": ""1"", ""content"": ""我还能有假的嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是真心的就好""}, {""sex"": ""1"", ""content"": ""我对你说的每一句话都是真心的。""}, {""sex"": ""1"", ""content"": ""我当然是真心喜欢你了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你还当真了""}, {""sex"": ""1"", ""content"": ""关于你的事，我从来都是认真对待。""}, {""sex"": ""1"", ""content"": ""好生气哦，可还是要保持围笑。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""真是搞笑""}, {""sex"": ""1"", ""content"": ""还不是为了博红颜一笑！""}, {""sex"": ""1"", ""content"": ""你笑起来真的好看。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你这是要搞网恋吗""}, {""sex"": ""1"", ""content"": ""什么网恋，我么可以现实见面恋好不好！""}, {""sex"": ""1"", ""content"": ""难道你想和我搞网恋？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是老可爱""}, {""sex"": ""1"", ""content"": ""明明是个小可爱。""}, {""sex"": ""1"", ""content"": ""不，你只老好看了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""给你一个么么哒""}, {""sex"": ""1"", ""content"": ""一个可不够，我要十个，不，一百个。""}, {""sex"": ""1"", ""content"": ""我想要每天一个么么哒可以吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早鸭，再给你一个么么哒""}, {""sex"": ""1"", ""content"": ""早呀，小仙女的么么哒我收到啦""}, {""sex"": ""1"", ""content"": ""mua！我必须也回你一个么么哒才行！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么东西啊？""}, {""sex"": ""1"", ""content"": ""我是什么东西啊？""}, {""sex"": ""1"", ""content"": ""那是我喜欢你的心。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么事情啊？""}, {""sex"": ""1"", ""content"": ""我想跟我未来女朋友聊个天""}, {""sex"": ""1"", ""content"": ""没什么事，想你了而已""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有什么聊的""}, {""sex"": ""1"", ""content"": ""那聊聊我们的婚姻大事如何？""}, {""sex"": ""1"", ""content"": ""聊下你什么时候嫁给我吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""只是不知道聊什么""}, {""sex"": ""1"", ""content"": ""聊什么啊，我们直接除了恋爱还能聊什么。""}, {""sex"": ""1"", ""content"": ""不用聊了，直接撩你就完事了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好啊想聊点什么""}, {""sex"": ""1"", ""content"": ""聊聊我们接下来可能要发生的爱情吧。""}, {""sex"": ""1"", ""content"": ""聊聊你什么时候才能喜欢上我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我这么乖怎么会骗人""}, {""sex"": ""1"", ""content"": ""比较乖的骗起人来才恐怖。""}, {""sex"": ""1"", ""content"": ""那你亲我一下，我就相信。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么这么想""}, {""sex"": ""1"", ""content"": ""那你想让我怎么想呢？""}, {""sex"": ""1"", ""content"": ""我不这么想难道还能怎么想吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么可以""}, {""sex"": ""1"", ""content"": ""怎么不可以，这个世界上没有什么不可以的。""}, {""sex"": ""1"", ""content"": ""你做我女朋友就可以了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么。""}, {""sex"": ""1"", ""content"": ""什么也比不上你，你就是这世间最美好的存在。""}, {""sex"": ""1"", ""content"": ""什么都别说，你只要用心感受我对你的爱就好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""了解什么呀""}, {""sex"": ""1"", ""content"": ""什么都可以了解呀，我想知道关于你的事情。""}, {""sex"": ""1"", ""content"": ""了解你的性格生活家庭，了解你的一切。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你什么时候睡呀""}, {""sex"": ""1"", ""content"": ""你想我什么时候睡呢。""}, {""sex"": ""1"", ""content"": ""那得看你什么时候入我梦里了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么呐？""}, {""sex"": ""1"", ""content"": ""什么怎么了，我喜欢你还能怎么了！""}, {""sex"": ""1"", ""content"": ""你就是仗着我喜欢你，就是这么嚣张的吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么说啊""}, {""sex"": ""1"", ""content"": ""怎么说我都是爱你。""}, {""sex"": ""1"", ""content"": ""不管你要怎么说，我都在""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我该说些什么""}, {""sex"": ""1"", ""content"": ""看你想说什么就说什么。""}, {""sex"": ""1"", ""content"": ""你什么都不用说了，我都知道""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说的什么""}, {""sex"": ""1"", ""content"": ""没说什么，好话不说第二遍""}, {""sex"": ""1"", ""content"": ""就知道你没有好好听我说话，我生气了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在忙什么呢啊！""}, {""sex"": ""1"", ""content"": ""忙着怎么才能追到你，然后娶你""}, {""sex"": ""1"", ""content"": ""对不起，我么有在忙就是有点想你了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你做什么的？""}, {""sex"": ""1"", ""content"": ""那要看面对什么了，面对你我就适合做男朋友""}, {""sex"": ""1"", ""content"": ""这就开始查户口啦？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不想怎么办""}, {""sex"": ""1"", ""content"": ""不想就不想吧，我也不会勉强你的。""}, {""sex"": ""1"", ""content"": ""还能怎么办，那就不要想了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说怎么办吧""}, {""sex"": ""1"", ""content"": ""我也想你，那我也怎么办？""}, {""sex"": ""1"", ""content"": ""你亲我一下，我就告诉你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""要吃什么""}, {""sex"": ""1"", ""content"": ""都可以，反正我都挺喜欢吃的。""}, {""sex"": ""1"", ""content"": ""作为个吃货吃啥都行。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么称呼呀？""}, {""sex"": ""1"", ""content"": ""我不介意你称呼我为小哥哥""}, {""sex"": ""1"", ""content"": ""怎么称呼都行，只要小仙女喜欢就好""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么这样说""}, {""sex"": ""1"", ""content"": ""不这么说，怎么能引起你的注意力呢？""}, {""sex"": ""1"", ""content"": ""那我收回，我不这么说了好不好？""}], ""lock"": 1}"
