"{""chat"": [{""sex"": ""1"", ""content"": ""你说到哪儿汇合？COCOPARK，我这是在哪儿？（转向目标）哎，请问我们这个地方是在哪儿？""}, {""sex"": ""2"", ""content"": ""这里是……""}, {""sex"": ""1"", ""content"": ""谢谢！（对电话说）我在XXX，一会儿见。（转向目标）真是太谢谢你了，你一个人在这里逛街吗？""}, {""sex"": ""2"", ""content"": ""对啊，我和朋友……""}, {""sex"": ""1"", ""content"": ""噢，我也和朋友约在这里。我们在做一件很神奇的事情，你如果没什么事的话，不如一起来？我叫xxx……""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""难怪现在街上有气质的女孩子越来越少，原来全跑去做护士了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我美吗""}, {""sex"": ""1"", ""content"": ""别以为漂亮就可以让我动心，至少你还要够笨""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""那就让我们打破这份陌生 ，敢问 姑娘芳名？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哦那好吧""}, {""sex"": ""1"", ""content"": ""我感觉到你有一丝丝的失望。""}, {""sex"": ""1"", ""content"": ""要是不好你也可以告诉我哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你心里有我就好""}, {""sex"": ""1"", ""content"": ""不止心里有你，眼里脑袋里都是你。""}, {""sex"": ""1"", ""content"": ""那你的心里有我吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你也是？""}, {""sex"": ""1"", ""content"": ""对啊，我也是很爱你的。""}, {""sex"": ""1"", ""content"": ""你不试试怎么知道呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我也是爱你""}, {""sex"": ""1"", ""content"": ""我们是相亲相爱一家人。""}, {""sex"": ""1"", ""content"": ""爱情就是这个样子的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我怎么找你""}, {""sex"": ""1"", ""content"": ""有很多种方式能够找到我呀，就要看看你怎么动你的小脑筋了""}, {""sex"": ""1"", ""content"": ""Follow your heart，这样你就能找到我了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我现在烦的很""}, {""sex"": ""1"", ""content"": ""那我陪你消除烦恼好不好？""}, {""sex"": ""1"", ""content"": ""看到你被烦恼困扰我也觉得很苦恼。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我好想打你啊""}, {""sex"": ""1"", ""content"": ""想！你想揍我的心很重啊。""}, {""sex"": ""1"", ""content"": ""打！老婆随便打老公的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有病吗？""}, {""sex"": ""1"", ""content"": ""你居然能看出我有病，看来同病相怜啊。""}, {""sex"": ""1"", ""content"": ""那你是我的药吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一直都是啊""}, {""sex"": ""1"", ""content"": ""是时候由我来改变你了。""}, {""sex"": ""1"", ""content"": ""我也一直都很喜欢你啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不就是你嘛""}, {""sex"": ""1"", ""content"": ""是我，是我，就是我""}, {""sex"": ""1"", ""content"": ""没错，就是我怎么了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是说说""}, {""sex"": ""1"", ""content"": ""你就只是说说而已的嘛！""}, {""sex"": ""1"", ""content"": ""那我怎么感觉你说的那么多啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是肚子疼""}, {""sex"": ""1"", ""content"": ""你先在床上躺着，我现在就过去找你。""}, {""sex"": ""1"", ""content"": ""让你别乱吃东西就是不听就是不听。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是女子""}, {""sex"": ""1"", ""content"": ""我是男子，没错啊。""}, {""sex"": ""1"", ""content"": ""你是我的女子。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""要困死了""}, {""sex"": ""1"", ""content"": ""犯困的时候建议你靠在我身边。""}, {""sex"": ""1"", ""content"": ""我也好困啊，要不一起睡会儿？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你这是在表白嘛""}, {""sex"": ""1"", ""content"": ""能看出来我是在表白，还不算太笨嘛。""}, {""sex"": ""1"", ""content"": ""既然知道我是在表白，那你答不答应？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不会是我""}, {""sex"": ""1"", ""content"": ""一切皆有可能，也有可能是你""}, {""sex"": ""1"", ""content"": ""为什么不会是你，怎么不会是你？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不要生气了嘛""}, {""sex"": ""1"", ""content"": ""你哄哄我就不生气了。""}, {""sex"": ""1"", ""content"": ""这么可爱的你，我怎么可能生气呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嗯嗯嗯嗯嗯嗯嗯嗯""}, {""sex"": ""1"", ""content"": ""你这么多的嗯，会让别人误会的。""}, {""sex"": ""1"", ""content"": ""我感觉你是复读机啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""男生都是渣男""}, {""sex"": ""1"", ""content"": ""请不要把我和一般男生放在一起。""}, {""sex"": ""1"", ""content"": ""你见过渣男还对你用真心的嘛?""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那不得看是谁吗""}, {""sex"": ""1"", ""content"": ""哎呦喂，骄傲了呢。""}, {""sex"": ""1"", ""content"": ""对啊，也不看看是谁的人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是爱还是喜欢""}, {""sex"": ""1"", ""content"": ""你试试猜一下呗。""}, {""sex"": ""1"", ""content"": ""喜欢和爱不都是一样吗？！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是我啊""}, {""sex"": ""1"", ""content"": ""是你，肯定是你，我喜欢的人只能是你。""}, {""sex"": ""1"", ""content"": ""你肯定是头偷偷下凡的小仙女。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是真的嘛""}, {""sex"": ""1"", ""content"": ""难道喜欢你还有假的吗？""}, {""sex"": ""1"", ""content"": ""真的，像珍珠一样真。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你就是笨""}, {""sex"": ""1"", ""content"": ""笨一点就只知道喜欢你咯。""}, {""sex"": ""1"", ""content"": ""爱情使我蒙蔽了智慧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好哈哈哈哈""}, {""sex"": ""1"", ""content"": ""哈哈哈，笑得这么开心是因为我吗""}, {""sex"": ""1"", ""content"": ""我很好哈哈哈哈，看到你笑我就忍不住也想笑""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么选我""}, {""sex"": ""1"", ""content"": ""我有什么理由去不选择你呢？""}, {""sex"": ""1"", ""content"": ""那肯定是因为喜欢你啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你叫什么名字啊？""}, {""sex"": ""1"", ""content"": ""我叫男朋友啊。""}, {""sex"": ""1"", ""content"": ""叫什么不重要，重要的是我这个人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想聊什么呢""}, {""sex"": ""1"", ""content"": ""聊聊你什么时候才能变成我的妻子。""}, {""sex"": ""1"", ""content"": ""想聊聊我们之间的事。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃饭时候该聊什么""}, {""sex"": ""1"", ""content"": ""聊一聊我们未来的婚礼什么的。""}, {""sex"": ""1"", ""content"": ""聊下我喜欢你这个话题吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没什么可说""}, {""sex"": ""1"", ""content"": ""除了爱情，我也没什么可以和你说的了。""}, {""sex"": ""1"", ""content"": ""那我们还是不要说了吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你现在在做什么""}, {""sex"": ""1"", ""content"": ""在给世界上最漂亮的女人发信息啊""}, {""sex"": ""1"", ""content"": ""在想着什么借口约你出去玩才不会显得唐突""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想怎么了解""}, {""sex"": ""1"", ""content"": ""想要深入的了解一下你。""}, {""sex"": ""1"", ""content"": ""你愿意给我怎么样了解。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么傻了""}, {""sex"": ""1"", ""content"": ""你不是傻傻可爱嘛？""}, {""sex"": ""1"", ""content"": ""你要是不傻怎么会被我抓住呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不做什么""}, {""sex"": ""1"", ""content"": ""大把时光怎能浪费？不如用来想想我。""}, {""sex"": ""1"", ""content"": ""那咱们来做点什么好不好？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你做什么的""}, {""sex"": ""1"", ""content"": ""我做你男朋友的啊。""}, {""sex"": ""1"", ""content"": ""做什么不要紧的，反正我能赚钱养你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你这么厉害的么""}, {""sex"": ""1"", ""content"": ""嗯哼，你现在才发现我的厉害吗？""}, {""sex"": ""1"", ""content"": ""要是不够厉害也不敢出现在你面前了呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我厉不厉害""}, {""sex"": ""1"", ""content"": ""你要是不厉害能镇的住我吗。""}, {""sex"": ""1"", ""content"": ""厉害啊，厉害的你怎么不上天呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有什么吃什么""}, {""sex"": ""1"", ""content"": ""吃货就是啥都吃啊！""}, {""sex"": ""1"", ""content"": ""我真担心哪天会被你吃垮。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""猜不到的""}, {""sex"": ""1"", ""content"": ""小仙女这么聪明，肯定能猜到的，我相信你。""}, {""sex"": ""1"", ""content"": ""女孩子的心思果然很难猜啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么嘛！""}, {""sex"": ""1"", ""content"": ""干嘛突然这么娇羞。""}, {""sex"": ""1"", ""content"": ""我说错什么啦？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么开心啊""}, {""sex"": ""1"", ""content"": ""有你在当然得开心点啊。""}, {""sex"": ""1"", ""content"": ""开开心心就是我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没什么 开心""}, {""sex"": ""1"", ""content"": ""看到我还不开心吗。""}, {""sex"": ""1"", ""content"": ""开心都是与你相关。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那要我怎样""}, {""sex"": ""1"", ""content"": ""不要你怎样，我不会逼你的。""}, {""sex"": ""1"", ""content"": ""是不是我说怎么样你就会怎么做。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你这么晚还不睡吗""}, {""sex"": ""1"", ""content"": ""我想等你和我说一句晚安我再睡。""}, {""sex"": ""1"", ""content"": ""感觉我会梦不到你，所以没有那么早睡。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""出去干什么""}, {""sex"": ""1"", ""content"": ""出去就可以看到我这个帅哥了啊""}, {""sex"": ""1"", ""content"": ""你想干什么就干什么，我奉陪。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""干什么了""}, {""sex"": ""1"", ""content"": ""动动你的小脑袋瓜猜一猜""}, {""sex"": ""1"", ""content"": ""除了亲亲抱抱 举高高，还能干什么""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么好？""}, {""sex"": ""1"", ""content"": ""那必须的，不好都对不起自己啊。""}, {""sex"": ""1"", ""content"": ""还好吧，我也就是稍微有点点好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""说得这么好听""}, {""sex"": ""1"", ""content"": ""好听的话才能配上好看的人啊。""}, {""sex"": ""1"", ""content"": ""那得看听的人是谁，我才能说的这么好听了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么好听的名字""}, {""sex"": ""1"", ""content"": ""听你叫我的名字肯定更好听。""}, {""sex"": ""1"", ""content"": ""这么好听的名字以后也是属于你的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那么早的吗""}, {""sex"": ""1"", ""content"": ""是啊，毕竟早起的鸟儿有虫吃。""}, {""sex"": ""1"", ""content"": ""嗯，已经习惯早起了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你咋起那么早""}, {""sex"": ""1"", ""content"": ""梦里的你不见了，我就醒了。""}, {""sex"": ""1"", ""content"": ""怕你早起没人聊天，就起床了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我们距离好近""}, {""sex"": ""1"", ""content"": ""离得这么近，出来喝奶茶呀。""}, {""sex"": ""1"", ""content"": ""没想到竟然离小仙女这么近，看来是缘分啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""碰巧了""}, {""sex"": ""1"", ""content"": ""你说这是不是缘分。""}, {""sex"": ""1"", ""content"": ""世界上的巧合这么多，最美的巧合就是我们之间的相遇。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是不知道说什么""}, {""sex"": ""1"", ""content"": ""不知道说什么就亲我一下好了。""}, {""sex"": ""1"", ""content"": ""你笨得连说什么都不知道，我怎么可能把你交给别人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嘴甜哦""}, {""sex"": ""1"", ""content"": ""嘴甜一点你才会喜欢呀。""}, {""sex"": ""1"", ""content"": ""我的嘴没有你的嘴一半甜。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么想吃""}, {""sex"": ""1"", ""content"": ""因为我饿了啊！""}, {""sex"": ""1"", ""content"": ""因为你想吃所以我想吃了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没看抖音""}, {""sex"": ""1"", ""content"": ""抖音也没什么好看的，还不如看我。""}, {""sex"": ""1"", ""content"": ""还是跟我聊聊天比较有意思对不对？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有什么意思？""}, {""sex"": ""1"", ""content"": ""你要是觉得一件事没意思那就会感到无趣了。""}, {""sex"": ""1"", ""content"": ""有什么意思取决于你怎么看待了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这个样子""}, {""sex"": ""1"", ""content"": ""嗯嗯，你对这件事有什么看法吗？""}, {""sex"": ""1"", ""content"": ""不是这样你希望是什么样呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没忙呀""}, {""sex"": ""1"", ""content"": ""没忙就可以找我聊天呀，才不无聊嘛。""}, {""sex"": ""1"", ""content"": ""一直不见你，我还以为你忙得晕头转向呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""真了解我""}, {""sex"": ""1"", ""content"": ""要是不了解你怎么能算是个合格的男朋友？""}, {""sex"": ""1"", ""content"": ""满心都是你，自然就了解你了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""咋呢""}, {""sex"": ""1"", ""content"": ""没咋的，就是我有点想你了""}, {""sex"": ""1"", ""content"": ""还能咋了，我看我自己喜欢的人还能咋的你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""变不了""}, {""sex"": ""1"", ""content"": ""我对你的心也变不了""}, {""sex"": ""1"", ""content"": ""不需要改变，你做你自己就好了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""别睡着了""}, {""sex"": ""1"", ""content"": ""没睡没睡，陪你聊天怎么能睡着呢。""}, {""sex"": ""1"", ""content"": ""困得不行了，眼睛差点合上就睁不开了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你回来了吗""}, {""sex"": ""1"", ""content"": ""身体回来了，心却留在你那了。""}, {""sex"": ""1"", ""content"": ""回来啦，我第一时间赶来见你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不认输""}, {""sex"": ""1"", ""content"": ""我喜欢你这股不服输的劲儿。""}, {""sex"": ""1"", ""content"": ""你可真是个倔强的小女孩。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我删了""}, {""sex"": ""1"", ""content"": ""你就这么无情无义吗，你怎么忍心呢？""}, {""sex"": ""1"", ""content"": ""删了可以再加，又不是什么难事。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你小子飘了是吧""}, {""sex"": ""1"", ""content"": ""你有本事拉着我！""}, {""sex"": ""1"", ""content"": ""飘一飘，放空自己。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""饿哭了""}, {""sex"": ""1"", ""content"": ""饿了就赶紧吃东西呀，可不要让我的小仙女饿瘦了""}, {""sex"": ""1"", ""content"": ""不哭不哭，哥哥带你去吃好吃的哦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你没错，我错了""}, {""sex"": ""1"", ""content"": ""怎么会？小仙女是不会犯错的。""}, {""sex"": ""1"", ""content"": ""你的错我都可以包容，我的错你也别怪我好吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我发现你最近很会说话""}, {""sex"": ""1"", ""content"": ""我只是说了一些肺腑之言罢了。""}, {""sex"": ""1"", ""content"": ""专门为你原厂升级过的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你真好！""}, {""sex"": ""1"", ""content"": ""还行，就刚好可以配上你罢了。""}, {""sex"": ""1"", ""content"": ""我可不想被人发好人卡。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""困了睡觉了""}, {""sex"": ""1"", ""content"": ""晚安，我们梦里接着聊。""}, {""sex"": ""1"", ""content"": ""没有我陪你睡得着嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你分手了""}, {""sex"": ""1"", ""content"": ""怎么，想要上位了？""}, {""sex"": ""1"", ""content"": ""如果我不分手，你还能有机会吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哪变了""}, {""sex"": ""1"", ""content"": ""你不觉得自己变得更好看了嘛？""}, {""sex"": ""1"", ""content"": ""哪哪都变了，你没有发现吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""快点的""}, {""sex"": ""1"", ""content"": ""你喜欢快点的呀，快点比较刺激是吧。""}, {""sex"": ""1"", ""content"": ""快不了，不然你来？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不可爱吗""}, {""sex"": ""1"", ""content"": ""可爱啊，你不是有我爱吗。""}, {""sex"": ""1"", ""content"": ""你不是可爱，你是迷人而已。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""网名""}, {""sex"": ""1"", ""content"": ""网名这么可爱，本人肯定也很可爱吧""}, {""sex"": ""1"", ""content"": ""我觉得我们可以换情侣网名了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你又想多了""}, {""sex"": ""1"", ""content"": ""我没有想多，我就是多想你了一点。""}, {""sex"": ""1"", ""content"": ""要是不喜欢你就好了，就不会想那么多。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哪里了""}, {""sex"": ""1"", ""content"": ""你当然是住在我心里了啊。""}, {""sex"": ""1"", ""content"": ""你想去哪里我就带你去哪里。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你哪帅了""}, {""sex"": ""1"", ""content"": ""我哪里不帅了？！""}, {""sex"": ""1"", ""content"": ""我的帅气不是一般人能欣赏的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不想吃药了""}, {""sex"": ""1"", ""content"": ""乖乖，不吃药病怎么好得起来呢？""}, {""sex"": ""1"", ""content"": ""你先乖乖吃药，等病好了我就带你吃火锅，好不好？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""做个美梦""}, {""sex"": ""1"", ""content"": ""梦里有我吗？""}, {""sex"": ""1"", ""content"": ""那我能来到你的梦里，一起做美梦吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""天这么冷""}, {""sex"": ""1"", ""content"": ""不冷，你抱着我就好了。""}, {""sex"": ""1"", ""content"": ""我很暖和，我帮你取暖。""}], ""lock"": 1}"
