"{""chat"": [{""sex"": ""1"", ""content"": ""把名字告诉我，送你一个礼物""}, {""sex"": ""2"", ""content"": ""送什么礼物？""}, {""sex"": ""1"", ""content"": ""送你一个备注（开场）""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你夸夸我先""}, {""sex"": ""1"", ""content"": ""我要怎么夸你才不显庸俗呢。""}, {""sex"": ""1"", ""content"": ""那你先让我找个词好好夸你成不。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好呀""}, {""sex"": ""1"", ""content"": ""你让我想起了我的幼儿园老师""}, {""sex"": ""2"", ""content"": ""为什么？""}, {""sex"": ""1"", ""content"": ""小时候她总会逼我跟她说你好呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哎呀呀！""}, {""sex"": ""1"", ""content"": ""哦啊巴巴巴巴~""}, {""sex"": ""1"", ""content"": ""怎么啦，这么大惊小怪干嘛呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你多高啊？""}, {""sex"": ""1"", ""content"": ""天塌下来，能够帮你挡住的身高。""}, {""sex"": ""1"", ""content"": ""你踮起脚尖刚好可以吻到我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我喜欢你你信吗""}, {""sex"": ""1"", ""content"": ""我要说不信，你信吗？""}, {""sex"": ""1"", ""content"": ""被你喜欢上，我可能有点要怀疑自己了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你找""}, {""sex"": ""1"", ""content"": ""我这不是已经找到你了吗？""}, {""sex"": ""1"", ""content"": ""找到你是我最大的幸运了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我找对象""}, {""sex"": ""1"", ""content"": ""你终于找到我了，让我等了这么久。""}, {""sex"": ""1"", ""content"": ""你现在找到我了，你就不用再找了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""打我？""}, {""sex"": ""1"", ""content"": ""前提是我能打得过你啊。""}, {""sex"": ""1"", ""content"": ""我看我的样子像是舍得打你吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""够了哈""}, {""sex"": ""1"", ""content"": ""爱你可是一点都不够啊。""}, {""sex"": ""1"", ""content"": ""对你怎么都爱不够""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""，很想靠近你""}, {""sex"": ""1"", ""content"": ""别想了，赶紧过来！""}, {""sex"": ""1"", ""content"": ""除了靠近，难道就没有其他吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你很有想法呀""}, {""sex"": ""1"", ""content"": ""这些想法的最终结果都是喜欢上你。""}, {""sex"": ""1"", ""content"": ""这些想法都是有关于你的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""仙女是谁""}, {""sex"": ""1"", ""content"": ""仙女不是你吗，还能是谁啊""}, {""sex"": ""1"", ""content"": ""除了你，我想不到其他人了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃饱就犯困""}, {""sex"": ""1"", ""content"": ""一看就知道你肯定是猪猪转世。""}, {""sex"": ""1"", ""content"": ""小懒猪，既然困了就到我怀里来睡一觉吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是不是有点傻""}, {""sex"": ""1"", ""content"": ""哪里傻了，明明是聪明呢。""}, {""sex"": ""1"", ""content"": ""再傻也没有你傻呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不应该吗""}, {""sex"": ""1"", ""content"": ""当然不应该了，你得好好待在我身边才行""}, {""sex"": ""1"", ""content"": ""没有应不应该，你觉得可以就好啦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是在说我吗""}, {""sex"": ""1"", ""content"": ""是啊，你听到我的心在喊你了吗""}, {""sex"": ""1"", ""content"": ""我嘴里除了你还能是谁啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是不是真的啊""}, {""sex"": ""1"", ""content"": ""比珍珠还要真呢。""}, {""sex"": ""1"", ""content"": ""骗你又没有糖吃，当然是真的了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""快乐都是你们的""}, {""sex"": ""1"", ""content"": ""我的快乐不都是与你相关吗！""}, {""sex"": ""1"", ""content"": ""你快乐了，我才能快乐呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""暗示你什么？""}, {""sex"": ""1"", ""content"": ""暗示我可以喜欢你啊！""}, {""sex"": ""1"", ""content"": ""那得看你想给我暗示我什么了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是想你啊""}, {""sex"": ""1"", ""content"": ""那麻烦请使劲想我，不小心我就出现了呢。""}, {""sex"": ""1"", ""content"": ""你的思念我收到了，我会收好的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""请问你是猪吗""}, {""sex"": ""1"", ""content"": ""哼哼哼，那也是最帅的小猪猪，哼""}, {""sex"": ""1"", ""content"": ""是啊，我是盖了你名字的小猪""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么这么好啊""}, {""sex"": ""1"", ""content"": ""对喜欢的人好是天经地义的事。""}, {""sex"": ""1"", ""content"": ""这样你才能死心塌地爱上我啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么那么忙""}, {""sex"": ""1"", ""content"": ""如果不忙，怎么养你啊。""}, {""sex"": ""1"", ""content"": ""忙着为我们的未来努力呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我一直这么可爱""}, {""sex"": ""1"", ""content"": ""我喜欢的人当然是可爱的啦。""}, {""sex"": ""1"", ""content"": ""对啊，这么可爱也就只有我欣赏。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""算什么""}, {""sex"": ""1"", ""content"": ""你说算什么就算什么""}, {""sex"": ""1"", ""content"": ""你当然是算我女朋友了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么看呀""}, {""sex"": ""1"", ""content"": ""想怎么看就怎么看咯。""}, {""sex"": ""1"", ""content"": ""怎么看都可以看出来你好看。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么教呀""}, {""sex"": ""1"", ""content"": ""当然是手把手教了呀。""}, {""sex"": ""1"", ""content"": ""这你不用担心，你用心学就好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你开心什么""}, {""sex"": ""1"", ""content"": ""光是想到你我就觉得很开心了。""}, {""sex"": ""1"", ""content"": ""没什么，就是一想到你我就开心得冒泡。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""笑那么开心""}, {""sex"": ""1"", ""content"": ""因为有你啊，一想到你我就觉得很开心。""}, {""sex"": ""1"", ""content"": ""人生那么短，要开心地笑着度过。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有什么可开心的""}, {""sex"": ""1"", ""content"": ""遇到你这个仙女难道不值得我开心吗？""}, {""sex"": ""1"", ""content"": ""我就是想这么开心一下而已。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在忙什么呢？""}, {""sex"": ""1"", ""content"": ""为了生活，我四处奔波呀。""}, {""sex"": ""1"", ""content"": ""最近啊，忙着为我们的未来生活努力呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么啦？""}, {""sex"": ""1"", ""content"": ""遇见你之后我才发现什么叫做喜欢。""}, {""sex"": ""1"", ""content"": ""没事啊，就是喜欢上你了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想怎么行动""}, {""sex"": ""1"", ""content"": ""当然是心动不如行动啦。""}, {""sex"": ""1"", ""content"": ""还能怎么行动，抓紧行动呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么要想呢""}, {""sex"": ""1"", ""content"": ""我为什么不这么想呢""}, {""sex"": ""1"", ""content"": ""你给我一个念想让我不这么想。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么晚还不睡？""}, {""sex"": ""1"", ""content"": ""你这不也还没睡吗""}, {""sex"": ""1"", ""content"": ""想等等你，这样梦里又可以见到你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你这么晚了还不睡""}, {""sex"": ""1"", ""content"": ""不知道为什么一想到你就完全没睡意了。""}, {""sex"": ""1"", ""content"": ""你也不是还没睡吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""工作烦恼""}, {""sex"": ""1"", ""content"": ""工作要是没有烦恼就不叫工作啦""}, {""sex"": ""1"", ""content"": ""有什么烦恼可以跟我说说哦，或许我能帮你排忧解难""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""正经工作""}, {""sex"": ""1"", ""content"": ""正经人当然要做正经工作了。""}, {""sex"": ""1"", ""content"": ""小仙女怎么可能做不正经的工作嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好巧""}, {""sex"": ""1"", ""content"": ""对啊，看来老天爷有意让我们有这么多巧合啊""}, {""sex"": ""1"", ""content"": ""你信不信所有的巧合都是上天注定""}, {""sex"": ""1"", ""content"": ""那的确实很巧啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那还真巧""}, {""sex"": ""1"", ""content"": ""或许这就是传说中的缘分吧。""}, {""sex"": ""1"", ""content"": ""世界上怎么会如此凑巧的呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那么甜""}, {""sex"": ""1"", ""content"": ""也就只能是你让我觉得甜了。""}, {""sex"": ""1"", ""content"": ""那还不是因为你自己太过于甜了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没问题啊""}, {""sex"": ""1"", ""content"": ""没问题那咱们就走吧，民政局""}, {""sex"": ""1"", ""content"": ""既然都没问题了，那我就登门提亲了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""昨晚睡的比较早""}, {""sex"": ""1"", ""content"": ""小仙女的睡眠习惯真好。""}, {""sex"": ""1"", ""content"": ""那么早睡，是想早点到梦乡里见我吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""达成一致""}, {""sex"": ""1"", ""content"": ""能跟小仙女达成一致真是太好了。""}, {""sex"": ""1"", ""content"": ""我们达成一致了，看来我们很有默契呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""准备什么时候睡觉""}, {""sex"": ""1"", ""content"": ""你准备什么时候和我说晚安。""}, {""sex"": ""1"", ""content"": ""你想什么时候梦到我呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你什么时候来""}, {""sex"": ""1"", ""content"": ""那你准备什么时候欢迎我呢？""}, {""sex"": ""1"", ""content"": ""我已经马不停蹄的在路上啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你又帮不了我""}, {""sex"": ""1"", ""content"": ""不试试怎么知道我帮不了你呢。""}, {""sex"": ""1"", ""content"": ""但是我可以帮你喜欢我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我需要你帮助我""}, {""sex"": ""1"", ""content"": ""只要你需要我，我就会出现在你身边。""}, {""sex"": ""1"", ""content"": ""怎么啦，小仙女需要我怎么帮你？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""该有的样子""}, {""sex"": ""1"", ""content"": ""放心吧，我会表现出男朋友该有的样子。""}, {""sex"": ""1"", ""content"": ""谈个恋爱就知道什么是该有的样子了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么忙吗""}, {""sex"": ""1"", ""content"": ""再忙也没忘记想你。""}, {""sex"": ""1"", ""content"": ""这不是忙着想你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哪不好了""}, {""sex"": ""1"", ""content"": ""那你说哪儿好了。""}, {""sex"": ""1"", ""content"": ""你还不是我女朋友，一点都不好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我真的服你了""}, {""sex"": ""1"", ""content"": ""是不是佩服得五体投地了？""}, {""sex"": ""1"", ""content"": ""讨厌，你这么说我会害羞的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没事删了""}, {""sex"": ""1"", ""content"": ""有事有事，我是来应聘做你男朋友的。""}, {""sex"": ""1"", ""content"": ""在茫茫人海中相遇，也是一种缘分，怎么能说删就删呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""删掉我""}, {""sex"": ""1"", ""content"": ""我不会删了你的，我还会把你置顶""}, {""sex"": ""1"", ""content"": ""我可舍不得删了你，何况删好友是小学生才会做的事""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""快飘了你""}, {""sex"": ""1"", ""content"": ""那你可要抓紧我呦。""}, {""sex"": ""1"", ""content"": ""随风飘摇啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有点飘啊""}, {""sex"": ""1"", ""content"": ""飘进你心里好不好？""}, {""sex"": ""1"", ""content"": ""是你给我飘的底气。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""饿了么""}, {""sex"": ""1"", ""content"": ""你这是要点外卖的节奏啊。""}, {""sex"": ""1"", ""content"": ""有点饿，晚上要不要一起去吃""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""加了这么久还不知道你名字呢""}, {""sex"": ""1"", ""content"": ""名字什么都是个代号，只是遇见你的契机罢了。""}, {""sex"": ""1"", ""content"": ""下次我们见面了，我当面和你说如何？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喝王老吉会醉？""}, {""sex"": ""1"", ""content"": ""几个菜啊喝成这样？""}, {""sex"": ""1"", ""content"": ""我只是醉在你的笑容里罢了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""起床了没""}, {""sex"": ""1"", ""content"": ""没想到你比我还早起床""}, {""sex"": ""1"", ""content"": ""你起这么早就是为了喊我起床吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我得起床了""}, {""sex"": ""1"", ""content"": ""你再不起床就成小猪猪了。""}, {""sex"": ""1"", ""content"": ""太阳差点晒屁股了，你是时候起床了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""太快了吧.。。。""}, {""sex"": ""1"", ""content"": ""原来你喜欢慢的啊！""}, {""sex"": ""1"", ""content"": ""不快点我怕你被人抢走了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""听懂了吗""}, {""sex"": ""1"", ""content"": ""都是我太笨了，这都不懂。""}, {""sex"": ""1"", ""content"": ""不懂啊，小仙女能不能为我解释解释？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""网恋不靠谱""}, {""sex"": ""1"", ""content"": ""那我们出来见个面，就不是网恋了。""}, {""sex"": ""1"", ""content"": ""虽然网恋感觉让人不靠谱，但我会让你相信我的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怕长胖""}, {""sex"": ""1"", ""content"": ""怕什么，不管你什么样子我都喜欢！""}, {""sex"": ""1"", ""content"": ""胖点我妈可能比较喜欢呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怕长胖呀。""}, {""sex"": ""1"", ""content"": ""没事啊，你胖点我妈会很喜欢的。""}, {""sex"": ""1"", ""content"": ""怕什么，不管你什么样子我都喜欢！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""胖死我""}, {""sex"": ""1"", ""content"": ""哪胖了？明明这么可爱。""}, {""sex"": ""1"", ""content"": ""胖点多好，听说胖的人比较长寿。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我很晚睡""}, {""sex"": ""1"", ""content"": ""为什么还不睡，难道你不想和我梦中相见吗？""}, {""sex"": ""1"", ""content"": ""难怪我昨天等了半天晚安没来呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不晓得不晓得""}, {""sex"": ""1"", ""content"": ""你都不晓得，这事得多神秘啊""}, {""sex"": ""1"", ""content"": ""小仙女这么聪明都不晓得吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""馋馋你""}, {""sex"": ""1"", ""content"": ""你这么诱惑我真的会出事的。""}, {""sex"": ""1"", ""content"": ""我已经开始有点受不了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喝醉了？""}, {""sex"": ""1"", ""content"": ""酒不醉人人自醉。""}, {""sex"": ""1"", ""content"": ""酒壮怂人胆，总得有些话要对你说的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喝醉了吧""}, {""sex"": ""1"", ""content"": ""没喝醉就不能和你说了吗。""}, {""sex"": ""1"", ""content"": ""我不喝醉你怎么有机会呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都睡觉了""}, {""sex"": ""1"", ""content"": ""那我只好在梦里找你了。""}, {""sex"": ""1"", ""content"": ""这时候睡觉才是认真的呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我去吃药了""}, {""sex"": ""1"", ""content"": ""要乖乖吃药，才会好得快。""}, {""sex"": ""1"", ""content"": ""生病了吗？怎么没告诉我呢？是不是很不舒服？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""死掉了""}, {""sex"": ""1"", ""content"": ""生死有命，富贵在天。""}, {""sex"": ""1"", ""content"": ""别太难过，我们都只是普通人，并不能掌握生死。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你醒了？""}, {""sex"": ""1"", ""content"": ""你要是睡在我旁边，我都不想醒了。""}, {""sex"": ""1"", ""content"": ""醒了第一件事就是想想你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""醒了""}, {""sex"": ""1"", ""content"": ""我的梦也刚好没了。""}, {""sex"": ""2"", ""content"": ""嗯？""}, {""sex"": ""1"", ""content"": ""因为梦中女神都消失了，梦也该醒了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡醒了么""}, {""sex"": ""1"", ""content"": ""看我睡眼密松你就知道我刚醒。""}, {""sex"": ""1"", ""content"": ""梦里的你不见了，我就醒了好不好""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""做梦来""}, {""sex"": ""1"", ""content"": ""要是能梦到你我愿意天天做梦""}, {""sex"": ""1"", ""content"": ""我的野心可 不止是在梦里""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""冬天有些冷""}, {""sex"": ""1"", ""content"": ""不冷怎么叫做冬天呢。""}, {""sex"": ""1"", ""content"": ""有我在你身边，冬天不会冷。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这里太冷了""}, {""sex"": ""1"", ""content"": ""有了我，就不会怕冷啦。""}, {""sex"": ""1"", ""content"": ""再冷也冷不过心冷。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早早吃了""}, {""sex"": ""1"", ""content"": ""我还想跟小仙女吃早饭呢""}, {""sex"": ""1"", ""content"": ""想知道小仙女吃了啥，作参考用""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""时间也不早了""}, {""sex"": ""1"", ""content"": ""那你快去休息，早点睡对身体好。""}, {""sex"": ""1"", ""content"": ""虽然还舍不得跟你分开，但是我不想打扰到你睡觉，早点睡吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不想起来了""}, {""sex"": ""1"", ""content"": ""赖床真的是厉害啊。""}, {""sex"": ""1"", ""content"": ""你信不信我把你给扛起来！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""起了啊""}, {""sex"": ""1"", ""content"": ""不是吧，我都想你200遍了你才起的""}, {""sex"": ""1"", ""content"": ""我的懒懒猪终于起床了吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""咋的了呢""}, {""sex"": ""1"", ""content"": ""没事，就是有点想你了。""}, {""sex"": ""1"", ""content"": ""脑子里的你有点不安分了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""终于要下班了""}, {""sex"": ""1"", ""content"": ""下班的快乐！我知道""}, {""sex"": ""1"", ""content"": ""下班约起来！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你下班了呀？""}, {""sex"": ""1"", ""content"": ""下班了呦，有什么安排吗？""}, {""sex"": ""1"", ""content"": ""想我了吗你这是？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""气死我了。""}, {""sex"": ""1"", ""content"": ""听到你好气，我的心情一下就变好了""}, {""sex"": ""1"", ""content"": ""心疼的抱住我的猪猪女孩""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我得了一种病""}, {""sex"": ""1"", ""content"": ""什么病？你怎么了？怎么生病了呢？""}, {""sex"": ""1"", ""content"": ""生病了要及时看医生才行啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""520 一个人""}, {""sex"": ""1"", ""content"": ""现在不是一个人了，有我在呢，我陪着你。""}, {""sex"": ""1"", ""content"": ""虽然我不在你身边，但我的心早就飞到你身边了，所以你不是一个人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""长的一般般""}, {""sex"": ""1"", ""content"": ""可是我就喜欢上你的一般。""}, {""sex"": ""1"", ""content"": ""那其他女孩是什么？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""亲亲。""}, {""sex"": ""1"", ""content"": ""谢，女王殿下赐吻！""}, {""sex"": ""1"", ""content"": ""亲亲 抱抱 举高高，鬼刀一开 看不见 回首掏。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这个可不一定""}, {""sex"": ""1"", ""content"": ""怎么不一定了，说不定就是呢。""}, {""sex"": ""1"", ""content"": ""不管一不一定了，反正你一定会喜欢上我的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不一定是""}, {""sex"": ""1"", ""content"": ""请你把不字去掉好吗？""}, {""sex"": ""1"", ""content"": ""是你是你一定是你，是你是你真的是你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我或许跟你想的不一样""}, {""sex"": ""1"", ""content"": ""要是能和我想的一样，那我岂不是算命大师了。""}, {""sex"": ""1"", ""content"": ""我喜欢你，和我想你是什么样的没关系。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""新的一天""}, {""sex"": ""1"", ""content"": ""是小仙女比昨天更漂亮的一天""}, {""sex"": ""1"", ""content"": ""新的一天感觉浑身都充满了能量""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我刚去洗漱了""}, {""sex"": ""1"", ""content"": ""要是有一天能跟你一起起床一起洗漱就好了""}, {""sex"": ""1"", ""content"": ""洗好了就可以吃早餐啦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我好没安全感""}, {""sex"": ""1"", ""content"": ""抱着我，我的安全感给你。""}, {""sex"": ""1"", ""content"": ""牵着我的手，你肯定会有安全感的。""}], ""lock"": 1}"
