"{""chat"": [{""sex"": ""2"", ""content"": ""你是?""}, {""sex"": ""1"", ""content"": ""我是一个很想认识你的人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""以前怎么没见过你""}, {""sex"": ""1"", ""content"": ""傻瓜，不早就在你心里了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不理你。""}, {""sex"": ""1"", ""content"": ""你这样做会失去我这个帅哥的""}, {""sex"": ""1"", ""content"": ""你要是不理我，你怕是要无聊死啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想你想的难受""}, {""sex"": ""1"", ""content"": ""对不起，让你这么想念了。""}, {""sex"": ""1"", ""content"": ""我想你的时候，也很难受。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是朋友""}, {""sex"": ""1"", ""content"": ""除了朋友不可以有其他的关系吗？""}, {""sex"": ""1"", ""content"": ""你跟别人只能是朋友，但跟我就只能是恋人""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""也不是很累""}, {""sex"": ""1"", ""content"": ""那你也要多多注意休息啊。""}, {""sex"": ""1"", ""content"": ""累的时候记得跟我说听到没。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你疯了吗""}, {""sex"": ""1"", ""content"": ""对啊，我疯了才这么喜欢你！""}, {""sex"": ""1"", ""content"": ""做个只喜欢你的疯子挺好的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是我吧""}, {""sex"": ""1"", ""content"": ""不是你的话，你看到还有第二个人吗？""}, {""sex"": ""1"", ""content"": ""傻瓜，就是你啊，我喜欢的就是你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你的就是我的，我的还是我的""}, {""sex"": ""1"", ""content"": ""虽然你很霸道但我还是要宠着你，谁让我喜欢你呢。""}, {""sex"": ""1"", ""content"": ""你的你的，我的所有都是你的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不该这样""}, {""sex"": ""1"", ""content"": ""没有应不应该，只要你想做就大胆去尝试吧。""}, {""sex"": ""1"", ""content"": ""那你觉得应该怎么做？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你可不许生气哦""}, {""sex"": ""1"", ""content"": ""我又不是生气包，哪来生气！""}, {""sex"": ""1"", ""content"": ""生气了，你亲一下就不生气了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不喜欢你，就是不喜欢""}, {""sex"": ""1"", ""content"": ""那你的损失可真的是太大了。""}, {""sex"": ""1"", ""content"": ""可能你误会我了，我喜欢你只是基于兄弟之间的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是喜欢我什么""}, {""sex"": ""1"", ""content"": ""我也不知道，但是我就是喜欢你。""}, {""sex"": ""1"", ""content"": ""喜欢是没有理由可言的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是不是撩我啊""}, {""sex"": ""1"", ""content"": ""除了你，我还能撩谁。""}, {""sex"": ""1"", ""content"": ""当然是撩你啦，你这么可爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你还真是欠啊""}, {""sex"": ""1"", ""content"": ""对啊，我欠你的喜欢。""}, {""sex"": ""1"", ""content"": ""那你还不把我抓回去，好好管管。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是真心""}, {""sex"": ""1"", ""content"": ""我对人一向都是真心相待，对你就更是了。""}, {""sex"": ""1"", ""content"": ""若不是真心又何必费这么多心思？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我都是你的""}, {""sex"": ""1"", ""content"": ""你的心你的身全都是我的吗？""}, {""sex"": ""1"", ""content"": ""我也是你的，保证一辈子不离不弃。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可以是可以""}, {""sex"": ""1"", ""content"": ""总感觉你后面要说的话不是太妙。""}, {""sex"": ""1"", ""content"": ""可以就好啦，不用有什么其他顾虑，知道吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么可能是我""}, {""sex"": ""1"", ""content"": ""在你不知道的时候上天就选中你了。""}, {""sex"": ""1"", ""content"": ""怎么不可能？没有什么是不可能的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""买什么啊""}, {""sex"": ""1"", ""content"": ""买点好吃的给小仙女呀。""}, {""sex"": ""1"", ""content"": ""你想要什么就给你买什么。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么爱呀""}, {""sex"": ""1"", ""content"": ""就是把你的心交给我，把你的一辈子交给我呀。""}, {""sex"": ""1"", ""content"": ""爱这么抽象，要该怎么说呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在乎什么""}, {""sex"": ""1"", ""content"": ""在乎你对我的感情。""}, {""sex"": ""1"", ""content"": ""在乎你所在乎的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我还这么厉害的呀""}, {""sex"": ""1"", ""content"": ""那必须这么厉害啊！""}, {""sex"": ""1"", ""content"": ""你要是不厉害怎么降得住我呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我这么厉害吗""}, {""sex"": ""1"", ""content"": ""当然，不然怎么会偷走我的心呢？""}, {""sex"": ""1"", ""content"": ""这么可爱的小仙女最最厉害了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""聊出感情怎么办""}, {""sex"": ""1"", ""content"": ""还能怎么办，继续聊下去呗。""}, {""sex"": ""1"", ""content"": ""那我们还是谈谈恋爱吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要吃什么？""}, {""sex"": ""1"", ""content"": ""你准备给我吃点什么呢？""}, {""sex"": ""1"", ""content"": ""当然是吃点好吃的啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""忙的要命""}, {""sex"": ""1"", ""content"": ""都在忙什么呀，有没有什么忙我可以帮得上的？""}, {""sex"": ""1"", ""content"": ""忙一点也好，但是忙到要命那可不行""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吓到你怎么办""}, {""sex"": ""1"", ""content"": ""那只好让你肉偿啦。""}, {""sex"": ""1"", ""content"": ""我可是吓大毕业的，怎么会被吓到呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么称呼""}, {""sex"": ""1"", ""content"": ""我说完你不能打我""}, {""sex"": ""2"", ""content"": ""我为什么要打你""}, {""sex"": ""1"", ""content"": ""你可以称呼我为南鹏游""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你咋那么可爱呢""}, {""sex"": ""1"", ""content"": ""可爱不是长久之计，可爱你是。""}, {""sex"": ""1"", ""content"": ""因为我是吃可爱多长大的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""傻笑什么呢""}, {""sex"": ""1"", ""content"": ""不知道，反正就是想对你笑一笑。""}, {""sex"": ""1"", ""content"": ""看到仙女总是不自觉地嘴角上扬。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么晚还没睡啊""}, {""sex"": ""1"", ""content"": ""这不是在等你和我说一声晚安吗。""}, {""sex"": ""1"", ""content"": ""想你想到有点失眠了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这样真的好么""}, {""sex"": ""1"", ""content"": ""好不好试过才知道不是吗？""}, {""sex"": ""1"", ""content"": ""我喜欢你有什么不好的嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早早早早早早""}, {""sex"": ""1"", ""content"": ""大早上这么热情真的好吗？""}, {""sex"": ""1"", ""content"": ""早上好，可爱的小仙女。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嘴巴这么甜吗""}, {""sex"": ""1"", ""content"": ""你又没尝过怎么知道我嘴甜呢。""}, {""sex"": ""1"", ""content"": ""难道你不喜欢我嘴甜吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""昨天睡的太早了""}, {""sex"": ""1"", ""content"": ""早睡早起好呀，这样才不会长痘痘。""}, {""sex"": ""1"", ""content"": ""那么早睡，是不是昨天太累了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""爱有什么用""}, {""sex"": ""1"", ""content"": ""爱可以让我遇见更好的你。""}, {""sex"": ""1"", ""content"": ""当然有用啦，如果没用怎么会那么多人爱呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想啥时候""}, {""sex"": ""1"", ""content"": ""那得看你什么时候有时间了。""}, {""sex"": ""1"", ""content"": ""什么时候都可以。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""帮我下""}, {""sex"": ""1"", ""content"": ""好呀，你想让我怎么帮你？""}, {""sex"": ""1"", ""content"": ""能帮到小仙女的忙是我的荣幸呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这样子哦""}, {""sex"": ""1"", ""content"": ""对啊，不然你想是什么样子的？""}, {""sex"": ""1"", ""content"": ""在爱情眼里我就是这样子的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你到底叫什么""}, {""sex"": ""1"", ""content"": ""等你该知道的时候，就可以知道了。""}, {""sex"": ""1"", ""content"": ""我叫什么重要吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那算了呗""}, {""sex"": ""1"", ""content"": ""我喜欢你怎么可以算了呢！""}, {""sex"": ""1"", ""content"": ""你说算了就算了，多没面子啊我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""得睡了""}, {""sex"": ""1"", ""content"": ""早睡早起身体好。""}, {""sex"": ""1"", ""content"": ""睡觉的时候不要太想我，会失眠。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡了不""}, {""sex"": ""1"", ""content"": ""这不是还没梦到你吗，没睡""}, {""sex"": ""1"", ""content"": ""你这么希望我睡着的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""药吃了""}, {""sex"": ""1"", ""content"": ""吃了就好，按时吃药才会好得快。""}, {""sex"": ""1"", ""content"": ""吃了药容易犯困，要不要睡一觉。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃亏了""}, {""sex"": ""1"", ""content"": ""大不了你让你吃回来呗。""}, {""sex"": ""1"", ""content"": ""放心，我不会让你吃亏的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不爱了不爱了""}, {""sex"": ""1"", ""content"": ""我会给你足够多的爱。""}, {""sex"": ""1"", ""content"": ""心中有爱才能感受到生活的美好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""懂你的""}, {""sex"": ""1"", ""content"": ""我知道你是最懂我的了。""}, {""sex"": ""1"", ""content"": ""懂你的人不必多说，不懂你的人说再多也没有用。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都累了""}, {""sex"": ""1"", ""content"": ""不许把自己折腾得那么累，我会心疼的。""}, {""sex"": ""1"", ""content"": ""累了就休息吧，身体才是最重要的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""当然累了""}, {""sex"": ""1"", ""content"": ""累了就到我怀里休息休息吧。""}, {""sex"": ""1"", ""content"": ""我不想让你这么累，我会心疼的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不要长胖""}, {""sex"": ""1"", ""content"": ""没事，你长胖了我也会喜欢的。""}, {""sex"": ""1"", ""content"": ""长胖了，我就陪你减肥。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""会长胖嘛""}, {""sex"": ""1"", ""content"": ""那得看你想不想长胖啦。""}, {""sex"": ""1"", ""content"": ""长胖也没事，反正有我喜欢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好了晚安""}, {""sex"": ""1"", ""content"": ""每天都要有你的晚安才睡得着。""}, {""sex"": ""1"", ""content"": ""晚安，小可爱~""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我睡了，晚安""}, {""sex"": ""1"", ""content"": ""晚安咯，梦里可不许欺负我呦。""}, {""sex"": ""1"", ""content"": ""少了我的陪伴你怎么说晚安。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""晚上开场""}, {""sex"": ""1"", ""content"": ""晚上好！小仙女等我找你吗""}, {""sex"": ""1"", ""content"": ""晚上本来很困，一看到小仙女就精神满满了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哪里不可爱了""}, {""sex"": ""1"", ""content"": ""明明都是好看，怎么可爱了。""}, {""sex"": ""1"", ""content"": ""你都没吃过可爱多，咋就可爱了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃药药""}, {""sex"": ""1"", ""content"": ""难道我不是你的解药吗？""}, {""sex"": ""1"", ""content"": ""怎么吃上药了，是不是哪里不舒服？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""刚吃了感冒药""}, {""sex"": ""1"", ""content"": ""吃完药是不是会困，你去睡一觉吧。""}, {""sex"": ""1"", ""content"": ""一定要按时吃药哦，这样才会好得快。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃肉了""}, {""sex"": ""1"", ""content"": ""肉肉这么可爱，你咋就吃了呢。""}, {""sex"": ""1"", ""content"": ""吃肉真的是一种很快乐的事情。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""做了梦""}, {""sex"": ""1"", ""content"": ""一定是有我的梦。""}, {""sex"": ""1"", ""content"": ""美梦还是噩梦，有没有梦到我？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我们这边下雪了""}, {""sex"": ""1"", ""content"": ""南方人看到雪，想想都激动。""}, {""sex"": ""1"", ""content"": ""下雪和你很配。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不说了去忙了""}, {""sex"": ""1"", ""content"": ""去吧，一起为未来努力吧。""}, {""sex"": ""1"", ""content"": ""下班我接你去放松下咋样？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""回不来了""}, {""sex"": ""1"", ""content"": ""可以的，肯定可以回得来。""}, {""sex"": ""1"", ""content"": ""回不来我就去找你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你又喝酒了""}, {""sex"": ""1"", ""content"": ""闲来无事的时候喝点小酒还是可以的。""}, {""sex"": ""1"", ""content"": ""喝酒这么舒服的事情，当然还是得做的啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""热的很""}, {""sex"": ""1"", ""content"": ""可能是因为我喜欢你的心太燥热了。""}, {""sex"": ""1"", ""content"": ""那需要我来给你降火吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""看样子真要生病了""}, {""sex"": ""1"", ""content"": ""所以啊，要不要我来照顾你啊。""}, {""sex"": ""1"", ""content"": ""生病的时候麻烦请你照顾好自己！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我的小脚脚好冷""}, {""sex"": ""1"", ""content"": ""把鞋脱了，我给你捂捂？""}, {""sex"": ""1"", ""content"": ""真的是可怜的小脚脚啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""谈过一次恋爱""}, {""sex"": ""1"", ""content"": ""那就让我成为你的第二次也是最后一次吧""}, {""sex"": ""1"", ""content"": ""是谁这么幸运能成为你的初恋啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""亲亲你哦""}, {""sex"": ""1"", ""content"": ""那我回亲一个！""}, {""sex"": ""1"", ""content"": ""我岂是你说亲就亲的！亲吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""所有人都一样""}, {""sex"": ""1"", ""content"": ""你错了，我跟别人就不一样。""}, {""sex"": ""1"", ""content"": ""要是所有人都一样那世界就不会这么精彩了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""跟你不一样""}, {""sex"": ""1"", ""content"": ""没关系，慢慢就会变得一样了""}, {""sex"": ""1"", ""content"": ""你是小仙女，确实不一样""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哄一下""}, {""sex"": ""1"", ""content"": ""哄你两下好了，第一下让你消气，第二下让你高兴。""}, {""sex"": ""1"", ""content"": ""你嘴巴再撅那么高那就要亲下去了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""口香糖""}, {""sex"": ""1"", ""content"": ""我会像个口香糖粘着你不放的""}, {""sex"": ""1"", ""content"": ""清新口气，你我更亲近。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在洗脸""}, {""sex"": ""1"", ""content"": ""那你也帮我的脸一起洗洗。""}, {""sex"": ""1"", ""content"": ""洗干净了我才可以亲你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我们还没在一起""}, {""sex"": ""1"", ""content"": ""那就现在在一起如何？""}, {""sex"": ""1"", ""content"": ""在一起不是分分钟的嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""最后一次""}, {""sex"": ""1"", ""content"": ""一次就够了，有这一次机会我会努力让你满意的""}, {""sex"": ""1"", ""content"": ""既然是最后一次，那就要好好珍惜了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""心疼了？""}, {""sex"": ""1"", ""content"": ""痛在你身疼在我心啊！""}, {""sex"": ""1"", ""content"": ""当然啊，而且是钻心的疼。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都不放假""}, {""sex"": ""1"", ""content"": ""放啥假啊，还不如好好休息呢。""}, {""sex"": ""1"", ""content"": ""那你希望什么时候放假呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我们一样的""}, {""sex"": ""1"", ""content"": ""这么巧，是不是说明这是缘分。""}, {""sex"": ""1"", ""content"": ""好开心，竟然是跟小仙女一样的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一点家常菜""}, {""sex"": ""1"", ""content"": ""你怎么知道我就爱吃家常菜。""}, {""sex"": ""1"", ""content"": ""家常菜其实一点都不家常。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""正常吧""}, {""sex"": ""1"", ""content"": ""你可是仙女，怎么会跟正常人一样呢？""}, {""sex"": ""1"", ""content"": ""我倒是希望你能不正常一点。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""外面出太阳了""}, {""sex"": ""1"", ""content"": ""看来今天又是一个好天气了。""}, {""sex"": ""1"", ""content"": ""适合晒晒太阳了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我喜欢的是你这个人""}, {""sex"": ""1"", ""content"": ""那你会喜欢我很久很久吗？""}, {""sex"": ""1"", ""content"": ""真的吗，你确定你喜欢的是我这个人吗，我的优点我的缺点你都会喜欢吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我想要一个礼物""}, {""sex"": ""1"", ""content"": ""送你一个男朋友怎么样？""}, {""sex"": ""1"", ""content"": ""女朋友跟男朋友要礼物的那种吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""女生要礼物""}, {""sex"": ""1"", ""content"": ""把我送给你就是最有诚意的礼物了。""}, {""sex"": ""1"", ""content"": ""礼物只送女朋友，你这是在暗示我你要做我女朋友吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""七夕收不到礼物""}, {""sex"": ""1"", ""content"": ""看来你是不想要我送的礼物了。""}, {""sex"": ""1"", ""content"": ""七夕收礼物多俗气啊，我给你送点特别的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想怎么照顾""}, {""sex"": ""1"", ""content"": ""把你捧在手心里，照顾你一辈子。""}, {""sex"": ""1"", ""content"": ""照顾你可不是随便说说就行的，我会用行动证明给你看的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你笑点真低""}, {""sex"": ""1"", ""content"": ""笑点低的人更加容易得到幸福。""}, {""sex"": ""1"", ""content"": ""因为我只是爱笑的人运气都不怎么差。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我发现你有个优点""}, {""sex"": ""1"", ""content"": ""我的优点还有很多，等着你持续的发现""}, {""sex"": ""1"", ""content"": ""那你会喜欢我的优点吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我们认识嘛？""}, {""sex"": ""1"", ""content"": ""世界上没有陌生的两个人，只是还没有认识的朋友。""}, {""sex"": ""1"", ""content"": ""上一秒不认识，这一刻开始便认识了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""风雨""}, {""sex"": ""1"", ""content"": ""不管遇到什么风风雨雨，我都坚定要跟你在一起""}, {""sex"": ""1"", ""content"": ""风雨过后就是彩虹""}], ""lock"": 1}"
