"{""chat"": [{""sex"": ""1"", ""content"": ""感谢姑娘右滑，费流量了""}, {""sex"": ""2"", ""content"": ""哈哈看到帅哥也挺好?""}, {""sex"": ""1"", ""content"": ""夸我帅，我也夸你一下吧 ，你真有眼光""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你以为呢？""}, {""sex"": ""1"", ""content"": ""我不敢以为了，怕你觉得我是自以为是""}, {""sex"": ""1"", ""content"": ""我以为你心里一直有我的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我以为啥呢""}, {""sex"": ""1"", ""content"": ""那是不是让你感到失望了？""}, {""sex"": ""1"", ""content"": ""那你以为是啥呀？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""信不信把你拉黑""}, {""sex"": ""1"", ""content"": ""不要啊，我怕黑你可千万不要拉黑我""}, {""sex"": ""1"", ""content"": ""信，我没有到底不信。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""相信你哦""}, {""sex"": ""1"", ""content"": ""我会对的起你这份相信的。""}, {""sex"": ""1"", ""content"": ""谢谢你的相信。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你又换头像了""}, {""sex"": ""1"", ""content"": ""换个头像换个心情。""}, {""sex"": ""1"", ""content"": ""那你啥时候和我换个情侣头像呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不像话""}, {""sex"": ""1"", ""content"": ""怎么不像话了，我做错了什么？""}, {""sex"": ""1"", ""content"": ""确实不像话，因为这是爱""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不睡啊""}, {""sex"": ""1"", ""content"": ""等你睡了再睡，担心你想找我却找不到。""}, {""sex"": ""1"", ""content"": ""你没有帮我暖被窝，我睡不着。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要睡了嘛""}, {""sex"": ""1"", ""content"": ""你都还没睡呢，我怎么可以先睡？""}, {""sex"": ""1"", ""content"": ""你要是想睡了咱们就睡觉。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""看电视.""}, {""sex"": ""1"", ""content"": ""你还真是个小电视迷啊。""}, {""sex"": ""1"", ""content"": ""以后我陪你看电视，咱们就一起窝在沙发里。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要约我嘛""}, {""sex"": ""1"", ""content"": ""既然知道我要约你，你要不要赴约呀？""}, {""sex"": ""1"", ""content"": ""是呀，想带你去一个有趣的地方。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""又没骗你""}, {""sex"": ""1"", ""content"": ""我相信你，你说没骗我肯定就没有骗我。""}, {""sex"": ""1"", ""content"": ""都说漂亮的女孩子很会骗人，我这不是担心嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你咬我呀""}, {""sex"": ""1"", ""content"": ""你又没有多少肉，我咬你干嘛""}, {""sex"": ""1"", ""content"": ""不咬，我想亲你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你请我啊""}, {""sex"": ""1"", ""content"": ""请我老婆吃东西那不是天经地义的嘛。""}, {""sex"": ""1"", ""content"": ""走，说请就请。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我喜欢你喜欢我""}, {""sex"": ""1"", ""content"": ""那我就一直喜欢你，你也会一直喜欢我。""}, {""sex"": ""1"", ""content"": ""喜欢我就直说嘛，说得这么绕干嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我这也是""}, {""sex"": ""1"", ""content"": ""四舍五入我们就是在一起了。""}, {""sex"": ""1"", ""content"": ""能跟你感受一样的事物也觉得很开心了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""现在丑""}, {""sex"": ""1"", ""content"": ""哪里丑了！明明都是好看""}, {""sex"": ""1"", ""content"": ""你要是丑就没几个人是好看的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""够了够了""}, {""sex"": ""1"", ""content"": ""还不够啊， 至少还没有把你弄高兴""}, {""sex"": ""1"", ""content"": ""what are you 弄啥呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你够啦""}, {""sex"": ""1"", ""content"": ""不够，怎么爱你都不够。""}, {""sex"": ""1"", ""content"": ""成为你的男朋友才够。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有病吧你""}, {""sex"": ""1"", ""content"": ""你又不是医生怎么会知道我有病呢。""}, {""sex"": ""1"", ""content"": ""我要是没病会喜欢上你？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我就不是""}, {""sex"": ""1"", ""content"": ""我不管，反正你就是我的小宝贝""}, {""sex"": ""1"", ""content"": ""你不是还有谁是啊？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是谁的心呀""}, {""sex"": ""1"", ""content"": ""我的，都是我的！""}, {""sex"": ""1"", ""content"": ""是谁的心呀 孤单的留下""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可是你上班呀""}, {""sex"": ""1"", ""content"": ""上班也可以请假呀。""}, {""sex"": ""1"", ""content"": ""是时候在你和上班之间做个选择了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可是我不想谈恋爱""}, {""sex"": ""1"", ""content"": ""既然你不想谈恋爱，那我们就直接结婚吧。""}, {""sex"": ""1"", ""content"": ""遇到我之前有这种想法是很正常的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你媳妇是谁""}, {""sex"": ""1"", ""content"": ""远在天边，近在眼前。""}, {""sex"": ""1"", ""content"": ""谁问谁知道。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是得把你卖了""}, {""sex"": ""1"", ""content"": ""你舍得把我卖了吗？""}, {""sex"": ""1"", ""content"": ""你是论斤卖的？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""干嘛嘞""}, {""sex"": ""1"", ""content"": ""没干嘛呀，就是想看看这么可爱的你。""}, {""sex"": ""1"", ""content"": ""不干嘛，就是想让你知道一下我的存在。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是真傻还是假傻""}, {""sex"": ""1"", ""content"": ""我当然是不傻了！""}, {""sex"": ""1"", ""content"": ""我这么聪明，到底是哪里傻了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""赚钱呀""}, {""sex"": ""1"", ""content"": ""好好赚钱，别想太多呦。""}, {""sex"": ""1"", ""content"": ""这是要赚钱养我吗？！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""渣男直男""}, {""sex"": ""1"", ""content"": ""我就是传说中的直男！""}, {""sex"": ""1"", ""content"": ""渣男直男，你选个？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是你喜欢的""}, {""sex"": ""1"", ""content"": ""是我喜欢的，而且是我很喜欢的""}, {""sex"": ""1"", ""content"": ""我究竟喜欢什么，你又怎么会知道？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是不是认识我啊""}, {""sex"": ""1"", ""content"": ""这都让你知道了啊！""}, {""sex"": ""1"", ""content"": ""我为什么不认识你呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是真人吗""}, {""sex"": ""1"", ""content"": ""难道我还能是假人吗？""}, {""sex"": ""1"", ""content"": ""真的，比珍珠还要真。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那就好咯""}, {""sex"": ""1"", ""content"": ""你要是能做我女朋友更好。""}, {""sex"": ""1"", ""content"": ""嗯嗯，能认识你真好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你快去泡妹妹去吧，我想去泡小哥哥""}, {""sex"": ""1"", ""content"": ""小妹妹，能不能让我泡一泡啊。""}, {""sex"": ""1"", ""content"": ""我喜欢的是小姐姐，不是小妹妹好不好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可是我有对象""}, {""sex"": ""1"", ""content"": ""我又不喜欢你对象。""}, {""sex"": ""1"", ""content"": ""你还没结婚，对象是可以换的啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是挺可爱""}, {""sex"": ""1"", ""content"": ""是不是还挺喜欢。""}, {""sex"": ""1"", ""content"": ""难道仅仅只是可爱而已嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这是真的吗？""}, {""sex"": ""1"", ""content"": ""难道我有必要来骗你嘛？""}, {""sex"": ""1"", ""content"": ""我像是那种骗你的人嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我说什么啊""}, {""sex"": ""1"", ""content"": ""说你喜欢我啊。""}, {""sex"": ""1"", ""content"": ""想说什么，我就听什么。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我没说什么""}, {""sex"": ""1"", ""content"": ""但是我可以从你的眼睛看到我想要看到的。""}, {""sex"": ""1"", ""content"": ""那你什么时候对我说点什么呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在干什么""}, {""sex"": ""1"", ""content"": ""你为什么想知道我在干什么？""}, {""sex"": ""2"", ""content"": ""不知道。""}, {""sex"": ""1"", ""content"": ""因为你喜欢我，所以开始关注我了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在不在""}, {""sex"": ""1"", ""content"": ""这么久都不联系我，还以为你把我忘了哦""}, {""sex"": ""1"", ""content"": ""我在你心里呀""}, {""sex"": ""1"", ""content"": ""不好意思我不在""}, {""sex"": ""1"", ""content"": ""你先说什么事情，我再决定在不在""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没那么笨""}, {""sex"": ""1"", ""content"": ""没那么笨怎么会看不出来我喜欢你呢？""}, {""sex"": ""1"", ""content"": ""就算你笨笨的也没关系，反正我都会喜欢你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我没这么厉害""}, {""sex"": ""1"", ""content"": ""可是你就是这么厉害啊。""}, {""sex"": ""1"", ""content"": ""厉害的人都这么低调的嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么负责呀""}, {""sex"": ""1"", ""content"": ""搬到我家户口本上吧。""}, {""sex"": ""1"", ""content"": ""我都是你的了，你说怎么负责。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你就骗人吧""}, {""sex"": ""1"", ""content"": ""我怎么舍得骗你呢。""}, {""sex"": ""1"", ""content"": ""我这么老实的人怎么会骗你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""毕竟我那么可爱""}, {""sex"": ""1"", ""content"": ""你这么可爱是犯规的知道不！""}, {""sex"": ""1"", ""content"": ""可怜没人爱啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么还不睡觉啊""}, {""sex"": ""1"", ""content"": ""你还没睡，我又怎么能睡？""}, {""sex"": ""1"", ""content"": ""想你想到睡不着。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""工作了吗""}, {""sex"": ""1"", ""content"": ""正在努力工作呢。""}, {""sex"": ""1"", ""content"": ""我如果不工作拿什么养你这个小可爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你睡那么早""}, {""sex"": ""1"", ""content"": ""因为我要早点到梦里去见你。""}, {""sex"": ""1"", ""content"": ""早睡早起才会身体好呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""真是巧""}, {""sex"": ""1"", ""content"": ""正所谓，无巧不成书嘛""}, {""sex"": ""1"", ""content"": ""这说明我们之间很有缘分呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么突然这么说""}, {""sex"": ""1"", ""content"": ""这不是怕以后都没机会说了吗。""}, {""sex"": ""1"", ""content"": ""想说就说咯，没有为什么的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有什么故事咯""}, {""sex"": ""1"", ""content"": ""那你有什么酒咯。""}, {""sex"": ""1"", ""content"": ""那得看你想听什么故事。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""小孩子懂什么""}, {""sex"": ""1"", ""content"": ""我都成年了，还是小孩子吗？""}, {""sex"": ""1"", ""content"": ""你以为小孩子什么都不懂，其实小孩子什么都懂。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""缺女人""}, {""sex"": ""1"", ""content"": ""对啊，缺你这么好的女人""}, {""sex"": ""1"", ""content"": ""仙女不考虑一下嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""缺不缺儿媳妇""}, {""sex"": ""1"", ""content"": ""我不缺儿媳妇儿，我缺我妈的儿媳妇儿。""}, {""sex"": ""1"", ""content"": ""我缺个老婆。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""工作问题""}, {""sex"": ""1"", ""content"": ""别让工作上的问题影响了小仙女的快乐生活哦。""}, {""sex"": ""1"", ""content"": ""是什么棘手的问题吗？有没有我能帮上忙的？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我早睡了""}, {""sex"": ""1"", ""content"": ""好吧，仙女都睡得比较早""}, {""sex"": ""1"", ""content"": ""你倒是早早就睡了，我可是想你到失眠""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么不开心""}, {""sex"": ""1"", ""content"": ""想你却见不到你让我觉得很不开心。""}, {""sex"": ""1"", ""content"": ""我以为你都察觉不到我不开心的心情。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我喜欢什么样子""}, {""sex"": ""1"", ""content"": ""我不知道你喜欢什么样的，但我希望自己能成为你喜欢的样子。""}, {""sex"": ""1"", ""content"": ""我知道，你喜欢的是我的样子。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想了解""}, {""sex"": ""1"", ""content"": ""那你想要怎么了解我呢？""}, {""sex"": ""1"", ""content"": ""我也好想了解了解你啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""了解我吗""}, {""sex"": ""1"", ""content"": ""你愿意让我了解你嘛！""}, {""sex"": ""1"", ""content"": ""我可以来了解这么好的你嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我过来了""}, {""sex"": ""1"", ""content"": ""我一直都在这里，等你过来""}, {""sex"": ""1"", ""content"": ""你终于要走到我的身边来了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""要记好了""}, {""sex"": ""1"", ""content"": ""我已经深深刻在脑海里了。""}, {""sex"": ""1"", ""content"": ""记好了，你说的话我什么时候没有好好记过啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃了吃了""}, {""sex"": ""1"", ""content"": ""看来吃货总是那么准时吃饭。""}, {""sex"": ""1"", ""content"": ""那不是挺好的嘛，按时吃饭。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我给睡着了""}, {""sex"": ""1"", ""content"": ""怎么就睡着了呀，是不是太累了。""}, {""sex"": ""1"", ""content"": ""有没有睡得不舒服啊，都没有好好躺着。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好饿好饿""}, {""sex"": ""1"", ""content"": ""减减肥吧，吃货！""}, {""sex"": ""1"", ""content"": ""饿了就去吃，不许你饿坏我宝贝的身体。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你认错了""}, {""sex"": ""1"", ""content"": ""既然如此，那就将错就错吧。""}, {""sex"": ""1"", ""content"": ""认错谁都不可能认错你的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""谢过了呀""}, {""sex"": ""1"", ""content"": ""我们之间还需要说谢谢吗。""}, {""sex"": ""1"", ""content"": ""举手之劳罢了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""昵称""}, {""sex"": ""1"", ""content"": ""叫我“老公”就好。""}, {""sex"": ""1"", ""content"": ""名字什么的只是个相遇的契机罢了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我可爱吗""}, {""sex"": ""1"", ""content"": ""不可爱，你只是好看加美丽罢了。""}, {""sex"": ""1"", ""content"": ""像你这么可爱的已经不多见了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有点想睡觉了""}, {""sex"": ""1"", ""content"": ""困啦，那就睡觉吧，咱们到梦里聊""}, {""sex"": ""1"", ""content"": ""快来，我已经铺好被子了，就等你了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""叫起床""}, {""sex"": ""1"", ""content"": ""你又被你的床给困住了""}, {""sex"": ""2"", ""content"": ""是的啊，都起不来""}, {""sex"": ""1"", ""content"": ""在我的床上就没有这个困扰""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""快乐！""}, {""sex"": ""1"", ""content"": ""什么事情这么快乐啊，快跟我分享分享！""}, {""sex"": ""1"", ""content"": ""我也很快乐，我们要一直都这么快乐""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你发错了吧""}, {""sex"": ""1"", ""content"": ""世界上最可爱的人，没错就是你啊。""}, {""sex"": ""1"", ""content"": ""我又不是什么发小广告的，不用这么冷淡吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""昨晚那么晚睡""}, {""sex"": ""1"", ""content"": ""是啊，想你到失眠，所以睡得晚""}, {""sex"": ""1"", ""content"": ""都没有人劝我早睡，玩着玩着就太晚了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""昨晚很早睡了""}, {""sex"": ""1"", ""content"": ""早睡早起，小仙女的作息习惯很好呀。""}, {""sex"": ""1"", ""content"": ""睡觉也不告诉我，害我想了你一晚上。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""太香了""}, {""sex"": ""1"", ""content"": ""那也没你身上的味道香。""}, {""sex"": ""1"", ""content"": ""是不是又嘴馋了，小吃货？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""醉了醉了""}, {""sex"": ""1"", ""content"": ""那就倒在我怀里吧，我怀里正好缺你。""}, {""sex"": ""1"", ""content"": ""别醉啊，我宽厚的肩膀扶不住你烂醉如泥的妩媚""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""装醉""}, {""sex"": ""1"", ""content"": ""有些话要趁着醉意才说得出口啊。""}, {""sex"": ""1"", ""content"": ""我没装，我清醒着呢，我知道你是我喜欢的人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""又睡觉了""}, {""sex"": ""1"", ""content"": ""每天花在睡觉上的时间好久哦""}, {""sex"": ""1"", ""content"": ""要是睡觉的时间都能跟你待在一起就好了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想多了啦""}, {""sex"": ""1"", ""content"": ""想多一点才好为我们的未来铺路呀。""}, {""sex"": ""1"", ""content"": ""那我不想了，专心想你就好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没有吃药""}, {""sex"": ""1"", ""content"": ""看来你是想要我亲自喂你吃药啊""}, {""sex"": ""1"", ""content"": ""怎么不吃药，这样怎么会好得快呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我就死了""}, {""sex"": ""1"", ""content"": ""你要是死了，我可咋办呀。""}, {""sex"": ""1"", ""content"": ""年纪轻轻就说死，想啥呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吐血了""}, {""sex"": ""1"", ""content"": ""怎么了宝贝，你可千万不能有事。""}, {""sex"": ""1"", ""content"": ""你的血那么珍贵，怎么能随便吐。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""刚才吐了""}, {""sex"": ""1"", ""content"": ""是不是有了，宝宝踢你肚子了吗？""}, {""sex"": ""1"", ""content"": ""摸摸头，是不是感觉很难受？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""外边下雪了""}, {""sex"": ""1"", ""content"": ""要出门的话一定要多穿点哦，注意保暖。""}, {""sex"": ""1"", ""content"": ""小仙女是不是准备出去玩雪啦？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天挺冷的""}, {""sex"": ""1"", ""content"": ""虽然天很冷，但我的怀抱很温暖。""}, {""sex"": ""1"", ""content"": ""有没有多穿点呀？小心冻着了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早""}, {""sex"": ""1"", ""content"": ""女王，早安！""}, {""sex"": ""1"", ""content"": ""喜欢你的小可爱正在和你说早安，你听到了吗？还给你带了早餐哦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我想休息了""}, {""sex"": ""1"", ""content"": ""那就休息一下，我会陪着你的。""}, {""sex"": ""1"", ""content"": ""记得好好休息，做个有我的美梦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""终于休息了""}, {""sex"": ""1"", ""content"": ""回到我怀里好好休息吧""}, {""sex"": ""1"", ""content"": ""你可是社会主义新青年，才这个点你就要休息像话吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要下班了""}, {""sex"": ""1"", ""content"": ""下班的快乐已经在召唤我了。""}, {""sex"": ""1"", ""content"": ""对啊，我已经准备好下班了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""下班了再说""}, {""sex"": ""1"", ""content"": ""好，那你下班要第一时间联系我哦。""}, {""sex"": ""1"", ""content"": ""我现在就开始期待下班了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要气死我了""}, {""sex"": ""1"", ""content"": ""气死老婆，我可咋办啊。""}, {""sex"": ""1"", ""content"": ""那我可不舍得，毕竟是自己的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""爱一个人""}, {""sex"": ""1"", ""content"": ""一辈子爱一个人就够了，我爱你就够了。""}, {""sex"": ""1"", ""content"": ""你好，我就是“一个人”。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一个人住""}, {""sex"": ""1"", ""content"": ""一个人住会害怕吧，我搬过去跟你一起住。""}, {""sex"": ""1"", ""content"": ""女孩子一个人在外面住很危险，你要注意安全哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""长相一般般""}, {""sex"": ""1"", ""content"": ""哪里一般了，我觉得还挺不错的呀。""}, {""sex"": ""1"", ""content"": ""没事，反正只要我喜欢就好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一辈子的那种""}, {""sex"": ""1"", ""content"": ""我也是想找一个一辈子的人。""}, {""sex"": ""1"", ""content"": ""我觉得一辈子能遇到一个让自己欢喜的人就足够了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""第一次吃""}, {""sex"": ""1"", ""content"": ""第一次吃感觉味道怎么样？""}, {""sex"": ""1"", ""content"": ""看来今天是尝鲜呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""也一样""}, {""sex"": ""1"", ""content"": ""不一样吧，其实有很多不一样的地方""}, {""sex"": ""1"", ""content"": ""看来我要想想新的办法了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一会热一会冷""}, {""sex"": ""1"", ""content"": ""那你小心点，千万不要感冒哦。""}, {""sex"": ""1"", ""content"": ""那你是希望热一点还是冷一点？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早上好新的一天""}, {""sex"": ""1"", ""content"": ""也是爱你的一天""}, {""sex"": ""1"", ""content"": ""这是我们相恋多少天来着""}], ""lock"": 1}"
