"{""chat"": [{""sex"": ""1"", ""content"": ""你们知道我为什么要过来和你们喝杯酒吗？""}, {""sex"": ""1"", ""content"": ""我在打赌！""}, {""sex"": ""2"", ""content"": ""打什么赌？""}, {""sex"": ""1"", ""content"": ""我刚才跟自己打赌，你们这里中如果有一个和我有心灵感应的，我就赢，如果没有我就输了。?""}, {""sex"": ""1"", ""content"": ""只要你们一分钟时间就可以了！过来喝一杯吧。”""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""觉得哪里的夜店比较好玩？""}, {""sex"": ""2"", ""content"": ""(女生列举很多夜店)""}, {""sex"": ""1"", ""content"": ""看样子你是个夜店咖，都快要成工作人员了。""}, {""sex"": ""1"", ""content"": ""我喜欢旅行，我去北京和我朋友过生日的时候在MIX，我觉得MIX是全国最棒的夜店。""}, {""sex"": ""2"", ""content"": ""(女生反应)""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好帅哦""}, {""sex"": ""1"", ""content"": ""你可不要爱上我了哦。""}, {""sex"": ""1"", ""content"": ""小可爱的嘴巴这么甜的嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你也在我心里""}, {""sex"": ""1"", ""content"": ""我要一辈子赖在你心里。""}, {""sex"": ""1"", ""content"": ""只要你的心里有我，我就有跟你在一起一辈子的勇气。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你爱上我""}, {""sex"": ""1"", ""content"": ""不爱上你，我能爱上谁？""}, {""sex"": ""1"", ""content"": ""你是怎么知道我心里的秘密的、""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你也是吧""}, {""sex"": ""1"", ""content"": ""是呀是呀，这都被你发现了""}, {""sex"": ""1"", ""content"": ""不是哦，我们可是不一样的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你也是呦""}, {""sex"": ""1"", ""content"": ""嘿嘿嘿，有你这句话我很开心。""}, {""sex"": ""1"", ""content"": ""嗯嗯，我会的，小仙女这么关心我，太感动了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你来找我？""}, {""sex"": ""1"", ""content"": ""我只是在找一个我喜欢的人。""}, {""sex"": ""1"", ""content"": ""对啊，我想看看你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是你找我吗""}, {""sex"": ""1"", ""content"": ""是啊，我就是来找你的啊。""}, {""sex"": ""1"", ""content"": ""除了找你，我真的没有其他人可以找了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我打你干哈""}, {""sex"": ""1"", ""content"": ""被老婆打一下听说能清醒一点。""}, {""sex"": ""1"", ""content"": ""打是亲，你打我就是在亲亲。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嗯，是呀""}, {""sex"": ""1"", ""content"": ""听到你这么说，我觉得很开心""}, {""sex"": ""1"", ""content"": ""真的啊？你没有骗我嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""但是我不想谈恋爱""}, {""sex"": ""1"", ""content"": ""原来你是奔着结婚去的啊，我知道了。""}, {""sex"": ""1"", ""content"": ""我是来处对象的不是谈恋爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嘿嘿，是的呢""}, {""sex"": ""1"", ""content"": ""每次的回复都可以这么可爱你是怎么办到的？""}, {""sex"": ""1"", ""content"": ""是或者不是，你还不清楚嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""钱不是问题""}, {""sex"": ""1"", ""content"": ""可问题是没钱啊""}, {""sex"": ""1"", ""content"": ""小仙女果然很豪气啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""还是挣钱的好""}, {""sex"": ""1"", ""content"": ""何以解忧唯有赚钱。""}, {""sex"": ""1"", ""content"": ""有什么比赚钱还要快乐的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那应该是吧""}, {""sex"": ""1"", ""content"": ""回答得这么不肯定的吗？""}, {""sex"": ""1"", ""content"": ""是就是，不是就不是，应该是吧是什么嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我是喜欢你的""}, {""sex"": ""1"", ""content"": ""那我也是喜欢你的。""}, {""sex"": ""1"", ""content"": ""你应该早点说喜欢我才对。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是真的""}, {""sex"": ""1"", ""content"": ""我才不管，反正我当真了。""}, {""sex"": ""1"", ""content"": ""我怀疑你现在说的这句话也不是真的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那就看你本事咯""}, {""sex"": ""1"", ""content"": ""我的本事，你就放一百二十个心吧！""}, {""sex"": ""1"", ""content"": ""那你就等着看我的本事！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是可爱多""}, {""sex"": ""1"", ""content"": ""我想吃可爱多。""}, {""sex"": ""1"", ""content"": ""难怪你长得这么可爱呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""聊什么啊""}, {""sex"": ""1"", ""content"": ""不知道聊什么就对了""}, {""sex"": ""2"", ""content"": ""哈？""}, {""sex"": ""1"", ""content"": ""说明我们需要深入了解，这样就知道要聊什么了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么这么会说呢""}, {""sex"": ""1"", ""content"": ""这就是天赋，我也没办法。""}, {""sex"": ""1"", ""content"": ""怎么？不喜欢我这么会说嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么懂这么多""}, {""sex"": ""1"", ""content"": ""毕竟我是我吧！""}, {""sex"": ""1"", ""content"": ""懂得再多也没懂怎么让你喜欢我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""聊什么人生""}, {""sex"": ""1"", ""content"": ""聊聊属于我们的人生。""}, {""sex"": ""1"", ""content"": ""还聊什么人生啊，我们去创造人生不好吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想聊的什么""}, {""sex"": ""1"", ""content"": ""这个还是得问问你比较好。""}, {""sex"": ""1"", ""content"": ""你要是想和我聊什么都可以啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没什么话说""}, {""sex"": ""1"", ""content"": ""没事，等你有什么想说的时候再告诉我。""}, {""sex"": ""1"", ""content"": ""难道就没有什么想对我说的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""该说些什么""}, {""sex"": ""1"", ""content"": ""那得看你自己想说些什么啦。""}, {""sex"": ""1"", ""content"": ""你想说啥就可以说啥。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你还想说什么""}, {""sex"": ""1"", ""content"": ""我说出来，你会答应我吗？""}, {""sex"": ""1"", ""content"": ""我想说什么你不知道吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""明天做什么呢""}, {""sex"": ""1"", ""content"": ""无论做什么，我都想有你在我身边。""}, {""sex"": ""1"", ""content"": ""做你想做的事情好不好？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么厉害的吗？""}, {""sex"": ""1"", ""content"": ""没有没有，再厉害也没能逃出你的手掌心。""}, {""sex"": ""1"", ""content"": ""我是世界第二厉害，你是第一。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么了小宝贝""}, {""sex"": ""1"", ""content"": ""小仙女怎么突然这么关心我？""}, {""sex"": ""1"", ""content"": ""大宝贝想小宝贝了呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好像是那么回事""}, {""sex"": ""1"", ""content"": ""哦？真的是这么一回事吗？""}, {""sex"": ""1"", ""content"": ""你这回答让我觉得心里发慌啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你想看什么""}, {""sex"": ""1"", ""content"": ""我就想看你，只想看你而已""}, {""sex"": ""1"", ""content"": ""我想看什么你都能满足我吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""初次打招呼""}, {""sex"": ""1"", ""content"": ""第一次见你，我就知道我栽了""}, {""sex"": ""1"", ""content"": ""你好，容我冒昧的问一下我要怎么称呼你呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""多笑笑""}, {""sex"": ""1"", ""content"": ""看到你笑容就开始多起来了。""}, {""sex"": ""1"", ""content"": ""我笑了是不是能得到什么奖励？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喜欢干什么""}, {""sex"": ""1"", ""content"": ""喜欢静静的想你啊。""}, {""sex"": ""1"", ""content"": ""不喜欢干什么，只喜欢你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""运气这么好""}, {""sex"": ""1"", ""content"": ""没有啦，我也只是遇见你之后才变得这么好运。""}, {""sex"": ""1"", ""content"": ""运气好的人都是爱笑的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你想怎么样嘛""}, {""sex"": ""1"", ""content"": ""我就是想你喜欢我！""}, {""sex"": ""1"", ""content"": ""我不想怎么样，只想你而已。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你那么早啊""}, {""sex"": ""1"", ""content"": ""是呀，毕竟好看的人都起得早嘛。""}, {""sex"": ""1"", ""content"": ""早起才能让一整天都有好状态呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么早么""}, {""sex"": ""1"", ""content"": ""早起可以看小仙女呀。""}, {""sex"": ""1"", ""content"": ""要起来搬砖了，不得不早呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早早""}, {""sex"": ""1"", ""content"": ""早安，我的女王陛下。""}, {""sex"": ""1"", ""content"": ""早早早呀~小可爱在跟你说早安哦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""还挺近的""}, {""sex"": ""1"", ""content"": ""对啊，没想到我们之间这么近啊。""}, {""sex"": ""1"", ""content"": ""近一点，正好看清楚你的脸。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我们很近""}, {""sex"": ""1"", ""content"": ""那我可以上你家坐坐吗？""}, {""sex"": ""1"", ""content"": ""就像我的心跟你的心那么近，没有距离。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""同岁，有这么巧的事情吗""}, {""sex"": ""1"", ""content"": ""为什么没有这么巧的事情呢。""}, {""sex"": ""1"", ""content"": ""因为我们已经被上天安排上了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你这么懂""}, {""sex"": ""1"", ""content"": ""懂你的人还是我啊。""}, {""sex"": ""1"", ""content"": ""毕竟要照顾你，所以懂得就多一点。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嘴这么甜""}, {""sex"": ""1"", ""content"": ""因为你，我的嘴才这么甜的。""}, {""sex"": ""1"", ""content"": ""嘴甜才能让你感受到甜蜜呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是问题""}, {""sex"": ""1"", ""content"": ""有什么问题尽管提，我都会为你解答的""}, {""sex"": ""1"", ""content"": ""是什么问题让小仙女如此疑惑？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""现在在忙""}, {""sex"": ""1"", ""content"": ""那等会儿不忙了，我再找你。""}, {""sex"": ""1"", ""content"": ""没事，我在这里等你不忙。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你叫名字呀""}, {""sex"": ""1"", ""content"": ""名字什么都是一个代号，老婆这个外号挺合适你的。""}, {""sex"": ""1"", ""content"": ""叫名字多俗气啊，亲爱的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我咋了嘛""}, {""sex"": ""1"", ""content"": ""没咋的，就是我有点想你了""}, {""sex"": ""1"", ""content"": ""还能咋了，我看我自己喜欢的人还能咋的你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""算了吧""}, {""sex"": ""1"", ""content"": ""不能这么算了！""}, {""sex"": ""2"", ""content"": ""嗯？""}, {""sex"": ""1"", ""content"": ""我喜欢你这件事我怎么可以算了呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""困""}, {""sex"": ""1"", ""content"": ""困了累了就喝红牛！""}, {""sex"": ""1"", ""content"": ""那你准备好梦到我了嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""分手后""}, {""sex"": ""1"", ""content"": ""分手其实是件好事，让你早点离开错的人""}, {""sex"": ""1"", ""content"": ""分手没什么大不了的，毕竟是他错过了这么好的你呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嗯。起床了""}, {""sex"": ""1"", ""content"": ""我的懒懒猪终于起床了吗。""}, {""sex"": ""1"", ""content"": ""女王陛下，我已恭候多时了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""微信网名""}, {""sex"": ""1"", ""content"": ""有没有觉得这微信网名是不是很适合你。""}, {""sex"": ""1"", ""content"": ""啥时候我们整个情侣网名呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡觉了啦""}, {""sex"": ""1"", ""content"": ""那我就去你梦里找你。""}, {""sex"": ""1"", ""content"": ""要不要我陪你一起睡觉觉。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我要吃药了""}, {""sex"": ""1"", ""content"": ""嗯嗯，按时吃药身体才会快点好起来。""}, {""sex"": ""1"", ""content"": ""按时吃药的小朋友最乖了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天比较冷""}, {""sex"": ""1"", ""content"": ""把我挂在你身上，就不会冷了。""}, {""sex"": ""1"", ""content"": ""让我抱抱就不冷了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我老了啊""}, {""sex"": ""1"", ""content"": ""十八岁的仙女，请你说话诚实点！""}, {""sex"": ""1"", ""content"": ""哪里老了，明明还是一个美丽的女人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""完""}, {""sex"": ""1"", ""content"": ""幸好我们的故事没有句号，永远不会完结""}, {""sex"": ""1"", ""content"": ""我觉得能遇见你就是生命中最完美的事了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嗯嗯，下班了""}, {""sex"": ""1"", ""content"": ""那我去接你，我们就能一起吃饭啦。""}, {""sex"": ""1"", ""content"": ""终于下班了，上了一天的班肯定累坏了吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不聊了""}, {""sex"": ""1"", ""content"": ""你是不是怕......""}, {""sex"": ""2"", ""content"": ""怕什么？""}, {""sex"": ""1"", ""content"": ""怕聊出感情来呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不跟你聊了""}, {""sex"": ""1"", ""content"": ""聊天什么太没兴趣了。""}, {""sex"": ""2"", ""content"": ""那你想干嘛。""}, {""sex"": ""1"", ""content"": ""不干嘛就是偷偷想你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""脚疼了""}, {""sex"": ""1"", ""content"": ""怎么会脚疼呢，是不是鞋子不合脚？""}, {""sex"": ""1"", ""content"": ""我帮你揉一揉好不好，贴一下创可贴就不疼了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一个人更好""}, {""sex"": ""1"", ""content"": ""我会让你感受到，两个人会更好""}, {""sex"": ""1"", ""content"": ""我不介意跟你一起体验一下两个人""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我就一般人""}, {""sex"": ""1"", ""content"": ""但是你是真的好看""}, {""sex"": ""1"", ""content"": ""从没看出你是一般人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一次""}, {""sex"": ""1"", ""content"": ""一次不行两次，两次不行三次，反正我们还有很多时间""}, {""sex"": ""1"", ""content"": ""一次就好，我陪你去看天荒地老""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不一定喔""}, {""sex"": ""1"", ""content"": ""咦，你这么说我会有点心慌。""}, {""sex"": ""1"", ""content"": ""可是我有很好的预感一定会是这样的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那可不一定哦""}, {""sex"": ""1"", ""content"": ""那你说还可能是什么？""}, {""sex"": ""1"", ""content"": ""反正我对你的心意是一定的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你们男生都一样""}, {""sex"": ""1"", ""content"": ""我和一般的男生不一样好不好。""}, {""sex"": ""1"", ""content"": ""我是男人，不是男生。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我一直都这样的""}, {""sex"": ""1"", ""content"": ""人不可能一成不变，你是时候该改变一下自己了。""}, {""sex"": ""1"", ""content"": ""这样也挺好的，但改变一下会更好哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""双十一快乐""}, {""sex"": ""1"", ""content"": ""你的手和脚还在吗""}, {""sex"": ""1"", ""content"": ""接下去收快递更快乐""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不一样吗？""}, {""sex"": ""1"", ""content"": ""喜欢你哪能是一样的啊。""}, {""sex"": ""1"", ""content"": ""你就是你，与众不同的你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""因为没有安全感""}, {""sex"": ""1"", ""content"": ""所以我给你所有的安全感。""}, {""sex"": ""1"", ""content"": ""你想要什么安全感，我都给你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""重新再来又要很辛苦""}, {""sex"": ""1"", ""content"": ""我们不用重新再来，跟我在一起不会辛苦的。""}, {""sex"": ""1"", ""content"": ""所以我是你最好的选择。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为啥要在一起""}, {""sex"": ""1"", ""content"": ""一起享受两个人的美好时光呀。""}, {""sex"": ""1"", ""content"": ""两个人在一起可以让开心加倍，难过减半，多好呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""下雨了诶""}, {""sex"": ""1"", ""content"": ""我心里可以避雨，你赶紧过来。""}, {""sex"": ""1"", ""content"": ""下雨也不能阻止我来找你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你心疼啥""}, {""sex"": ""1"", ""content"": ""我心疼我心里的那个你。""}, {""sex"": ""1"", ""content"": ""谁回我，我就心疼谁。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃货一枚""}, {""sex"": ""1"", ""content"": ""那我能用一根棒棒糖把你拐回家吗？""}, {""sex"": ""1"", ""content"": ""小馋猫，除了吃你就没有喜欢别的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""直女一枚""}, {""sex"": ""1"", ""content"": ""你这个直女正好配我这个直男。""}, {""sex"": ""1"", ""content"": ""性格直爽，我觉得挺好的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""要那么胖""}, {""sex"": ""1"", ""content"": ""胖一点你才可以卡在我心里啊。""}, {""sex"": ""1"", ""content"": ""胖子是个潜力股，我要了！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在睡觉啊""}, {""sex"": ""1"", ""content"": ""那你介意，我和你一起睡吗？""}, {""sex"": ""1"", ""content"": ""睡什么觉，起来嗨啊！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""刚睡觉起来""}, {""sex"": ""1"", ""content"": ""太阳公公都晒屁股了。""}, {""sex"": ""1"", ""content"": ""睡觉这么好的事情得经常做。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""现在男人很花心""}, {""sex"": ""1"", ""content"": ""那只是没有遇见他认为对的人罢了。""}, {""sex"": ""1"", ""content"": ""请不要把我和一般男人放在一起。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""换了美美的头像""}, {""sex"": ""1"", ""content"": ""又是美美的一天。""}, {""sex"": ""1"", ""content"": ""不美，还没你美呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你这话说的一套一套的""}, {""sex"": ""1"", ""content"": ""毕竟有句话是这么说的：自古深情留不住，唯有套路得人心。""}, {""sex"": ""1"", ""content"": ""多试几套看看你喜欢哪一套嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你等着哈""}, {""sex"": ""1"", ""content"": ""等着就等着，别以为我怕你！""}, {""sex"": ""1"", ""content"": ""我会好好等住你的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""笑点低""}, {""sex"": ""1"", ""content"": ""笑点低的女生……""}, {""sex"": ""2"", ""content"": ""怎么了？""}, {""sex"": ""1"", ""content"": ""听说笑点低的女生很好追，我想试试。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""相信我好吗""}, {""sex"": ""1"", ""content"": ""请给我一个愿意相信的理由！""}, {""sex"": ""1"", ""content"": ""我这不是已经在相信你了吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今年一起跨年吗""}, {""sex"": ""1"", ""content"": ""终于不用一个人孤独地跨年了。""}, {""sex"": ""1"", ""content"": ""好啊，我也想有个人能陪我跨年。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可以认识你吗？""}, {""sex"": ""1"", ""content"": ""我们这不就是认识了吗？""}, {""sex"": ""1"", ""content"": ""我们不是在梦里见过吗，还需要认识吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""说话很甜""}, {""sex"": ""1"", ""content"": ""你笑起来的时候更甜。""}, {""sex"": ""1"", ""content"": ""甜甜的都感觉我是不是吃了一块糖了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""冷不冷啊""}, {""sex"": ""1"", ""content"": ""如果你抱着我，就不冷了。""}, {""sex"": ""1"", ""content"": ""我要说冷，你要咋办。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我也自恋""}, {""sex"": ""1"", ""content"": ""你长得这么好看，自恋也是自然的。""}, {""sex"": ""1"", ""content"": ""我就不信没有人不自恋。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我尽无言以对""}, {""sex"": ""1"", ""content"": ""看起来你是对我的表现十分满意得咯""}, {""sex"": ""1"", ""content"": ""哎，好可怜的孩子，都不会说话了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我睡一会哈""}, {""sex"": ""1"", ""content"": ""嗯嗯，那你先睡，睡醒了咱们再聊。""}, {""sex"": ""1"", ""content"": ""好的，记得梦见我哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我肚子疼。""}, {""sex"": ""1"", ""content"": ""你好像经常肚子疼，怎么回事？""}, {""sex"": ""1"", ""content"": ""想象一下我在帮你揉肚子，是不是会觉得不那么疼了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""蚊子咬了""}, {""sex"": ""1"", ""content"": ""那我得给你好好消毒一下。""}, {""sex"": ""1"", ""content"": ""看来你的肉比较甜，蚊子比较喜欢你。""}], ""lock"": 1}"
