"{""chat"": [{""sex"": ""2"", ""content"": ""你好""}, {""sex"": ""1"", ""content"": ""不用这么严肃 我很随和幽默的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早""}, {""sex"": ""1"", ""content"": ""早啊，小可爱，昨晚梦到我了吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你经常来这里玩吗？""}, {""sex"": ""1"", ""content"": ""不经常，每天来一次。听你的语气，你好像经常来这里玩吗？""}, {""sex"": ""2"", ""content"": ""经常""}, {""sex"": ""1"", ""content"": ""那你怎么会不认识我""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""你好！我想问你一个问题……有没有人告诉过你，你很适合当模特？""}, {""sex"": ""2"", ""content"": ""是有人这么说过。""}, {""sex"": ""1"", ""content"": ""我想认识你。你叫什么名字，把你电话告诉我吧。""}, {""sex"": ""2"", ""content"": ""你是做什么工作的？""}, {""sex"": ""1"", ""content"": ""你看我像做什么的？""}, {""sex"": ""2"", ""content"": ""你不会是星探吧。""}, {""sex"": ""1"", ""content"": ""你的眼力真好……一下子就猜错了。我是卖保险的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好困哦""}, {""sex"": ""1"", ""content"": ""睡吧，做个好梦，希望我能走进你的梦中。""}, {""sex"": ""1"", ""content"": ""可是我还有好多好多话还没有和你说呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不睡么""}, {""sex"": ""1"", ""content"": ""睡了睡了，明天还要早起喜欢你。""}, {""sex"": ""1"", ""content"": ""想等你先睡，再悄悄潜入你的梦里。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""陪陪我嘛""}, {""sex"": ""1"", ""content"": ""好的，我这不是已经来陪你了吗。""}, {""sex"": ""1"", ""content"": ""好的，我会好好陪你的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""能接受吗""}, {""sex"": ""1"", ""content"": ""只要有你在，我都能接受。""}, {""sex"": ""1"", ""content"": ""你亲我一下，我估计就能接受了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""充电去了""}, {""sex"": ""1"", ""content"": ""手机需要充电，我也需要你帮我充电。""}, {""sex"": ""1"", ""content"": ""你要是待在我身边可以省很多电的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""约你干嘛？""}, {""sex"": ""1"", ""content"": ""你想约我去干嘛都可以呀。""}, {""sex"": ""1"", ""content"": ""约我看星星晒月光都可以。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我嫁给你""}, {""sex"": ""1"", ""content"": ""那我就等着你嫁给我！""}, {""sex"": ""1"", ""content"": ""不要，还是我娶你好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你撩我啊""}, {""sex"": ""1"", ""content"": ""撩你我能有什么好处啊？""}, {""sex"": ""1"", ""content"": ""撩你？我不是一直在追求你吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我在撩你""}, {""sex"": ""1"", ""content"": ""你这样撩我，是会出事的""}, {""sex"": ""1"", ""content"": ""既然撩了我，你可就得对我负责了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好呀，""}, {""sex"": ""1"", ""content"": ""小仙女竟然主动跟我打招呼了？""}, {""sex"": ""1"", ""content"": ""你好呀，小仙女心情好像很好呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""心里没数""}, {""sex"": ""1"", ""content"": ""那我要不要给你心里来点数？""}, {""sex"": ""1"", ""content"": ""那什么才叫做心里有点数啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你也是""}, {""sex"": ""1"", ""content"": ""原来我们两个是心意相通的呀""}, {""sex"": ""1"", ""content"": ""嗯嗯，小仙女不用为我担心""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我等着哦""}, {""sex"": ""1"", ""content"": ""等我，我肯定不会让你的等待落空的。""}, {""sex"": ""1"", ""content"": ""被人期待的感觉原来是这么好呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不想打""}, {""sex"": ""1"", ""content"": ""你不想打的话，那就我给你打吧""}, {""sex"": ""1"", ""content"": ""为什么不想打，难道你不想我吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""搞得我想打你""}, {""sex"": ""1"", ""content"": ""别忍着，老公给老婆打一顿很正常""}, {""sex"": ""1"", ""content"": ""打我这种事情，不用想直接打！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡够了吗""}, {""sex"": ""1"", ""content"": ""我觉得再让我睡十个小时都没问题。""}, {""sex"": ""1"", ""content"": ""够了够了，再睡下去就真的要成猪了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""很想吃""}, {""sex"": ""1"", ""content"": ""你摸摸自己的小肚肚，在和我说一下你想吃吗？""}, {""sex"": ""1"", ""content"": ""想吃啊，亲一口就让你吃。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哈哈，是呀""}, {""sex"": ""1"", ""content"": ""仙女都说是了，那我就相信啦""}, {""sex"": ""1"", ""content"": ""好喜欢你的笑，希望你能总是这么开心""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""谁不是""}, {""sex"": ""1"", ""content"": ""好嘛，是我目光短浅了""}, {""sex"": ""1"", ""content"": ""你都这么说了那就没谁了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是男女朋友""}, {""sex"": ""1"", ""content"": ""那就是准男女朋友关系。""}, {""sex"": ""1"", ""content"": ""别害羞啊，承认我们是男女朋友又不是什么丢人的事。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是直男吧""}, {""sex"": ""1"", ""content"": ""我是直男，但不是直男癌。""}, {""sex"": ""1"", ""content"": ""不是直男怎么爱你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""发疯了""}, {""sex"": ""1"", ""content"": ""放心吧，你发疯了我也依旧喜欢你。""}, {""sex"": ""1"", ""content"": ""我要是疯了那一定是被你逼疯的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你疯了么""}, {""sex"": ""1"", ""content"": ""喜欢你就是疯子吗？""}, {""sex"": ""1"", ""content"": ""你看我的样子像是个疯子吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""疯掉了""}, {""sex"": ""1"", ""content"": ""就算你成了疯婆子，我也要你""}, {""sex"": ""1"", ""content"": ""哎呀，那我得把你送进精神病院了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是你嘛""}, {""sex"": ""1"", ""content"": ""是我啊，让你久等了。""}, {""sex"": ""1"", ""content"": ""我来了就不会再走了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是在逗我吗？""}, {""sex"": ""1"", ""content"": ""我这不是在逗你开心吗。""}, {""sex"": ""1"", ""content"": ""你觉得我像是在逗你吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""啊，不是吧""}, {""sex"": ""1"", ""content"": ""怎么了，干嘛这么惊讶。""}, {""sex"": ""1"", ""content"": ""是的呀，你难道没想到嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哦(⊙o⊙)哦""}, {""sex"": ""1"", ""content"": ""我不还你钱了，你也回答：哦，可以吗？""}, {""sex"": ""1"", ""content"": ""这么高冷的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在不咯""}, {""sex"": ""1"", ""content"": ""看你找我什么事情咯""}, {""sex"": ""1"", ""content"": ""我说不在你就会罢休吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""心里都是我""}, {""sex"": ""1"", ""content"": ""对啊，是你填满了我的心""}, {""sex"": ""1"", ""content"": ""既然你知道我心里都是你，是不是应该给我一些奖励？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你暗恋谁""}, {""sex"": ""1"", ""content"": ""明知故问的好不好！""}, {""sex"": ""1"", ""content"": ""要不你进我心里，我偷偷告诉你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可不是嘛""}, {""sex"": ""1"", ""content"": ""对啊，我这么想你你也不想想我！""}, {""sex"": ""1"", ""content"": ""可是我还是喜欢你的呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不知道聊什么""}, {""sex"": ""1"", ""content"": ""我什么都不想跟你聊。""}, {""sex"": ""2"", ""content"": ""那好吧……""}, {""sex"": ""1"", ""content"": ""我只想跟你谈恋爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这怎么可能""}, {""sex"": ""1"", ""content"": ""没有什么不可能的，只要你想。""}, {""sex"": ""1"", ""content"": ""要是没可能，怎么会说出来呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你备注我是什么呀""}, {""sex"": ""1"", ""content"": ""这备注可吊了，史上第一小仙女！""}, {""sex"": ""1"", ""content"": ""像你这样的我还能备注什么呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么会没胃口呢？""}, {""sex"": ""1"", ""content"": ""还不是因为你没有在我身边吗。""}, {""sex"": ""1"", ""content"": ""你都不想我，我怎么会有胃口。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在乎什么""}, {""sex"": ""1"", ""content"": ""任时光匆匆流去，我只在乎你。""}, {""sex"": ""1"", ""content"": ""你怎么可能会不知道我在乎什么？你明明知道我最在乎你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""做什么""}, {""sex"": ""1"", ""content"": ""想做你的太阳，你的太阳~""}, {""sex"": ""2"", ""content"": ""……""}, {""sex"": ""1"", ""content"": ""我想做你的太阳，温暖你的心房，可以吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我这么厉害的吗""}, {""sex"": ""1"", ""content"": ""你都不知道自己很厉害的嘛？""}, {""sex"": ""1"", ""content"": ""可不是嘛，不光长得好看，还这么厉害。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""中午吃什么呀""}, {""sex"": ""1"", ""content"": ""我还在思考呢，每天都要苦恼吃什么。""}, {""sex"": ""1"", ""content"": ""还没想好，要不你带我去吃好吃的？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你猜哈""}, {""sex"": ""1"", ""content"": ""麻麻告诉我，女孩子的心思千万别猜！""}, {""sex"": ""1"", ""content"": ""我猜你肯定猜不到我猜的是什么""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""凭什么呢""}, {""sex"": ""1"", ""content"": ""凭我喜欢你！""}, {""sex"": ""1"", ""content"": ""凭你要成为我亲爱的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""凭啥啊""}, {""sex"": ""1"", ""content"": ""不凭啥，就是这么霸道不讲理。""}, {""sex"": ""1"", ""content"": ""就凭我喜欢你啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那要怎么样嘛""}, {""sex"": ""1"", ""content"": ""不怎么样嘛，我也不敢怎么样呀。""}, {""sex"": ""1"", ""content"": ""我要你亲我一下。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么啦。""}, {""sex"": ""1"", ""content"": ""有个恋爱想找你谈谈。""}, {""sex"": ""1"", ""content"": ""本来只是偷偷想你，可想念太多，已经溢出来了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么那么晚还没睡""}, {""sex"": ""1"", ""content"": ""一想你就想得停不下来，所以失眠了。""}, {""sex"": ""1"", ""content"": ""月亮姐姐偷偷告诉我你还没睡觉。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""准备干什么""}, {""sex"": ""1"", ""content"": ""准备陪你聊天呀""}, {""sex"": ""1"", ""content"": ""什么也不干，就静静地想你就好了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你什么工作的""}, {""sex"": ""1"", ""content"": ""这么快就开始查我的户口了？""}, {""sex"": ""1"", ""content"": ""不管什么工作都能养活你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""爱工作""}, {""sex"": ""1"", ""content"": ""你要是能像爱工作一样爱我就好了""}, {""sex"": ""1"", ""content"": ""不管你有多爱工作，你也没办法嫁给工作呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早上怎么聊""}, {""sex"": ""1"", ""content"": ""早安，早餐想吃什么，给你买""}, {""sex"": ""1"", ""content"": ""早安！夜里的星星有没有我啊？""}, {""sex"": ""1"", ""content"": ""早上好，老婆，想你，昨晚梦见你了""}, {""sex"": ""1"", ""content"": ""早上好，今天又是想你的一天""}, {""sex"": ""1"", ""content"": ""早安，么么哒。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那还早""}, {""sex"": ""1"", ""content"": ""你是舍不得跟我分别吗？""}, {""sex"": ""1"", ""content"": ""不早啦，小仙女还要睡美容觉呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么可以呢""}, {""sex"": ""1"", ""content"": ""怎么不可以呢，只要你愿意。""}, {""sex"": ""1"", ""content"": ""我们之间难道还有什么是不可以的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""乖巧可爱""}, {""sex"": ""1"", ""content"": ""虽然你确实很乖巧很可爱，但你这么夸自己有点不合适吧""}, {""sex"": ""1"", ""content"": ""像我这么乖巧可爱的男孩子你会不喜欢吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我该怎么说呢""}, {""sex"": ""1"", ""content"": ""想说啥就说什么呗""}, {""sex"": ""1"", ""content"": ""我应该说喜欢你才对""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你为什么喜欢我呀？""}, {""sex"": ""1"", ""content"": ""爱情里面没有为什么！""}, {""sex"": ""1"", ""content"": ""喜欢你没道理！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""乖有什么用""}, {""sex"": ""1"", ""content"": ""乖宝宝可以有糖吃呀""}, {""sex"": ""1"", ""content"": ""会有用的，上天会善待乖巧的女孩的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你打算什么时候睡""}, {""sex"": ""1"", ""content"": ""你什么时候睡，我就什么时候睡。""}, {""sex"": ""1"", ""content"": ""那你打算什么时候和我说晚安呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喜欢我什么时候""}, {""sex"": ""1"", ""content"": ""我也忘记了，不过我喜欢一直喜欢下去的。""}, {""sex"": ""1"", ""content"": ""我也不懂，什么时候喜欢你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你梦到了什么""}, {""sex"": ""1"", ""content"": ""梦到你说喜欢我。""}, {""sex"": ""1"", ""content"": ""梦到你穿着婚纱说“我愿意”""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我什么都不不会""}, {""sex"": ""1"", ""content"": ""没事，我可以手把手教你。""}, {""sex"": ""1"", ""content"": ""嫁给我，洗衣做饭我都会！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你也不是什么好人""}, {""sex"": ""1"", ""content"": ""为什么要做一个好人呢。""}, {""sex"": ""1"", ""content"": ""遇见你之后我就没打算做一个好人了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这样子的啊""}, {""sex"": ""1"", ""content"": ""对啊，不然你想是什么样子的？""}, {""sex"": ""1"", ""content"": ""在爱情眼里我就是这样子的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我叫你什么好？""}, {""sex"": ""1"", ""content"": ""想叫什么都可以，你喜欢我就喜欢""}, {""sex"": ""1"", ""content"": ""叫我老公吧，反正以后就是了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""了解什么？""}, {""sex"": ""1"", ""content"": ""你的一切我都想了解。""}, {""sex"": ""1"", ""content"": ""了解一下我未来女朋友的过去和生活。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不改了""}, {""sex"": ""1"", ""content"": ""女人都是善变的，说不定你哪天又翻脸了呢？""}, {""sex"": ""1"", ""content"": ""真的不改了？我可不会再给你反悔的机会哦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不去了""}, {""sex"": ""1"", ""content"": ""既然你不去了，那我也不去了""}, {""sex"": ""2"", ""content"": ""别呀""}, {""sex"": ""1"", ""content"": ""没有你在的地方是没有灵魂的，我还去干吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我还是算了吧""}, {""sex"": ""1"", ""content"": ""拿我喜欢你怎么可以算了呢。""}, {""sex"": ""1"", ""content"": ""那可不行，我不打算就这么算了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你别来了""}, {""sex"": ""1"", ""content"": ""不会来了，因为我不走了""}, {""sex"": ""1"", ""content"": ""你说不来我就不来，说出去多没面子啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""幸福来了""}, {""sex"": ""1"", ""content"": ""幸福来得 真有点突然啊。""}, {""sex"": ""1"", ""content"": ""突然来得幸福，都不知道怎么说才好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不要让我输的一败涂地""}, {""sex"": ""1"", ""content"": ""我会让你赢得盆满钵满！""}, {""sex"": ""1"", ""content"": ""有我在，怎么舍得让你输呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""删除我吧""}, {""sex"": ""1"", ""content"": ""我不会删除你的，我这么爱你啊。""}, {""sex"": ""1"", ""content"": ""删了你我还要加回来，何必这么麻烦？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""知道错了吗？""}, {""sex"": ""1"", ""content"": ""知道了，以后不敢了。""}, {""sex"": ""1"", ""content"": ""错错，都是我的错。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""太贪心了""}, {""sex"": ""1"", ""content"": ""我只贪你一个人罢了。""}, {""sex"": ""1"", ""content"": ""人心不足蛇吞象。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""叫起床""}, {""sex"": ""1"", ""content"": ""你这么好看怎么也赖床啊""}, {""sex"": ""2"", ""content"": ""不想起床""}, {""sex"": ""1"", ""content"": ""再不起床周公就要来赶你啦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我想了""}, {""sex"": ""1"", ""content"": ""一定是很想很想，想要立刻见到我的那种想吧。""}, {""sex"": ""1"", ""content"": ""嘿嘿，我就知道你想了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你爱上我了吗""}, {""sex"": ""1"", ""content"": ""眼光不错，这都让你看出来了！""}, {""sex"": ""1"", ""content"": ""我有什么理由说不爱上你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不懂我不懂""}, {""sex"": ""1"", ""content"": ""你不陪我慢慢懂好不好？""}, {""sex"": ""1"", ""content"": ""你不懂，所以我懂。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""肯定累了""}, {""sex"": ""1"", ""content"": ""那你一定要好好休息知道吗！""}, {""sex"": ""1"", ""content"": ""累是累了点，不过还好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""长胖了不好看""}, {""sex"": ""1"", ""content"": ""我觉得胖瘦都不影响你的美""}, {""sex"": ""1"", ""content"": ""在我心里，不管你是胖是瘦，都是仙女。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""晚好晚好""}, {""sex"": ""1"", ""content"": ""美妙的夜晚来临了。""}, {""sex"": ""1"", ""content"": ""晚上有什么安排嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你快睡觉了""}, {""sex"": ""1"", ""content"": ""你都还没睡，我怎么会睡呢。""}, {""sex"": ""1"", ""content"": ""那肯定是因为你也要睡觉了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想多了！""}, {""sex"": ""1"", ""content"": ""你这么好看，我不想多奇了怪。""}, {""sex"": ""1"", ""content"": ""人不想多点，和咸鱼有啥区别呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""刚到了""}, {""sex"": ""1"", ""content"": ""嗯嗯，到了就好，那我就不用担心了。""}, {""sex"": ""1"", ""content"": ""刚到是吗，那你要好好休息哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""冬天很冷""}, {""sex"": ""1"", ""content"": ""有了你，我再也不冷了。""}, {""sex"": ""1"", ""content"": ""我心里有个你，一点都不冷""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""去吃早餐了""}, {""sex"": ""1"", ""content"": ""吃早餐这种好事都不叫我的吗？""}, {""sex"": ""1"", ""content"": ""巧了，要不一起去吃早餐如何？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好好休息""}, {""sex"": ""1"", ""content"": ""有你在的时候肯定是休息的非常好啦。""}, {""sex"": ""1"", ""content"": ""放心吧，我已经准备休息了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""真不去了""}, {""sex"": ""1"", ""content"": ""你不去的话会错过很多有意思的事情哦""}, {""sex"": ""1"", ""content"": ""好吧，你不想去我也不能勉强你，就是觉得有点失望""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想你去了""}, {""sex"": ""1"", ""content"": ""除了想我就没其他的了吗？""}, {""sex"": ""1"", ""content"": ""接收到你刚才对我的想念了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喝酒吗""}, {""sex"": ""1"", ""content"": ""我这里有茅台白酒葡萄酒还有好多，你喝哪个？""}, {""sex"": ""1"", ""content"": ""你太天真了，真的以为可以一醉解千愁吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""脚丫子""}, {""sex"": ""1"", ""content"": ""这么可爱的脚丫子，好想捏一捏呀。""}, {""sex"": ""1"", ""content"": ""你的小脚丫需要跟我的大脚丫来一个灵魂的碰撞。""}], ""lock"": 1}"
