"{""chat"": [{""sex"": ""1"", ""content"": ""你好，请问下一站到是哪里？""}, {""sex"": ""2"", ""content"": ""哦……人民广场。""}, {""sex"": ""1"", ""content"": ""谢谢，你真是个好人，可以把你的电话号码告诉我吗？""}, {""sex"": ""2"", ""content"": ""嗯，要我电话号码做什么？""}, {""sex"": ""1"", ""content"": ""呵呵，其实我是想以后问时间的时候可以打电话问你啦，难得遇到你这样的好人""}, {""sex"": ""2"", ""content"": ""呵呵，你还真好玩。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好我不好""}, {""sex"": ""1"", ""content"": ""哪里不好，可以跟我说说哦""}, {""sex"": ""1"", ""content"": ""所以我来让你变好了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么都会""}, {""sex"": ""1"", ""content"": ""哇，你这么厉害我会崇拜你的。""}, {""sex"": ""1"", ""content"": ""那你会喜欢我吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你觉得我是什么样女人。""}, {""sex"": ""1"", ""content"": ""我觉得你是我喜欢的女人。""}, {""sex"": ""1"", ""content"": ""好看的人，非常好看的人！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""咋嘛""}, {""sex"": ""1"", ""content"": ""太想你了，想得心律不齐。""}, {""sex"": ""1"", ""content"": ""你把我的魂都勾走了，你说咋了嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就睡了""}, {""sex"": ""1"", ""content"": ""你说的啊，要是等会儿没睡我就过打你屁屁""}, {""sex"": ""1"", ""content"": ""以后好好睡觉，不要晚睡。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""老了""}, {""sex"": ""1"", ""content"": ""哪里老了，明明还是很年轻好不好。""}, {""sex"": ""1"", ""content"": ""仙女从来都不会变老，一直十八岁。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""老了呀""}, {""sex"": ""1"", ""content"": ""老了吗，为什么还这么好看呢""}, {""sex"": ""1"", ""content"": ""仙女貌似是不会老的吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你可以删了我""}, {""sex"": ""1"", ""content"": ""不要，我才不要把你删了呢。""}, {""sex"": ""1"", ""content"": ""我删了谁也不敢删了你啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不爱了呗""}, {""sex"": ""1"", ""content"": ""一句云淡风轻的不爱了就能忘掉曾经的所有美好吗？""}, {""sex"": ""1"", ""content"": ""爱情可真是奇妙，相爱的时候可以轰轰烈烈，不爱了也可以果敢决绝。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你变了很多""}, {""sex"": ""1"", ""content"": ""人不能总是停在原地对吧。""}, {""sex"": ""1"", ""content"": ""无论我怎么变，我对你的爱都不会变。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我吃面了""}, {""sex"": ""1"", ""content"": ""我也要吃，啊——""}, {""sex"": ""1"", ""content"": ""好，那你慢点吃，可别噎着了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""太累了我""}, {""sex"": ""1"", ""content"": ""累了就好好休息一下，不要把自己累坏了。""}, {""sex"": ""1"", ""content"": ""辛苦小仙女了，这么累要好好休息休息。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我网不好""}, {""sex"": ""1"", ""content"": ""网一定是我的隐形情敌，阻碍我跟你增进感情。""}, {""sex"": ""1"", ""content"": ""你要是在我身边就好了，网不好也没关系。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我来了""}, {""sex"": ""1"", ""content"": ""记得带上你的行李，这样就可以在我身边住下了。""}, {""sex"": ""1"", ""content"": ""你来了我再给你一个小惊喜。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡觉""}, {""sex"": ""1"", ""content"": ""晚安，做个好梦哦""}, {""sex"": ""1"", ""content"": ""要是能跟你一起睡觉就好了，肯定能睡得很香甜""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不爱就不爱""}, {""sex"": ""1"", ""content"": ""逗你的，我那么爱你对不对？""}, {""sex"": ""1"", ""content"": ""谁都可以不爱你，唯独我不会不爱你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我哪里了""}, {""sex"": ""1"", ""content"": ""无论哪里我都喜欢。""}, {""sex"": ""1"", ""content"": ""你问我哪里我可要好好说一段时间了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""扫雪""}, {""sex"": ""1"", ""content"": ""以后咱家门前的雪我来扫。""}, {""sex"": ""1"", ""content"": ""扫雪这种事应该我来做，怎么能让仙女动手呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早安了""}, {""sex"": ""1"", ""content"": ""早早早，今天又是更可爱的小仙女呢""}, {""sex"": ""1"", ""content"": ""早安鸭，新的一天新的问候""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早.""}, {""sex"": ""1"", ""content"": ""早安，早餐想吃什么，给你买""}, {""sex"": ""1"", ""content"": ""早啊，小可爱，昨晚梦到我了吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我休息下""}, {""sex"": ""1"", ""content"": ""那你好好休息，我先不打扰你哦。""}, {""sex"": ""1"", ""content"": ""嗯嗯，休息好了我们再聊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""马上就休息了""}, {""sex"": ""1"", ""content"": ""那你一定要好好休息知道不。""}, {""sex"": ""1"", ""content"": ""休息的时候记得要来想我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喝啤酒""}, {""sex"": ""1"", ""content"": ""是不是见不到我，所以解酒消愁？""}, {""sex"": ""1"", ""content"": ""别喝太多，喝醉了我却没办法送你回家。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""快下班了吗？""}, {""sex"": ""1"", ""content"": ""下班了呦，有什么安排吗？""}, {""sex"": ""1"", ""content"": ""还没有呢，下班的第一时间就告诉你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我又无聊了""}, {""sex"": ""1"", ""content"": ""无聊就跟我聊聊天呀。""}, {""sex"": ""1"", ""content"": ""不找我，你当然会无聊了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""习惯一个人""}, {""sex"": ""1"", ""content"": ""一个人很累吧，都是我不好，是我出现得太晚才会让你一个人承担那么多。""}, {""sex"": ""1"", ""content"": ""你说这句话让我觉得好心疼。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一般般啊""}, {""sex"": ""1"", ""content"": ""你在我心中已经是非一般的存在了。""}, {""sex"": ""1"", ""content"": ""看来是你的要求太高了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""长得一般般而已""}, {""sex"": ""1"", ""content"": ""仙女对自己的长相总是有认知上的错误""}, {""sex"": ""1"", ""content"": ""你的一般般对我来说可不一般啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我觉得一般般""}, {""sex"": ""1"", ""content"": ""小仙女的要求也太严格了吧。""}, {""sex"": ""1"", ""content"": ""只是一般般而已啊，看来我还要继续努力。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一般了""}, {""sex"": ""1"", ""content"": ""看来你的标准非常高啊。""}, {""sex"": ""1"", ""content"": ""在你眼里，还有比一般更高的评价吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不一定""}, {""sex"": ""1"", ""content"": ""没有不一定！""}, {""sex"": ""2"", ""content"": ""为什么？""}, {""sex"": ""1"", ""content"": ""因为我喜欢你是一定的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""确定不了""}, {""sex"": ""1"", ""content"": ""我来帮你确定吧，不用纠结。""}, {""sex"": ""1"", ""content"": ""可以确定，你心里其实已经有一个答案了，只是你不敢说出来。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""每天都不一样""}, {""sex"": ""1"", ""content"": ""所以每天都会有不同的体验嘛。""}, {""sex"": ""1"", ""content"": ""这样每天都有新鲜感，多好呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""等一会啊""}, {""sex"": ""1"", ""content"": ""反正也等了你这么多年了，不在乎多等一会。""}, {""sex"": ""1"", ""content"": ""好，我会乖乖等你的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天……双十二""}, {""sex"": ""1"", ""content"": ""你的钱包要再次被压榨了！""}, {""sex"": ""1"", ""content"": ""你这是要给马云制造财富啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是双眼皮""}, {""sex"": ""1"", ""content"": ""见过这么好看的双眼皮吗？""}, {""sex"": ""1"", ""content"": ""难道你不喜欢我这个双眼皮吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""来了再说""}, {""sex"": ""1"", ""content"": ""我已经在来的路上了，说吧。""}, {""sex"": ""1"", ""content"": ""没事，我的心在你这你先说。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""再睡一会儿""}, {""sex"": ""1"", ""content"": ""再睡会儿太阳公公就晒屁股了！""}, {""sex"": ""1"", ""content"": ""小仙女变成小懒虫啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""还陪我一会儿好不好""}, {""sex"": ""1"", ""content"": ""不行，我只陪一辈子!""}, {""sex"": ""1"", ""content"": ""陪吃陪喝陪睡觉，都可以的！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""下雨吗？""}, {""sex"": ""1"", ""content"": ""是啊，雨滴滴答答下个不停""}, {""sex"": ""1"", ""content"": ""下雨了，你记得出门要带伞哦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想认识一下你""}, {""sex"": ""1"", ""content"": ""能认识小仙女实在是我的荣幸。""}, {""sex"": ""1"", ""content"": ""好呀，我也想跟你认识认识。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哈喽，认识一下吧""}, {""sex"": ""1"", ""content"": ""这样了解一下就可以做朋友了吗？""}, {""sex"": ""1"", ""content"": ""认识就不必要了，我们来结婚吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""认识一下""}, {""sex"": ""1"", ""content"": ""现在只是一下，以后就是很多下了""}, {""sex"": ""1"", ""content"": ""小仙女对我很感兴趣吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""心疼头发""}, {""sex"": ""1"", ""content"": ""不心疼不心疼，头发还会长出来的。""}, {""sex"": ""1"", ""content"": ""这么漂亮的头发，是我也会心疼的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""刚睡了一下""}, {""sex"": ""1"", ""content"": ""那你睡觉的时候有梦到我吗？""}, {""sex"": ""1"", ""content"": ""难怪刚才怎么半天没有回复我呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""宅女一枚""}, {""sex"": ""1"", ""content"": ""难怪你一直宅在我心里。""}, {""sex"": ""1"", ""content"": ""那你快邀请我去你家跟你一起宅，这样你就不会太孤单。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我一点都不胖""}, {""sex"": ""1"", ""content"": ""是吗，要不让我抱一抱看看。""}, {""sex"": ""1"", ""content"": ""不胖吗？我觉得你挺胖的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一天三顿""}, {""sex"": ""1"", ""content"": ""正常人不都是一天三顿嘛。""}, {""sex"": ""1"", ""content"": ""那我比你多吃一顿，晚上的夜宵怎么能少呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""将来""}, {""sex"": ""1"", ""content"": ""将来我们会有一个大房子，生两个胖娃娃，过幸福的生活""}, {""sex"": ""1"", ""content"": ""我想被你考虑进你的将来""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一个人多好啊""}, {""sex"": ""1"", ""content"": ""生病没人照顾，煤气罐没人帮着扛，只能一个人逛超市，过马路没人牵着走，哪好了？""}, {""sex"": ""1"", ""content"": ""那是因为你不曾体会过两个人的美好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一直疼""}, {""sex"": ""1"", ""content"": ""怎么会一直疼呢，去看看医生好不好？""}, {""sex"": ""1"", ""content"": ""你这么说我很担心啊，是不是很难受？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一直都想""}, {""sex"": ""1"", ""content"": ""那你现在可以开始想我了。""}, {""sex"": ""1"", ""content"": ""难怪我一直都在打喷嚏。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""太阳挺大""}, {""sex"": ""1"", ""content"": ""大大的太阳温暖你的心呀。""}, {""sex"": ""1"", ""content"": ""很喜欢午后的阳光，晒在身上很舒服。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你可以不给我机会的""}, {""sex"": ""1"", ""content"": ""不给你机会你怎么做我女朋友？""}, {""sex"": ""1"", ""content"": ""要是不给你机会不就等于不给我自己机会了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哥哥几岁了""}, {""sex"": ""1"", ""content"": ""哥哥今年三岁啦，刚上幼儿园""}, {""sex"": ""1"", ""content"": ""小姐姐三岁的话，哥哥就是四岁哦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我等着你""}, {""sex"": ""1"", ""content"": ""我一定不会让你等太久的。""}, {""sex"": ""1"", ""content"": ""被人等待的感觉可真好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""谢谢你送的礼物""}, {""sex"": ""1"", ""content"": ""把你当成回礼送给我就可以啦。""}, {""sex"": ""1"", ""content"": ""不用谢，小仙女喜欢就行。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你还不休息吗？""}, {""sex"": ""1"", ""content"": ""可我放不下手机里面的你。""}, {""sex"": ""1"", ""content"": ""有机会一起休息啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你下辈子做女的吧""}, {""sex"": ""1"", ""content"": ""那你下辈子做个男的，我来做你老婆。""}, {""sex"": ""1"", ""content"": ""怎么想下辈子换你来照顾我？""}], ""lock"": 1}"
