"{""chat"": [{""sex"": ""1"", ""content"": ""你好，我和朋友在讨论一个问题，我们都觉得自己说得对，想听听女孩的看法？""}, {""sex"": ""2"", ""content"": ""什么问题？""}, {""sex"": ""1"", ""content"": ""你觉得男人更爱撒谎还是女人更爱撒谎？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""累了""}, {""sex"": ""1"", ""content"": ""其实我也挺累的。""}, {""sex"": ""2"", ""content"": ""嗯？""}, {""sex"": ""1"", ""content"": ""但是遇见你之后我才发现累点也无所谓。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""网抑云""}, {""sex"": ""1"", ""content"": ""为什么大家都越来越丧了呢？""}, {""sex"": ""1"", ""content"": ""深夜到了，网抑云模式已开启""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃了要长胖""}, {""sex"": ""1"", ""content"": ""胖怕啥，大不了我陪你减肥。""}, {""sex"": ""1"", ""content"": ""搞得你变胖了就不好看似得。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""晚上好晚上好""}, {""sex"": ""1"", ""content"": ""小仙女到了晚上才想起我吗？难过""}, {""sex"": ""1"", ""content"": ""晚上好！一看到小仙女，我就很精神，一点都不困了呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""今天起来晚了""}, {""sex"": ""1"", ""content"": ""看来昨天晚上是睡得很迟呀？""}, {""sex"": ""1"", ""content"": ""是不是闹钟忘记调了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我吃完了""}, {""sex"": ""1"", ""content"": ""终于吃完了，让我等了好久。""}, {""sex"": ""2"", ""content"": ""哪有很久。""}, {""sex"": ""1"", ""content"": ""既然你吃完了，那就该轮到我吃了，我要一口把你吃掉。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""看到了吗""}, {""sex"": ""1"", ""content"": ""我这不是已经看到你了吗？""}, {""sex"": ""1"", ""content"": ""你这么好看的，我怎么会没看到呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""昨天做梦了""}, {""sex"": ""1"", ""content"": ""看你这样子一定是做了个美梦""}, {""sex"": ""1"", ""content"": ""是不是梦见我了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我喜欢下雪天""}, {""sex"": ""1"", ""content"": ""雪那么美，应该没有人不喜欢吧。""}, {""sex"": ""1"", ""content"": ""什么时候我们一起去看雪呀，给你拍美美的照片。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好大的雪""}, {""sex"": ""1"", ""content"": ""是不是特别美，赏雪也要注意保暖哦。""}, {""sex"": ""1"", ""content"": ""要多穿点知道吗？下大雪会很冷的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想吃雪糕""}, {""sex"": ""1"", ""content"": ""夏天就是要吃雪糕呀""}, {""sex"": ""1"", ""content"": ""我想跟你一起吃雪糕""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早安天气冷""}, {""sex"": ""1"", ""content"": ""我已经冷习惯了""}, {""sex"": ""1"", ""content"": ""这么冷的天不一起吃个早饭吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""冷冷冷""}, {""sex"": ""1"", ""content"": ""抱一下就不冷了。""}, {""sex"": ""1"", ""content"": ""手拿出来，我给你暖暖吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早起来了""}, {""sex"": ""1"", ""content"": ""早起的小仙女你的花露水呢""}, {""sex"": ""1"", ""content"": ""我怕吵醒你，一直等你找我呢""}, {""sex"": ""1"", ""content"": ""是不是想我想的难以入睡所以就起早了""}, {""sex"": ""1"", ""content"": ""你竟然早起了？今天太阳打南边出来了？""}, {""sex"": ""1"", ""content"": ""早起傻一天""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""老了我""}, {""sex"": ""1"", ""content"": ""谁说的，明明还是一个小可爱好不好。""}, {""sex"": ""1"", ""content"": ""仙女年年十八，不会老的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""起了么""}, {""sex"": ""1"", ""content"": ""我再不起床，真怕被你当成猪了。""}, {""sex"": ""1"", ""content"": ""起了呀，不起床还躺着干嘛呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""爱喝酒""}, {""sex"": ""1"", ""content"": ""酒喝多了对身体不好，还是要少喝点哦""}, {""sex"": ""1"", ""content"": ""那咱们可以找个时间约酒哦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没有钱了""}, {""sex"": ""1"", ""content"": ""有你人就可以了。""}, {""sex"": ""1"", ""content"": ""你拿个碗到天桥下面蹲着就有钱了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我都快气死了""}, {""sex"": ""1"", ""content"": ""你可不要气死了，不然我老婆就没了。""}, {""sex"": ""1"", ""content"": ""那你先把花呗还一下，我不继承你花呗的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""第一反应""}, {""sex"": ""1"", ""content"": ""是不是第一反应想亲我一口？""}, {""sex"": ""1"", ""content"": ""第一反应那就是你的本能呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""亲你个鬼""}, {""sex"": ""1"", ""content"": ""那你就是鬼，我要使劲亲。""}, {""sex"": ""1"", ""content"": ""我只亲仙女的，不亲鬼。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""肯定不能呀""}, {""sex"": ""1"", ""content"": ""为什么不能呀？""}, {""sex"": ""1"", ""content"": ""这么肯定的吗，万一可以呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都是一样""}, {""sex"": ""1"", ""content"": ""我喜欢你和别人喜欢你能一样吗？！""}, {""sex"": ""1"", ""content"": ""一样吗？你觉得我和别人一样吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一会儿聊""}, {""sex"": ""1"", ""content"": ""嗯嗯，那你一会记得找我哦""}, {""sex"": ""1"", ""content"": ""看来我又要陷入寂寞的想你的时光了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我去洗澡洗头""}, {""sex"": ""1"", ""content"": ""我收拾收拾跟你一起洗。""}, {""sex"": ""1"", ""content"": ""好的，不要洗太久了，小心着凉。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""啥是安全感""}, {""sex"": ""1"", ""content"": ""我的怀抱永远属于你，这就是安全感。""}, {""sex"": ""1"", ""content"": ""什么都不怕，不怕犯错不怕失去，这就是安全感。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我相信一见钟情""}, {""sex"": ""1"", ""content"": ""遇见你之后我信了。""}, {""sex"": ""1"", ""content"": ""我对你就是一见钟情呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""认识吗""}, {""sex"": ""1"", ""content"": ""之前不认识，不过现在已经开始认识了""}, {""sex"": ""1"", ""content"": ""我们可以认识一下嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""亲你""}, {""sex"": ""1"", ""content"": ""亲随便亲！放肆的亲""}, {""sex"": ""2"", ""content"": ""嗯？""}, {""sex"": ""1"", ""content"": ""亲都亲了，这下你这辈子别跑了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我只是问一下""}, {""sex"": ""1"", ""content"": ""不止是问一下这么简单吧。""}, {""sex"": ""1"", ""content"": ""真的只是问一下而已吗，难道你不是对我有意思吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是第一个""}, {""sex"": ""1"", ""content"": ""真羡慕第一个人呀""}, {""sex"": ""1"", ""content"": ""小仙女这么有魅力，也是可以理解的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好想睡一觉""}, {""sex"": ""1"", ""content"": ""那就到我的怀里来好好睡一觉吧。""}, {""sex"": ""1"", ""content"": ""一定累坏了吧，晚上早点睡好吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我刚刚睡了一觉""}, {""sex"": ""1"", ""content"": ""睡醒啦，那你现在应该很精神了。""}, {""sex"": ""1"", ""content"": ""睡觉的时候有没有梦到我？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没吃晚饭呢""}, {""sex"": ""1"", ""content"": ""你这是准备来我这趁饭了？""}, {""sex"": ""1"", ""content"": ""要不，一起吃顿晚饭？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""一起晒太阳""}, {""sex"": ""1"", ""content"": ""两个人一起被晒黑吗？！""}, {""sex"": ""1"", ""content"": ""要不要我帮你抹防晒霜。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早吖[太阳]""}, {""sex"": ""1"", ""content"": ""小仙女就跟太阳一样温暖我的心""}, {""sex"": ""1"", ""content"": ""太阳也跟小仙女一起降临了呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""下次有空再玩""}, {""sex"": ""1"", ""content"": ""很多人说下次下次，然后就再也没有然后了。""}, {""sex"": ""1"", ""content"": ""你说的下次应该不会让我等太久吧？""}], ""lock"": 1}"
